"Название товара","Ссылка на продавца","Ссылка на чат"
"Vaqueros campana ","https://es.wallapop.com/item/vaqueros-campana-869276200","https://es.wallapop.com/app/chat?itemId=e65gdgvkvkjo"
"Nike Jordan mid 1 green","https://es.wallapop.com/item/nike-jordan-mid-1-green-869276066","https://es.wallapop.com/app/chat?itemId=x6qd1dk80yjy"
"Nike Air Huarache ","https://es.wallapop.com/item/nike-air-huarache-869277888","https://es.wallapop.com/app/chat?itemId=v6g2320ymmze"
"Cargo","https://es.wallapop.com/item/cargo-869277259","https://es.wallapop.com/app/chat?itemId=0j23o3w7pv6y"
"bambas para Niño/Nina.A SOLO 5KM!!!","https://es.wallapop.com/item/bambas-para-nino-nina-a-solo-5km-869277235","https://es.wallapop.com/app/chat?itemId=0j23o3w75v6y"
"TU PERFUME MÁS BARATO","https://es.wallapop.com/item/tu-perfume-mas-barato-869277139","https://es.wallapop.com/app/chat?itemId=36exmxd74yzd"
"Vestido de flamenca","https://es.wallapop.com/item/vestido-de-flamenca-869277131","https://es.wallapop.com/app/chat?itemId=p61ymyv03d65"
"pantalones usados","https://es.wallapop.com/item/pantalones-usados-869278185","https://es.wallapop.com/app/chat?itemId=pj9505kwqvze"
"botas de fútbol Nike  talla 36.5","https://es.wallapop.com/item/botas-de-futbol-nike-talla-36-5-869278166","https://es.wallapop.com/app/chat?itemId=x6qd1dk7wojy"
"Traje mango","https://es.wallapop.com/item/traje-mango-869278127","https://es.wallapop.com/app/chat?itemId=nz0010gey7zo"
"Ropa","https://es.wallapop.com/item/ropa-869277534","https://es.wallapop.com/app/chat?itemId=8j3ekem1r8z9"
"Macramé dress Black ","https://es.wallapop.com/item/macrame-dress-black-869277520","https://es.wallapop.com/app/chat?itemId=wzy5g5lwxpj5"
"Abrigo ","https://es.wallapop.com/item/abrigo-869277499","https://es.wallapop.com/app/chat?itemId=nz0010gkrezo"
"Zapatillas fendi ","https://es.wallapop.com/item/zapatillas-fendi-869277480","https://es.wallapop.com/app/chat?itemId=qzmy0y9k7gzv"
"chaqueta vaquera","https://es.wallapop.com/item/chaqueta-vaquera-869277805","https://es.wallapop.com/app/chat?itemId=qjwpgpe0ogzo"
"Zapatilla LV Trainer ","https://es.wallapop.com/item/zapatilla-lv-trainer-869277797","https://es.wallapop.com/app/chat?itemId=mzn878gd52zn"
"vestido corto semi formal","https://es.wallapop.com/item/vestido-corto-semi-formal-869277760","https://es.wallapop.com/app/chat?itemId=9jd212xpp96k"
"Cazadora de Piel","https://es.wallapop.com/item/cazadora-de-piel-869277675","https://es.wallapop.com/app/chat?itemId=nz0010gk3vzo"
"tenis Nike de mujer ","https://es.wallapop.com/item/tenis-nike-de-mujer-869277636","https://es.wallapop.com/app/chat?itemId=9jd212xp146k"
"Moncler ","https://es.wallapop.com/item/moncler-869277637","https://es.wallapop.com/app/chat?itemId=pj9505k900ze"
