"Название товара","Ссылка на продавца","Ссылка на чат"
"Chaqueta paño ","https://www.vinted.es/hommes/vetements/manteaux-and-vestes/manteaux/pardessus-et-manteaux-longs/2629697268-chaqueta-pano","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2629697268&receiver_id=36880286&ref_url=%2Fitems%2F2629697268%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D36880286%26ref_url%3D%252Fhombre%252Fropa%252Fabrigos-y-chaquetas%252Fabrigos%252Fsobretodos-y-abrigos-largos%252F2629697268-chaqueta-pano%26source%3Dwantit%26subject%3Dwanted%253A%2BChaqueta%2Bpa%25C3%25B1o%2B&source=wantit&subject=wanted%3A+Chaqueta+pa%C3%B1o+"
"Zapatos de hosteleria","https://www.vinted.es/men/shoes/formal-shoes/2629697060-zapatos-de-hosteleria","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2629697060&receiver_id=129968402&ref_url=%2Fitems%2F2629697060%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D129968402%26ref_url%3D%252Fhombre%252Fcalzado%252Fzapatos-de-vestir%252F2629697060-zapatos-de-hosteleria%26source%3Dwantit%26subject%3Dwanted%253A%2BZapatos%2Bde%2Bhosteleria&source=wantit&subject=wanted%3A+Zapatos+de+hosteleria"
"Cazadora súper chula ","https://www.vinted.es/kobiety/ubrania/ubrania-sportowe/bluzy-i-swetry/2629697452-cazadora-super-chula","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2629697452&receiver_id=53317180&ref_url=%2Fitems%2F2629697452%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D53317180%26ref_url%3D%252Fmujer%252Fropa%252Fropa-deportiva%252Fsudaderas%252F2629697452-cazadora-super-chula%26source%3Dwantit%26subject%3Dwanted%253A%2BCazadora%2Bs%25C3%25BAper%2Bchula%2B&source=wantit&subject=wanted%3A+Cazadora+s%C3%BAper+chula+"
"Sudadera Palace color Mostaza","https://www.vinted.es/hommes/vetements/sweats-and-pulls/pulls-et-pulls-a-capuche/2629699314-sudadera-palace-color-mostaza","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2629699314&receiver_id=128124642&ref_url=%2Fitems%2F2629699314%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D128124642%26ref_url%3D%252Fhombre%252Fropa%252Fjerseis-y-sudaderas%252Fsudaderas-y-sudaderas-con-capucha%252F2629699314-sudadera-palace-color-mostaza%26source%3Dwantit%26subject%3Dwanted%253A%2BSudadera%2BPalace%2Bcolor%2BMostaza&source=wantit&subject=wanted%3A+Sudadera+Palace+color+Mostaza"
"Pantalón deportivo mujer","https://www.vinted.es/mujer/ropa/ropa-deportiva/chandales/2629698286-pantalon-deportivo-mujer","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2629698286&receiver_id=77866886&ref_url=%2Fitems%2F2629698286%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D77866886%26ref_url%3D%252Fmujer%252Fropa%252Fropa-deportiva%252Fchandales%252F2629698286-pantalon-deportivo-mujer%26source%3Dwantit%26subject%3Dwanted%253A%2BPantal%25C3%25B3n%2Bdeportivo%2Bmujer&source=wantit&subject=wanted%3A+Pantal%C3%B3n+deportivo+mujer"
"Esquis","https://www.vinted.es/dzieci/zabawki-do-jezdzenia/sanki-deski-snowboardowe-narty/2629697537-esquis","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2629697537&receiver_id=99961494&ref_url=%2Fitems%2F2629697537%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D99961494%26ref_url%3D%252Fninos%252Fjuguetes-para-montar%252Ftrineos-tablas-esquis%252F2629697537-esquis%26source%3Dwantit%26subject%3Dwanted%253A%2BEsquis&source=wantit&subject=wanted%3A+Esquis"
"Juego para la Wii U","https://www.vinted.es/entretenimiento/consolas-y-videojuegos/nintendo-wii-slash-wii-u/juegos/2629698495-juego-para-la-wii-u","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2629698495&receiver_id=122994764&ref_url=%2Fitems%2F2629698495%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D122994764%26ref_url%3D%252Fentretenimiento%252Fconsolas-y-videojuegos%252Fnintendo-wii-slash-wii-u%252Fjuegos%252F2629698495-juego-para-la-wii-u%26source%3Dwantit%26subject%3Dwanted%253A%2BJuego%2Bpara%2Bla%2BWii%2BU&source=wantit&subject=wanted%3A+Juego+para+la+Wii+U"
"Formula 1 2018","https://www.vinted.es/entretenimiento/consolas-y-videojuegos/playstation-4/juegos/2629696056-formula-1-2018","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2629696056&receiver_id=129943419&ref_url=%2Fitems%2F2629696056%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D129943419%26ref_url%3D%252Fentretenimiento%252Fconsolas-y-videojuegos%252Fplaystation-4%252Fjuegos%252F2629696056-formula-1-2018%26source%3Dwantit%26subject%3Dwanted%253A%2BFormula%2B1%2B2018&source=wantit&subject=wanted%3A+Formula+1+2018"
"Camiseta Balenciaga ","https://www.vinted.es/hombre/ropa/camisetas-y-camisas/camisetas-lisas/2629696040-camiseta-balenciaga","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2629696040&receiver_id=49749073&ref_url=%2Fitems%2F2629696040%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D49749073%26ref_url%3D%252Fhombre%252Fropa%252Fcamisetas-y-camisas%252Fcamisetas-lisas%252F2629696040-camiseta-balenciaga%26source%3Dwantit%26subject%3Dwanted%253A%2BCamiseta%2BBalenciaga%2B&source=wantit&subject=wanted%3A+Camiseta+Balenciaga+"
"Gorro de Roberto el Reno 🎄","https://www.vinted.es/mezczyzni/akcesoria-dodatki/kapelusze-i-czapki/zimowe-czapki/2629695975-gorro-de-roberto-el-reno","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2629695975&receiver_id=127052999&ref_url=%2Fitems%2F2629695975%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D127052999%26ref_url%3D%252Fhombre%252Faccesorios%252Fsombreros-y-gorros%252Fgorros-de-invierno%252F2629695975-gorro-de-roberto-el-reno%26source%3Dwantit%26subject%3Dwanted%253A%2BGorro%2Bde%2BRoberto%2Bel%2BReno%2B%25F0%259F%258E%2584&source=wantit&subject=wanted%3A+Gorro+de+Roberto+el+Reno+%F0%9F%8E%84"
