"Название товара","Ссылка на продавца","Ссылка на чат"
"air force one blancas fake.","https://es.wallapop.com/item/air-force-one-blancas-fake-868798203","https://es.wallapop.com/app/chat?itemId=nz001m3m4vzo"
"GPS seguimiento perro de caza","https://es.wallapop.com/item/gps-seguimiento-perro-de-caza-868798617","https://es.wallapop.com/app/chat?itemId=wzvndy8ywqjl"
"Gramola con mueble 1906","https://es.wallapop.com/item/gramola-con-mueble-1906-868798185","https://es.wallapop.com/app/chat?itemId=pj950y7y5vze"
"Orbea aqua T105 2012","https://es.wallapop.com/item/orbea-aqua-t105-2012-868798929","https://es.wallapop.com/app/chat?itemId=qjwpgy8d9qzo"
"OPPO a 72","https://es.wallapop.com/item/se-vende-telefono-oppo-a-72-868798856","https://es.wallapop.com/app/chat?itemId=qzmy0483oozv"
"Samsung Galaxy A23 5G","https://es.wallapop.com/item/samsung-galaxy-a23-5g-868798085","https://es.wallapop.com/app/chat?itemId=pj950y7ydmze"
"Silla Estudio Juvenil","https://es.wallapop.com/item/silla-estudio-juvenil-868798078","https://es.wallapop.com/app/chat?itemId=nzx0g58l31z2"
"Casco moto modular 180 tech carbono","https://es.wallapop.com/item/casco-moto-modular-180-tech-carbono-868797670","https://es.wallapop.com/app/chat?itemId=8z84p10q8o63"
"Colchón comprado en Amazon hace menos de un año","https://es.wallapop.com/item/colchon-comprado-en-amazon-hace-menos-de-un-ano-868797656","https://es.wallapop.com/app/chat?itemId=qzmy0489mozv"
"SsangYong Musso 1996","https://es.wallapop.com/item/ssangyong-musso-1996-868797972","https://es.wallapop.com/app/chat?itemId=e65gdy5vn2jo"
"Se vende ordenador completo","https://es.wallapop.com/item/se-vende-ordenador-completo-868797939","https://es.wallapop.com/app/chat?itemId=36exmwkd0nzd"
