"Название товара","Ссылка на продавца","Ссылка на чат"
"HUAWEI WATCH 2  4G","https://es.wallapop.com/item/huawei-watch-2-4g-871184675","https://es.wallapop.com/app/chat?itemId=nz001yepydzo"
"VOLANTE THRUSTMASTER T128","https://es.wallapop.com/item/volante-thrustmaster-t128-871184755","https://es.wallapop.com/app/chat?itemId=p61ymqg01g65"
"colchón y somier","https://es.wallapop.com/item/colchon-y-somier-871183256","https://es.wallapop.com/app/chat?itemId=qzmy0p5wqozv"
"vendo o cambio ps3 ","https://es.wallapop.com/item/vendo-o-cambio-ps3-871183597","https://es.wallapop.com/app/chat?itemId=mzn870nqm7zn"
"Airpods max","https://es.wallapop.com/item/airpods-max-871184981","https://es.wallapop.com/app/chat?itemId=xzorw7p4y2z9"
"Corta fiambre profesional ","https://es.wallapop.com/item/corta-fiambre-profesional-871184967","https://es.wallapop.com/app/chat?itemId=vjrrm1w508jk"
"Silla de coche CONCORD ISOFIX","https://es.wallapop.com/item/silla-de-coche-concord-isofix-871184963","https://es.wallapop.com/app/chat?itemId=36exmey72vzd"
"CUADRO NUDOS MARINERO ","https://es.wallapop.com/item/cuadro-nudos-marinero-871184392","https://es.wallapop.com/app/chat?itemId=wzy5gqkp3pj5"
"Hamaca Disney Mickey y amigos ","https://es.wallapop.com/item/hamaca-disney-mickey-y-amigos-871184373","https://es.wallapop.com/app/chat?itemId=mzn870n15yzn"
"sofá en L ","https://es.wallapop.com/item/sofa-en-l-871183634","https://es.wallapop.com/app/chat?itemId=8j3ekrq9lyz9"
"Volkswagen Polo 2003","https://es.wallapop.com/item/volkswagen-polo-2003-871183435","https://es.wallapop.com/app/chat?itemId=0j23oqvd4v6y"
"Patinete eléctrico Ninebot Max G30E II Nuevo Fact.","https://es.wallapop.com/item/patinete-electrico-ninebot-max-g30e-ii-nuevo-fact-871183382","https://es.wallapop.com/app/chat?itemId=8j3ekrq9xlz9"
"Raqueta Prince México","https://es.wallapop.com/item/raqueta-prince-mexico-871184198","https://es.wallapop.com/app/chat?itemId=pzprxw0oxm63"
"Reloj dogma","https://es.wallapop.com/item/reloj-dogma-871183357","https://es.wallapop.com/app/chat?itemId=xzorw7pq8wz9"
"limpiezas extremas síndrome de Diógenes","https://es.wallapop.com/item/limpiezas-extremas-sindrome-de-diogenes-871184000","https://es.wallapop.com/app/chat?itemId=e65gd9nk8pjo"
"Reloj","https://es.wallapop.com/item/reloj-871183991","https://es.wallapop.com/app/chat?itemId=vjrrm1w2rljk"
"neumático de moto","https://es.wallapop.com/item/neumatico-de-moto-871184919","https://es.wallapop.com/app/chat?itemId=vjrrm1w5w8jk"
"iPad Air 5 pack","https://es.wallapop.com/item/ipad-air-5-pack-871184871","https://es.wallapop.com/app/chat?itemId=ejkkn5y33qjx"
"PlayStation 4 de 500GB + juegos+mando extra","https://es.wallapop.com/item/playstation-4-de-500gb---juegos-mando-extra-871184865","https://es.wallapop.com/app/chat?itemId=wzvndqo77qjl"
"Huawei ","https://es.wallapop.com/item/huawei-871184136","https://es.wallapop.com/app/chat?itemId=9jd21ey9vd6k"
"pinza freno sym joymax 125 i ","https://es.wallapop.com/item/pinza-freno-sym-joymax-125-i-871184500","https://es.wallapop.com/app/chat?itemId=e65gd9n1ygjo"
"Rx 6800 16 GB gigabyte","https://es.wallapop.com/item/rx-6800-16-gb-gigabyte-871184625","https://es.wallapop.com/app/chat?itemId=mzn870nkw0zn"
"Habitación en alquiler","https://es.wallapop.com/item/habitacion-en-alquiler-871184603","https://es.wallapop.com/app/chat?itemId=nz001yep8dzo"
"Mueble Recibidor ","https://es.wallapop.com/item/mueble-recibidor-871184597","https://es.wallapop.com/app/chat?itemId=mzn870nk32zn"
"PARA JARDIN Y TERRAZA - REALIZAMOS ENVIO - NUEVO ","https://es.wallapop.com/item/para-jardin-y-terraza-realizamos-envio-nuevo-871184351","https://es.wallapop.com/app/chat?itemId=nz001yeoe7zo"
