"Название товара","Ссылка на продавца","Ссылка на чат"
"movil","https://es.wallapop.com/item/movil-868475148","https://es.wallapop.com/app/chat?itemId=e65gdv51p2jo"
"Belenes ","https://es.wallapop.com/item/belenes-868473521","https://es.wallapop.com/app/chat?itemId=3zl1p4r7x2jx"
"Play4","https://es.wallapop.com/item/play4-868474129","https://es.wallapop.com/app/chat?itemId=qjwpge88nezo"
"iphone 11","https://es.wallapop.com/item/iphone-11-868475353","https://es.wallapop.com/app/chat?itemId=qjwpge8wwezo"
"patinete eléctrico. ","https://es.wallapop.com/item/patinete-electrico-868474677","https://es.wallapop.com/app/chat?itemId=qjwpge85vkzo"
"Peugeot 306 1998","https://es.wallapop.com/item/peugeot-306-1998-868473833","https://es.wallapop.com/app/chat?itemId=xzorwlqql4z9"
"SUNNTO 7 ","https://es.wallapop.com/item/sunnto-7-868473183","https://es.wallapop.com/app/chat?itemId=0j23owdo0d6y"
"Canapé y cabecero tengo dos quiero 150 por cada un","https://es.wallapop.com/item/canape-y-cabecero-tengo-dos-quiero-150-por-cada-un-868473169","https://es.wallapop.com/app/chat?itemId=3zl1p4rpv4jx"
"Peugeot 206cc","https://es.wallapop.com/item/peugeot-206cc-868472411","https://es.wallapop.com/app/chat?itemId=0j23owdkle6y"
"Kymco agility 125","https://es.wallapop.com/item/kymco-agility-125-868472309","https://es.wallapop.com/app/chat?itemId=xzorwlqod2z9"
"colchon doble ","https://es.wallapop.com/item/colchon-doble-868472713","https://es.wallapop.com/app/chat?itemId=pj950k70gkze"
"Frigorífico ","https://es.wallapop.com/item/frigorifico-868474412","https://es.wallapop.com/app/chat?itemId=9jd21xq9xl6k"
"patín eléctrico xaomi pro 2 ","https://es.wallapop.com/item/patin-electrico-xaomi-pro-2-868474369","https://es.wallapop.com/app/chat?itemId=3zl1p4rwe4jx"
"moneda de dos euros República francesa ","https://es.wallapop.com/item/moneda-de-dos-euros-republica-francesa-868474880","https://es.wallapop.com/app/chat?itemId=qzmy098xrozv"
"tablet huawei Matepad T 10S","https://es.wallapop.com/item/tablet-huawei-matepad-t-10s-868474614","https://es.wallapop.com/app/chat?itemId=4z412y49r8zy"
"CUNA DE BEBE","https://es.wallapop.com/item/cuna-de-bebe-868474571","https://es.wallapop.com/app/chat?itemId=ejkknxq7erjx"
"ALQUILER DE VIVIENDA EN LÓPEZ DE HOYOS (MADRID)","https://es.wallapop.com/item/alquiler-de-vivienda-en-lopez-de-hoyos-madrid-868473588","https://es.wallapop.com/app/chat?itemId=v6g230qrqnze"
"Sofá marroquí ,en buen estado","https://es.wallapop.com/item/sofa-marroqui-en-buen-estado-868474102","https://es.wallapop.com/app/chat?itemId=pzprxyqq3l63"
"chaqueta DI B Y Ede mujer","https://es.wallapop.com/item/chaqueta-di-b-y-ede-mujer-868474103","https://es.wallapop.com/app/chat?itemId=nz001g33x7zo"
"portes ","https://es.wallapop.com/item/portes-868475084","https://es.wallapop.com/app/chat?itemId=9jd21xq0kl6k"
"sofá chaiselongue izquierda ","https://es.wallapop.com/item/sofa-chaiselongue-izquierda-868475045","https://es.wallapop.com/app/chat?itemId=3zl1p4r218jx"
"Redmi 9 ","https://es.wallapop.com/item/redmi-9-868475054","https://es.wallapop.com/app/chat?itemId=nzx0gl8x0pz2"
"Camisa Vaquera Levi'S","https://es.wallapop.com/item/camisa-vaquera-levi-s-868473308","https://es.wallapop.com/app/chat?itemId=qzmy098w3lzv"
