"Название товара","Ссылка на продавца","Ссылка на чат"
"Bici marca ORBEA","https://es.wallapop.com/item/bici-marca-orbea-872511994","https://es.wallapop.com/app/chat?itemId=8z84pp73dr63"
"CANGURO Y PROFESOR PARTICULAR","https://es.wallapop.com/item/canguro-y-profesor-particular-872511974","https://es.wallapop.com/app/chat?itemId=pzprxx0eem63"
"Butaca de lectura","https://es.wallapop.com/item/butaca-de-lectura-872510848","https://es.wallapop.com/app/chat?itemId=e65gddn5okjo"
"Huawei ALE-L21","https://es.wallapop.com/item/huawei-ale-l21-872510850","https://es.wallapop.com/app/chat?itemId=pzprxx0q4463"
"Lavavajillas Balay","https://es.wallapop.com/item/lavavajillas-balay-872510843","https://es.wallapop.com/app/chat?itemId=vjrrmmw8gxjk"
"Mueble Vintage","https://es.wallapop.com/item/mueble-vintage-872510835","https://es.wallapop.com/app/chat?itemId=0j23oovdxr6y"
"Lámpara ","https://es.wallapop.com/item/lampara-872510822","https://es.wallapop.com/app/chat?itemId=8z84pp703l63"
"WiFi USB adapter","https://es.wallapop.com/item/wifi-usb-adapter-872511946","https://es.wallapop.com/app/chat?itemId=8z84pp73nr63"
"Lo que no te mata te hace más fuerte","https://es.wallapop.com/item/lo-que-no-te-mata-te-hace-mas-fuerte-872511941","https://es.wallapop.com/app/chat?itemId=wzvnddo7e4jl"
"Mochila porta bebé","https://es.wallapop.com/item/mochila-porta-bebe-872511916","https://es.wallapop.com/app/chat?itemId=v6g233yxq2ze"
"Tenis nike de Futbol ","https://es.wallapop.com/item/tenis-nike-de-futbol-872510782","https://es.wallapop.com/app/chat?itemId=8j3ekkq997z9"
"chandal","https://es.wallapop.com/item/chandal-872510898","https://es.wallapop.com/app/chat?itemId=pzprxx0qp463"
"Samsung galaxy S21 5g","https://es.wallapop.com/item/samsung-galaxy-s21-5g-872510890","https://es.wallapop.com/app/chat?itemId=x6qd11780njy"
"Legislación básica de Derecho internacional","https://es.wallapop.com/item/legislacion-basica-de-derecho-internacional-872510888","https://es.wallapop.com/app/chat?itemId=v6g233yql7ze"
"Instalación de suelo laminado","https://es.wallapop.com/item/instalacion-de-suelo-laminado-872510887","https://es.wallapop.com/app/chat?itemId=36exmmykl8zd"
"TELEFONO","https://es.wallapop.com/item/telefono-872510874","https://es.wallapop.com/app/chat?itemId=pzprxx0q0463"
"Clases Particulares","https://es.wallapop.com/item/clases-particulares-872510749","https://es.wallapop.com/app/chat?itemId=mzn877nqx7zn"
"pedri balón de oro ","https://es.wallapop.com/item/pedri-balon-de-oro-872510744","https://es.wallapop.com/app/chat?itemId=wzy5ggk80xj5"
"Chaqueta impermeable, a estrenar ","https://es.wallapop.com/item/chaqueta-impermeable-a-estrenar-872510730","https://es.wallapop.com/app/chat?itemId=nzx0gg28g7z2"
"Abrigo DESIGUAL","https://es.wallapop.com/item/abrigo-desigual-872512038","https://es.wallapop.com/app/chat?itemId=4z41225xp8zy"
"Curso de monitor de ocio y tiempo libre.","https://es.wallapop.com/item/curso-de-monitor-de-ocio-y-tiempo-libre-872512027","https://es.wallapop.com/app/chat?itemId=nz0011epeezo"
"Ofrezco cabina de estetica  ","https://es.wallapop.com/item/ofrezco-cabina-de-estetica-872512030","https://es.wallapop.com/app/chat?itemId=nzx0gg2x21z2"
"Cuadro marineros","https://es.wallapop.com/item/cuadro-marineros-872512013","https://es.wallapop.com/app/chat?itemId=pj9500w2wmze"
"Lote cocina","https://es.wallapop.com/item/lote-cocina-872512150","https://es.wallapop.com/app/chat?itemId=pzprxx048l63"
"Carolina Herrera Good Girl 150ml","https://es.wallapop.com/item/carolina-herrera-good-girl-150ml-872511133","https://es.wallapop.com/app/chat?itemId=xzorwwpmgwz9"
"Reloj Fossil Forrester modern 2 ","https://es.wallapop.com/item/reloj-fossil-forrester-modern-2-872511106","https://es.wallapop.com/app/chat?itemId=nzx0gg2n4mz2"
"Top negro","https://es.wallapop.com/item/top-negro-872511103","https://es.wallapop.com/app/chat?itemId=nz0011eo4rzo"
"Impresora- cortadora CO2.","https://es.wallapop.com/item/impresora-cortadora-co2-872511069","https://es.wallapop.com/app/chat?itemId=3zl1ppyw9qjx"
"Libros de Medicina Interna (9 unidades)","https://es.wallapop.com/item/libros-de-medicina-interna-9-unidades-872510655","https://es.wallapop.com/app/chat?itemId=p61ymmg2e265"
"Patines en línea Rollerblade.","https://es.wallapop.com/item/patines-en-linea-rollerblade-872510638","https://es.wallapop.com/app/chat?itemId=4z412254qwzy"
"Jarron","https://es.wallapop.com/item/jarron-872510970","https://es.wallapop.com/app/chat?itemId=8z84pp70yd63"
"call of duty modern warfare para Xbox ","https://es.wallapop.com/item/call-of-duty-modern-warfare-para-xbox-872510966","https://es.wallapop.com/app/chat?itemId=x6qd1178rojy"
"Silla de escritorio de IKEA JÄRVFJÄLLET","https://es.wallapop.com/item/silla-de-escritorio-de-ikea-jarvfjallet-872510963","https://es.wallapop.com/app/chat?itemId=36exmmykqvzd"
"Abrigo carhartt canguro rojo ","https://es.wallapop.com/item/abrigo-carhartt-canguro-rojo-872510711","https://es.wallapop.com/app/chat?itemId=0j23oovdkm6y"
"taula de planxar","https://es.wallapop.com/item/taula-de-planxar-872510703","https://es.wallapop.com/app/chat?itemId=nz0011e3x3zo"
"Cabecero","https://es.wallapop.com/item/cabecero-872510928","https://es.wallapop.com/app/chat?itemId=w67ynn0pm86x"
"Siux Black Carbon brillo 3D effect 2022","https://es.wallapop.com/item/siux-black-carbon-brillo-3d-effect-2022-872510916","https://es.wallapop.com/app/chat?itemId=v6g233yq9nze"
"Sweater ZARA  ","https://es.wallapop.com/item/sweater-zara-872510596","https://es.wallapop.com/app/chat?itemId=e65gddn5pgjo"
"Valentino Rossi The Game PS4","https://es.wallapop.com/item/valentino-rossi-the-game-ps4-872512118","https://es.wallapop.com/app/chat?itemId=x6qd117grojy"
"Mesa salón elevable","https://es.wallapop.com/item/mesa-salon-elevable-872512121","https://es.wallapop.com/app/chat?itemId=3zl1ppy2o2jx"
"Abrigo","https://es.wallapop.com/item/abrigo-872512116","https://es.wallapop.com/app/chat?itemId=v6g233yx8nze"
"Libro ""Los Días Del Toyota""","https://es.wallapop.com/item/libro-los-dias-del-toyota-872511869","https://es.wallapop.com/app/chat?itemId=3zl1ppy2p8jx"
"Televisor LG32'","https://es.wallapop.com/item/televisor-lg32-872511031","https://es.wallapop.com/app/chat?itemId=p61ymmg3o565"
"microondas ","https://es.wallapop.com/item/microondas-872511448","https://es.wallapop.com/app/chat?itemId=e65gddnknkjo"
"maquina de coser marca REFREY","https://es.wallapop.com/item/maquina-de-coser-marca-refrey-872511466","https://es.wallapop.com/app/chat?itemId=x6qd11730njy"
"el arte de no amargarse la vida ","https://es.wallapop.com/item/el-arte-de-no-amargarse-la-vida-872510582","https://es.wallapop.com/app/chat?itemId=8j3ekkq9plz9"
"Mueble recibidor ","https://es.wallapop.com/item/mueble-recibidor-872510570","https://es.wallapop.com/app/chat?itemId=8z84pp705163"
"sudadera yuxus","https://es.wallapop.com/item/sudadera-yuxus-872510555","https://es.wallapop.com/app/chat?itemId=p61ymmg28d65"
"Pantalones cortos verano","https://es.wallapop.com/item/pantalones-cortos-verano-872511223","https://es.wallapop.com/app/chat?itemId=ejkknny7dpjx"
"Mini cuna bebé","https://es.wallapop.com/item/mini-cuna-bebe-872511195","https://es.wallapop.com/app/chat?itemId=ejkknny759jx"
"saco 1kg relleno para peluches ","https://es.wallapop.com/item/saco-1kg-relleno-para-peluches-872511200","https://es.wallapop.com/app/chat?itemId=e65gddnk9pjo"
