"Название товара","Ссылка на продавца","Ссылка на чат"
"Zapatillas nike","https://www.vinted.es/hommes/chaussures/baskets/2643459893-zapatillas-nike","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2643459893&receiver_id=130241608&ref_url=%2Fitems%2F2643459893%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130241608%26ref_url%3D%252Fhombre%252Fzapatos%252Fzapatillas%252F2643459893-zapatillas-nike%26source%3Dwantit%26subject%3Dwanted%253A%2BZapatillas%2Bnike&source=wantit&subject=wanted%3A+Zapatillas+nike"
"Pantalones vaqueros pull&bear","https://www.vinted.es/kobiety/ubrania/jeansy/dzinsy-z-rozdarciami/2643458847-pantalones-vaqueros-pullbear","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2643458847&receiver_id=130457211&ref_url=%2Fitems%2F2643458847%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130457211%26ref_url%3D%252Fmujer%252Fropa%252Fvaqueros%252Fvaqueros-rotos%252F2643458847-pantalones-vaqueros-pullbear%26source%3Dwantit%26subject%3Dwanted%253A%2BPantalones%2Bvaqueros%2Bpull%2526bear&source=wantit&subject=wanted%3A+Pantalones+vaqueros+pull%26bear"
"Botines Botticelli","https://www.vinted.es/femmes/chaussures/bottines/2643455886-botines-botticelli","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2643455886&receiver_id=130416648&ref_url=%2Fitems%2F2643455886%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130416648%26ref_url%3D%252Fmujer%252Fzapatos%252Fbotines%252F2643455886-botines-botticelli%26source%3Dwantit%26subject%3Dwanted%253A%2BBotines%2BBotticelli&source=wantit&subject=wanted%3A+Botines+Botticelli"
"Chaqueta Billabong hombre M/ 38-40","https://www.vinted.es/herren/kleidung/oberbekleidung/jacken/bomberjacken/2643456650-chaqueta-billabong-hombre-m-38-40","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2643456650&receiver_id=27496037&ref_url=%2Fitems%2F2643456650%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D27496037%26ref_url%3D%252Fhombre%252Fropa%252Fabrigos-y-cazadoras%252Fcazadoras%252Fchaquetas-bomber%252F2643456650-chaqueta-billabong-hombre-m-38-40%26source%3Dwantit%26subject%3Dwanted%253A%2BChaqueta%2BBillabong%2Bhombre%2BM%252F%2B38-40&source=wantit&subject=wanted%3A+Chaqueta+Billabong+hombre+M%2F+38-40"
"Pantalón marrón ","https://www.vinted.es/femmes/vetements/pantalons-and-leggings/pantalons-skinny/2643461821-pantalon-marron","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2643461821&receiver_id=47871043&ref_url=%2Fitems%2F2643461821%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D47871043%26ref_url%3D%252Fmujer%252Fropa%252Fpantalones-y-leggings%252Fpantalones-pitillo%252F2643461821-pantalon-marron%26source%3Dwantit%26subject%3Dwanted%253A%2BPantal%25C3%25B3n%2Bmarr%25C3%25B3n%2B&source=wantit&subject=wanted%3A+Pantal%C3%B3n+marr%C3%B3n+"
"Pantalón chico cuadros Benetton","https://www.vinted.es/hombre/ropa/pantalones/pantalones-de-pinzas/2643461740-pantalon-chico-cuadros-benetton","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2643461740&receiver_id=130316492&ref_url=%2Fitems%2F2643461740%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130316492%26ref_url%3D%252Fhombre%252Fropa%252Fpantalones%252Fpantalones-de-pinzas%252F2643461740-pantalon-chico-cuadros-benetton%26source%3Dwantit%26subject%3Dwanted%253A%2BPantal%25C3%25B3n%2Bchico%2Bcuadros%2BBenetton&source=wantit&subject=wanted%3A+Pantal%C3%B3n+chico+cuadros+Benetton"
"Abrigo napapijri","https://www.vinted.es/hommes/vetements/manteaux-and-vestes/impermeables/2643461141-abrigo-napapijri","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2643461141&receiver_id=46649403&ref_url=%2Fitems%2F2643461141%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D46649403%26ref_url%3D%252Fhombre%252Fropa%252Fabrigos-y-cazadoras%252Fimpermeables%252F2643461141-abrigo-napapijri%26source%3Dwantit%26subject%3Dwanted%253A%2BAbrigo%2Bnapapijri&source=wantit&subject=wanted%3A+Abrigo+napapijri"
"Gorro GRIMEY","https://www.vinted.es/hommes/accessoires/chapeaux-et-casquettes/chapeaux-dhiver/2643458645-gorro-grimey","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2643458645&receiver_id=46619667&ref_url=%2Fitems%2F2643458645%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D46619667%26ref_url%3D%252Fhombre%252Faccesorios%252Fsombreros-y-gorros%252Fgorros-de-invierno%252F2643458645-gorro-grimey%26source%3Dwantit%26subject%3Dwanted%253A%2BGorro%2BGRIMEY&source=wantit&subject=wanted%3A+Gorro+GRIMEY"
"Vestido de flores marca Stradivarius ","https://www.vinted.es/femmes/vetements/robes/robes-dete/2643457850-vestido-de-flores-marca-stradivarius","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2643457850&receiver_id=70262371&ref_url=%2Fitems%2F2643457850%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D70262371%26ref_url%3D%252Fmujer%252Fropa%252Fvestidos%252Fvestidos-de-verano%252F2643457850-vestido-de-flores-marca-stradivarius%26source%3Dwantit%26subject%3Dwanted%253A%2BVestido%2Bde%2Bflores%2Bmarca%2BStradivarius%2B&source=wantit&subject=wanted%3A+Vestido+de+flores+marca+Stradivarius+"
"Camiseta stradivarius ","https://www.vinted.es/mujer/ropa/camisetas-y-tops-221/2643462574-camiseta-stradivarius","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2643462574&receiver_id=130447058&ref_url=%2Fitems%2F2643462574%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130447058%26ref_url%3D%252Fmujer%252Fropa%252Fcamisetas-y-tops-221%252F2643462574-camiseta-stradivarius%26source%3Dwantit%26subject%3Dwanted%253A%2BCamiseta%2Bstradivarius%2B&source=wantit&subject=wanted%3A+Camiseta+stradivarius+"
