"Название товара","Ссылка на продавца","Ссылка на чат"
"Bolso cruzado nylon Springfield ","https://www.vinted.es/hommes/accessoires/sacs-et-sacoches/sacs-a-bandouliere/2666180288-bolso-cruzado-nylon-springfield","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666180288&receiver_id=131342750&ref_url=%2Fitems%2F2666180288%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D131342750%26ref_url%3D%252Fhombre%252Faccesorios%252Fmochilas-y-bolsos%252Fbolsos-de-hombro%252F2666180288-bolso-cruzado-nylon-springfield%26source%3Dwantit%26subject%3Dwanted%253A%2BBolso%2Bcruzado%2Bnylon%2BSpringfield%2B&source=wantit&subject=wanted%3A+Bolso+cruzado+nylon+Springfield+"
"Pantalón blanco ajustado blanco de Bershka","https://www.vinted.es/femmes/vetements/pantalons-and-leggings/autres-pantalons/2666181280-pantalon-blanco-ajustado-blanco-de-bershka","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666181280&receiver_id=131090088&ref_url=%2Fitems%2F2666181280%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D131090088%26ref_url%3D%252Fmujer%252Fropa%252Fpantalones-y-leggings%252Fotros-pantalones%252F2666181280-pantalon-blanco-ajustado-blanco-de-bershka%26source%3Dwantit%26subject%3Dwanted%253A%2BPantal%25C3%25B3n%2Bblanco%2Bajustado%2Bblanco%2Bde%2BBershka&source=wantit&subject=wanted%3A+Pantal%C3%B3n+blanco+ajustado+blanco+de+Bershka"
"Camiseta Real Madrid","https://www.vinted.es/hombre/ropa/camisetas-y-camisas/otras-camisetas/2666178184-camiseta-real-madrid","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666178184&receiver_id=42401239&ref_url=%2Fitems%2F2666178184%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D42401239%26ref_url%3D%252Fhombre%252Fropa%252Fcamisetas-y-camisas%252Fotras-camisetas%252F2666178184-camiseta-real-madrid%26source%3Dwantit%26subject%3Dwanted%253A%2BCamiseta%2BReal%2BMadrid&source=wantit&subject=wanted%3A+Camiseta+Real+Madrid"
"Mono ( vestido) zara sin estrenar con etiqueta","https://www.vinted.es/kobiety/ubrania/kombinezony/kombinezony-krotkie/2666178048-mono-vestido-zara-sin-estrenar-con-etiqueta","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666178048&receiver_id=127004363&ref_url=%2Fitems%2F2666178048%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D127004363%26ref_url%3D%252Fmujer%252Fropa%252Fmonos%252Fmonos-cortos%252F2666178048-mono-vestido-zara-sin-estrenar-con-etiqueta%26source%3Dwantit%26subject%3Dwanted%253A%2BMono%2B%2528%2Bvestido%2529%2Bzara%2Bsin%2Bestrenar%2Bcon%2Betiqueta&source=wantit&subject=wanted%3A+Mono+%28+vestido%29+zara+sin+estrenar+con+etiqueta"
"Sudadera blanca ","https://www.vinted.es/femmes/vetements/sweats-and-sweats-a-capuche-196/2666181218-sudadera-blanca","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666181218&receiver_id=80324810&ref_url=%2Fitems%2F2666181218%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D80324810%26ref_url%3D%252Fmujer%252Fropa%252Fjerseis-y-sudaderas%252Fsudaderas%252F2666181218-sudadera-blanca%26source%3Dwantit%26subject%3Dwanted%253A%2BSudadera%2Bblanca%2B&source=wantit&subject=wanted%3A+Sudadera+blanca+"
"Sudadera niña","https://www.vinted.es/enfants/filles/pulls-and-sweats/pulls-a-capuche-and-sweatshirts/2666181217-sudadera-nina","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666181217&receiver_id=131121461&ref_url=%2Fitems%2F2666181217%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D131121461%26ref_url%3D%252Fninos%252Fninas%252Fjerseis-y-sudaderas%252Fsudaderas%252F2666181217-sudadera-nina%26source%3Dwantit%26subject%3Dwanted%253A%2BSudadera%2Bni%25C3%25B1a&source=wantit&subject=wanted%3A+Sudadera+ni%C3%B1a"
"Rebeca Fular mayoral","https://www.vinted.es/dzieci/ubrania-dla-dziewczynek/swetry-i-bluzy/bolerka/2666176247-rebeca-fular-mayoral","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666176247&receiver_id=72752135&ref_url=%2Fitems%2F2666176247%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D72752135%26ref_url%3D%252Fninos%252Fninas%252Fjerseis-y-sudaderas%252Fboleros%252F2666176247-rebeca-fular-mayoral%26source%3Dwantit%26subject%3Dwanted%253A%2BRebeca%2BFular%2Bmayoral&source=wantit&subject=wanted%3A+Rebeca+Fular+mayoral"
"Camisa de cuadros Zara","https://www.vinted.es/dzieci/ubranka-dla-chlopcow/koszule-i-t-shirty-1664/2666176699-camisa-de-cuadros-zara","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666176699&receiver_id=101954390&ref_url=%2Fitems%2F2666176699%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D101954390%26ref_url%3D%252Fninos%252Fninos%252Fcamisetas-y-camisas%252Fcamisas%252F2666176699-camisa-de-cuadros-zara%26source%3Dwantit%26subject%3Dwanted%253A%2BCamisa%2Bde%2Bcuadros%2BZara&source=wantit&subject=wanted%3A+Camisa+de+cuadros+Zara"
"Vaqueros x conan gray ","https://www.vinted.es/mujer/ropa/vaqueros/vaqueros-boyfriend/2666176601-vaqueros-x-conan-gray","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666176601&receiver_id=126647524&ref_url=%2Fitems%2F2666176601%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D126647524%26ref_url%3D%252Fmujer%252Fropa%252Fvaqueros%252Fvaqueros-boyfriend%252F2666176601-vaqueros-x-conan-gray%26source%3Dwantit%26subject%3Dwanted%253A%2BVaqueros%2Bx%2Bconan%2Bgray%2B&source=wantit&subject=wanted%3A+Vaqueros+x+conan+gray+"
"Pantalón pitillo","https://www.vinted.es/hombre/ropa/vaqueros/vaqueros-pitillo/2666176391-pantalon-pitillo","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666176391&receiver_id=131060680&ref_url=%2Fitems%2F2666176391%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D131060680%26ref_url%3D%252Fhombre%252Fropa%252Fvaqueros%252Fvaqueros-pitillo%252F2666176391-pantalon-pitillo%26source%3Dwantit%26subject%3Dwanted%253A%2BPantal%25C3%25B3n%2Bpitillo&source=wantit&subject=wanted%3A+Pantal%C3%B3n+pitillo"
