"Название товара","Ссылка на продавца","Ссылка на чат"
"Opel Signum 2003","https://es.wallapop.com/item/opel-signum-2003-868742510","https://es.wallapop.com/app/chat?itemId=8j3ekygmolz9"
"silla eléctrica de litio ","https://es.wallapop.com/item/silla-electrica-de-litio-868742489","https://es.wallapop.com/app/chat?itemId=wzvndy3r37jl"
"Mesa con 4 sillas ","https://es.wallapop.com/item/mesa-con-4-sillas-868742968","https://es.wallapop.com/app/chat?itemId=wzy5gn9nypj5"
"Mesa de tiro plegable ","https://es.wallapop.com/item/mesa-de-tiro-plegable-868742970","https://es.wallapop.com/app/chat?itemId=8z84p1e15d63"
"juego tocador ","https://es.wallapop.com/item/juego-tocador-868742081","https://es.wallapop.com/app/chat?itemId=xzorw80k94z9"
"Mesas y sillas madera","https://es.wallapop.com/item/mesas-y-sillas-madera-868742066","https://es.wallapop.com/app/chat?itemId=x6qd1ywleyjy"
"Lámpara yute","https://es.wallapop.com/item/lampara-yute-868744109","https://es.wallapop.com/app/chat?itemId=xzorw80rx2z9"
"Camiseta Scalpers sin uso","https://es.wallapop.com/item/camiseta-scalpers-sin-uso-868744076","https://es.wallapop.com/app/chat?itemId=w67yndey4w6x"
"Sillón ","https://es.wallapop.com/item/sillon-868743170","https://es.wallapop.com/app/chat?itemId=8z84p1e1n163"
"Temario EIR extensivo 2022/2023","https://es.wallapop.com/item/temario-eir-extensivo-2022-2023-868743168","https://es.wallapop.com/app/chat?itemId=wzy5gn9npej5"
"Fifa 23 nintendo swich ","https://es.wallapop.com/item/fifa-23-nintendo-swich-868743164","https://es.wallapop.com/app/chat?itemId=v6g234v4qlze"
"zapatillas ","https://es.wallapop.com/item/zapatillas-868742805","https://es.wallapop.com/app/chat?itemId=qjwpgy9ylkzo"
"666296552","https://es.wallapop.com/item/666296552-868742795","https://es.wallapop.com/app/chat?itemId=ejkkn4r42rjx"
"Sillón ","https://es.wallapop.com/item/sillon-868742791","https://es.wallapop.com/app/chat?itemId=vjrrmdxdy4jk"
"iPhone 11 Pro ","https://es.wallapop.com/item/iphone-11-pro-868742771","https://es.wallapop.com/app/chat?itemId=ejkkn4rx1rjx"
"se vende sofa","https://es.wallapop.com/item/se-vende-sofa-868743736","https://es.wallapop.com/app/chat?itemId=9jd217v5q96k"
"vendo chsndal jordan","https://es.wallapop.com/item/vendo-chsndal-jordan-868743358","https://es.wallapop.com/app/chat?itemId=8j3ekygy37z9"
"Calienta biberones","https://es.wallapop.com/item/calienta-biberones-868743359","https://es.wallapop.com/app/chat?itemId=0j23oyeymm6y"
"SEAT Toledo 2001","https://es.wallapop.com/item/seat-toledo-2001-868743354","https://es.wallapop.com/app/chat?itemId=nzx0g59537z2"
"casco de moto","https://es.wallapop.com/item/casco-de-moto-868743335","https://es.wallapop.com/app/chat?itemId=0j23oyey0m6y"
