"Название товара","Ссылка на продавца","Ссылка на чат"
"Hellsing volumen 1","https://es.wallapop.com/item/hellsing-volumen-1-872756922","https://es.wallapop.com/app/chat?itemId=8z84plpryd63"
"Citroen Saxo 2002","https://es.wallapop.com/item/citroen-saxo-2002-872756988","https://es.wallapop.com/app/chat?itemId=v6g23r3v4nze"
"CLASES DE FLAUTA ","https://es.wallapop.com/item/clases-de-flauta-872757464","https://es.wallapop.com/app/chat?itemId=v6g23r3vd7ze"
"downlight led ","https://es.wallapop.com/item/downlight-led-872757460","https://es.wallapop.com/app/chat?itemId=9jd21r1vo26k"
"marcurial talla 44 ","https://es.wallapop.com/item/marcurial-talla-44-872757382","https://es.wallapop.com/app/chat?itemId=8j3eklkg17z9"
"Orange Crush Bass 25 Amplificador de Bajo Combo","https://es.wallapop.com/item/orange-crush-bass-25-amplificador-de-bajo-combo-872757341","https://es.wallapop.com/app/chat?itemId=wzvnd5d374jl"
"Peugeot 306 2001","https://es.wallapop.com/item/peugeot-306-2001-872757043","https://es.wallapop.com/app/chat?itemId=vjrrm3mxrwjk"
"Ps4 ","https://es.wallapop.com/item/ps4-872757562","https://es.wallapop.com/app/chat?itemId=4z412l23vrzy"
"BICICLETA 20 PULGADAS","https://es.wallapop.com/item/bicicleta-20-pulgadas-872757548","https://es.wallapop.com/app/chat?itemId=e65gdld2v0jo"
"Alfombra de juegos bebe ","https://es.wallapop.com/item/alfombra-de-juegos-bebe-872757259","https://es.wallapop.com/app/chat?itemId=0j23oloeov6y"
"nevera camping pequeña","https://es.wallapop.com/item/nevera-camping-pequena-872757093","https://es.wallapop.com/app/chat?itemId=3zl1p7p5mqjx"
"patinete MI Electric Scooter ","https://es.wallapop.com/item/patinete-mi-electric-scooter-872757600","https://es.wallapop.com/app/chat?itemId=e65gdld2gmjo"
"busco empleo","https://es.wallapop.com/item/busco-empleo-872756760","https://es.wallapop.com/app/chat?itemId=9jd21r1m0d6k"
"Habitación en alquiler","https://es.wallapop.com/item/habitacion-en-alquiler-872756744","https://es.wallapop.com/app/chat?itemId=wzy5g0gopxj5"
"Masaje Brasileña ralajante ","https://es.wallapop.com/item/masaje-brasilena-ralajante-872757132","https://es.wallapop.com/app/chat?itemId=qzmy0w0no1zv"
"Mangas de your name ","https://es.wallapop.com/item/mangas-de-your-name-872756587","https://es.wallapop.com/app/chat?itemId=36exmrmoeyzd"
"jaula voladera ","https://es.wallapop.com/item/jaula-voladera-872756712","https://es.wallapop.com/app/chat?itemId=9jd21r1mqd6k"
"vendo s22 256g ","https://es.wallapop.com/item/vendo-s22-256g-872757171","https://es.wallapop.com/app/chat?itemId=ejkkn0nrd9jx"
"Toyota Land Cruiser 2005","https://es.wallapop.com/item/toyota-land-cruiser-2005-872757169","https://es.wallapop.com/app/chat?itemId=3zl1p7p5d4jx"
"Pack de 21 libros y dos películas en inglés ","https://es.wallapop.com/item/pack-de-21-libros-y-dos-peliculas-en-ingles-872757147","https://es.wallapop.com/app/chat?itemId=ejkkn0nr59jx"
"Polar m400","https://es.wallapop.com/item/polar-m400-872756657","https://es.wallapop.com/app/chat?itemId=xzorw1wdo4z9"
"Apple Watch series 7 GPS+CELLULAR  41mm","https://es.wallapop.com/item/apple-watch-series-7-gps-cellular-41mm-872757659","https://es.wallapop.com/app/chat?itemId=0j23olok8e6y"
"Atril Flauta Travesera","https://es.wallapop.com/item/atril-flauta-travesera-872757644","https://es.wallapop.com/app/chat?itemId=wzy5g0gv42j5"
