"Название товара","Ссылка на продавца","Ссылка на чат"
"Estufa de gas de butano.","https://es.wallapop.com/item/estufa-de-gas-de-butano-872861886","https://es.wallapop.com/app/chat?itemId=4z412l7ye8zy"
"chaqueta PULL&BEAR","https://es.wallapop.com/item/chaqueta-pull-bear-872862323","https://es.wallapop.com/app/chat?itemId=ejkkn0vx1rjx"
"Banco multifunción gym ","https://es.wallapop.com/item/banco-multifuncion-gym-872862326","https://es.wallapop.com/app/chat?itemId=pzprxmnyvm63"
"Cama individual negra MALM IKEA","https://es.wallapop.com/item/cama-individual-negra-malm-ikea-872863053","https://es.wallapop.com/app/chat?itemId=qjwpgnkd4kzo"
"Reloj de pared","https://es.wallapop.com/item/reloj-de-pared-872862655","https://es.wallapop.com/app/chat?itemId=p61ymlnom565"
"Barriguita","https://es.wallapop.com/item/barriguita-872862652","https://es.wallapop.com/app/chat?itemId=w67ynl1dny6x"
"Lámpara con cuatro tulipas","https://es.wallapop.com/item/lampara-con-cuatro-tulipas-872862510","https://es.wallapop.com/app/chat?itemId=8j3ekl0yp8z9"
"pistones de freno","https://es.wallapop.com/item/pistones-de-freno-872863038","https://es.wallapop.com/app/chat?itemId=4z412l7ge8zy"
"sofá cama nido","https://es.wallapop.com/item/sofa-cama-nido-872863032","https://es.wallapop.com/app/chat?itemId=qzmy0wr3egzv"
"xiaomi redmi note 7    64gb","https://es.wallapop.com/item/xiaomi-redmi-note-7-64gb-872863010","https://es.wallapop.com/app/chat?itemId=8j3ekl0xeyz9"
"baterias para niños","https://es.wallapop.com/item/baterias-para-ninos-872861601","https://es.wallapop.com/app/chat?itemId=mzn87xy4k0zn"
"SECADORA","https://es.wallapop.com/item/secadora-872861568","https://es.wallapop.com/app/chat?itemId=wzy5g03epej5"
"PlayStation 4","https://es.wallapop.com/item/playstation-4-872861566","https://es.wallapop.com/app/chat?itemId=x6qd1opl85jy"
"PS4 SLIM","https://es.wallapop.com/item/ps4-slim-872862853","https://es.wallapop.com/app/chat?itemId=qjwpgnkykgzo"
"Camisa de oso ","https://es.wallapop.com/item/camisa-de-oso-872862855","https://es.wallapop.com/app/chat?itemId=p61ymlnon265"
"patínete para niños ","https://es.wallapop.com/item/patinete-para-ninos-872862816","https://es.wallapop.com/app/chat?itemId=v6g23r94lmze"
"BMW 318i 1997","https://es.wallapop.com/item/bmw-318i-1997-872861708","https://es.wallapop.com/app/chat?itemId=qzmy0wrgrlzv"
