"Название товара","Ссылка на продавца","Ссылка на чат"
"Botas piel negras","https://es.wallapop.com/item/botas-piel-negras-871236381","https://es.wallapop.com/app/chat?itemId=xzorw7e0v5z9"
"Cinta de correr y caminar","https://es.wallapop.com/item/cinta-de-correr-y-caminar-871236356","https://es.wallapop.com/app/chat?itemId=qzmy0p2n4lzv"
"Casco de moto para mujer ","https://es.wallapop.com/item/casco-de-moto-para-mujer-871235898","https://es.wallapop.com/app/chat?itemId=pzprxwv5d463"
"Ropa para show o deporte disfraces ","https://es.wallapop.com/item/ropa-para-show-o-deporte-disfraces-871235897","https://es.wallapop.com/app/chat?itemId=mzn8709ewkzn"
"Volante ps4 hori","https://es.wallapop.com/item/volante-ps4-hori-871235635","https://es.wallapop.com/app/chat?itemId=0j23oqmq5v6y"
"cama de madera estilo provenzal de 1,10 de ancho ","https://es.wallapop.com/item/cama-de-madera-estilo-provenzal-de-1-10-de-ancho-871235612","https://es.wallapop.com/app/chat?itemId=9jd21egeyl6k"
"Sudadera con capucha Off White","https://es.wallapop.com/item/sudadera-con-capucha-off-white-871235591","https://es.wallapop.com/app/chat?itemId=vjrrm1l1gljk"
"TRANSPORTÍN GRANDE PARA PERROS MALETERO","https://es.wallapop.com/item/transportin-grande-para-perros-maletero-871236415","https://es.wallapop.com/app/chat?itemId=36exmeqv18zd"
"Chaqueta Vintage Degre 7","https://es.wallapop.com/item/chaqueta-vintage-degre-7-871236067","https://es.wallapop.com/app/chat?itemId=vjrrm1lp3wjk"
"Mesa y sillas","https://es.wallapop.com/item/mesa-y-sillas-871235944","https://es.wallapop.com/app/chat?itemId=wzy5gqdoqpj5"
"Land Rover Freelander 2003","https://es.wallapop.com/item/land-rover-freelander-2003-871235936","https://es.wallapop.com/app/chat?itemId=9jd21egmen6k"
"Jade ","https://es.wallapop.com/item/jade-871235941","https://es.wallapop.com/app/chat?itemId=wzvndqxkqdjl"
"Karen Hamaker-Zondag: La Casa Doce","https://es.wallapop.com/item/karen-hamaker-zondag-la-casa-doce-871236186","https://es.wallapop.com/app/chat?itemId=4z412qdr5mzy"
"redmi 9A","https://es.wallapop.com/item/redmi-9a-871236166","https://es.wallapop.com/app/chat?itemId=x6qd1xrne5jy"
"CANAPÉ DE MADERA 150x190 ","https://es.wallapop.com/item/canape-de-madera-150x190-871236208","https://es.wallapop.com/app/chat?itemId=qzmy0p2vlxzv"
"chaqueta ","https://es.wallapop.com/item/chaqueta-871236180","https://es.wallapop.com/app/chat?itemId=qzmy0p2v51zv"
"TAPA BOMBA EMBRAGUE MAGURA KTM","https://es.wallapop.com/item/tapa-bomba-embrague-magura-ktm-871235779","https://es.wallapop.com/app/chat?itemId=p61ymqxeog65"
"FLORES ETERNAS ","https://es.wallapop.com/item/flores-eternas-871235683","https://es.wallapop.com/app/chat?itemId=0j23oqmq0v6y"
"Comederos para gallinas, pollos y pavos","https://es.wallapop.com/item/comederos-para-gallinas-pollos-y-pavos-871236269","https://es.wallapop.com/app/chat?itemId=3zl1pnodo8jx"
"Renault Megane 2003","https://es.wallapop.com/item/renault-megane-2003-871236246","https://es.wallapop.com/app/chat?itemId=8z84p2yro863"
"Habitacion por horas ","https://es.wallapop.com/item/habitacion-por-horas-871235481","https://es.wallapop.com/app/chat?itemId=xzorw7e717z9"
"Vendo Equipo de snow","https://es.wallapop.com/item/vendo-equipo-de-snow-871235743","https://es.wallapop.com/app/chat?itemId=vjrrm1lpk4jk"
"busto de mujer ","https://es.wallapop.com/item/busto-de-mujer-871235723","https://es.wallapop.com/app/chat?itemId=ejkkn51d2rjx"
"Beautiful Oriental Vitrina ","https://es.wallapop.com/item/beautiful-oriental-vitrina-871235822","https://es.wallapop.com/app/chat?itemId=8z84p2yr4l63"
"Pack de Libros","https://es.wallapop.com/item/pack-de-libros-871236110","https://es.wallapop.com/app/chat?itemId=8j3ekr32dlz9"
