"Название товара","Ссылка на продавца","Ссылка на чат"
"Termo seminuevo. Precio negociable. ","https://es.wallapop.com/item/termo-seminuevo-precio-negociable-869028564","https://es.wallapop.com/app/chat?itemId=v6g231ow1nze"
"iPhone 7 32gb","https://es.wallapop.com/item/iphone-7-32gb-869028865","https://es.wallapop.com/app/chat?itemId=wzvndl2perjl"
"Mercedes-Benz Vito 2005","https://es.wallapop.com/item/mercedes-benz-vito-2005-869029546","https://es.wallapop.com/app/chat?itemId=8z84pg57xr63"
"desarrollador de luz y gas digitales ","https://es.wallapop.com/item/desarrollador-de-luz-y-gas-digitales-869028710","https://es.wallapop.com/app/chat?itemId=8j3ekxp1rlz9"
"Audi A3 2008","https://es.wallapop.com/item/audi-a3-2008-869028801","https://es.wallapop.com/app/chat?itemId=mzn87vwd70zn"
"Patinete NKD rally","https://es.wallapop.com/item/patinete-nkd-rally-869029023","https://es.wallapop.com/app/chat?itemId=ejkkn9pogqjx"
"Ventanas Aluminio y PVC. Acristalamiento.","https://es.wallapop.com/item/ventanas-aluminio-y-pvc-869029014","https://es.wallapop.com/app/chat?itemId=4z412g0mw8zy"
"Mesa balinesa ","https://es.wallapop.com/item/mesa-balinesa-869029224","https://es.wallapop.com/app/chat?itemId=e65gd37n7mjo"
"SEAT Leon 2012","https://es.wallapop.com/item/seat-leon-2012-869029222","https://es.wallapop.com/app/chat?itemId=8z84pg578o63"
"informática ","https://es.wallapop.com/item/informatica-869029216","https://es.wallapop.com/app/chat?itemId=v6g231oyp5ze"
"Mitsubishi Montero 1999","https://es.wallapop.com/item/mitsubishi-montero-1999-869029171","https://es.wallapop.com/app/chat?itemId=ejkkn9pykyjx"
"Botas Enduro infantiles. Tech 1 Alpinestar","https://es.wallapop.com/item/botas-enduro-infantiles-tech-1-alpinestar-869029092","https://es.wallapop.com/app/chat?itemId=wzy5g7yklvj5"
"Bicicleta niño","https://es.wallapop.com/item/bicicleta-nino-869028652","https://es.wallapop.com/app/chat?itemId=w67yngx2xy6x"
"Camisa","https://es.wallapop.com/item/camisa-869028645","https://es.wallapop.com/app/chat?itemId=3zl1p903mqjx"
"canapé y colchón ","https://es.wallapop.com/item/canape-y-colchon-869028770","https://es.wallapop.com/app/chat?itemId=8z84pg5d9163"
"Anillo de plata Tous","https://es.wallapop.com/item/anillo-de-plata-tous-869028556","https://es.wallapop.com/app/chat?itemId=qzmy037k3yzv"
"samsung a40 moviles baratos","https://es.wallapop.com/item/samsung-a40-moviles-baratos-869028637","https://es.wallapop.com/app/chat?itemId=pj950gn940ze"
"Tacones ","https://es.wallapop.com/item/tacones-869028631","https://es.wallapop.com/app/chat?itemId=p61ym75w8565"
"Canon 24-70 2.8 rf","https://es.wallapop.com/item/canon-24-70-2-8-rf-869028986","https://es.wallapop.com/app/chat?itemId=4z412g0m7vzy"
"PS4 slim","https://es.wallapop.com/item/ps4-slim-869028976","https://es.wallapop.com/app/chat?itemId=w67yngx2w56x"
"Skechers de trabajo","https://es.wallapop.com/item/skechers-de-trabajo-869029624","https://es.wallapop.com/app/chat?itemId=e65gd37n4kjo"
