"Название товара","Ссылка на продавца","Ссылка на чат"
"ADRENALYN Iago aspas","https://es.wallapop.com/item/adrenalyn-iago-aspas-871754599","https://es.wallapop.com/app/chat?itemId=nz001dxnqrzo"
"Bandai Super Saiyan Son Goku","https://es.wallapop.com/item/bandai-super-saiyan-son-goku-871754546","https://es.wallapop.com/app/chat?itemId=8z84pe9od163"
"Botas marrones ","https://es.wallapop.com/item/botas-marrones-871754416","https://es.wallapop.com/app/chat?itemId=v6g23vndn5ze"
"XBOX 360","https://es.wallapop.com/item/xbox-360-871754643","https://es.wallapop.com/app/chat?itemId=vjrrmxvnn9jk"
"cilindro mk","https://es.wallapop.com/item/cilindro-mk-871754641","https://es.wallapop.com/app/chat?itemId=wzvnd3vwwrjl"
"Rueda 29 pulgadas nueva","https://es.wallapop.com/item/rueda-29-pulgadas-nueva-871754642","https://es.wallapop.com/app/chat?itemId=x6qd1w255yjy"
"Lámpara madera ","https://es.wallapop.com/item/lampara-madera-871754598","https://es.wallapop.com/app/chat?itemId=pzprx73lpk63"
"estufa de la luz","https://es.wallapop.com/item/estufa-de-la-luz-871754000","https://es.wallapop.com/app/chat?itemId=e65gde2wnpjo"
"Paseador@ de perros y cuidado de gatos","https://es.wallapop.com/item/paseador-de-perros-y-cuidado-de-gatos-871754037","https://es.wallapop.com/app/chat?itemId=pj950eqo1oze"
"Fundas iphone 8/7 plus","https://es.wallapop.com/item/fundas-iphone-8-7-plus-871754015","https://es.wallapop.com/app/chat?itemId=36exmvg2yqzd"
"Vendo MacBook Air (M2) 2022","https://es.wallapop.com/item/vendo-macbook-air-m2-2022-871754017","https://es.wallapop.com/app/chat?itemId=wzvnd3v1mrjl"
"patinete ","https://es.wallapop.com/item/patinete-871753917","https://es.wallapop.com/app/chat?itemId=wzvnd3v181jl"
"Pala de Padel MANTIX","https://es.wallapop.com/item/pala-de-padel-mantix-871753352","https://es.wallapop.com/app/chat?itemId=w67yne9w576x"
"Zapatillas Adidas Superstar","https://es.wallapop.com/item/zapatillas-adidas-superstar-871753830","https://es.wallapop.com/app/chat?itemId=nzx0g9vovez2"
"Máquina cavitacion ","https://es.wallapop.com/item/maquina-cavitacion-871753807","https://es.wallapop.com/app/chat?itemId=p61ymd1nd565"
"Botas ","https://es.wallapop.com/item/botas-871754237","https://es.wallapop.com/app/chat?itemId=pj950eq3mmze"
"Botines de moto","https://es.wallapop.com/item/botines-de-moto-871754484","https://es.wallapop.com/app/chat?itemId=9jd21v4oq46k"
"GRABADOR REPRODUCTOR DVD LG DR275","https://es.wallapop.com/item/grabador-reproductor-dvd-lg-dr275-871754479","https://es.wallapop.com/app/chat?itemId=p61ymd1p2565"
"MASAJE PSICOSENSORIAL","https://es.wallapop.com/item/masaje-psicosensorial-871754141","https://es.wallapop.com/app/chat?itemId=wzvnd3vwr4jl"
"Oddworld Abe's Exodus","https://es.wallapop.com/item/oddworld-abe-s-exodus-871753552","https://es.wallapop.com/app/chat?itemId=w67yne91856x"
"Mesa de centro ","https://es.wallapop.com/item/mesa-de-centro-871753540","https://es.wallapop.com/app/chat?itemId=v6g23vn9m2ze"
"Audi A4 2003","https://es.wallapop.com/item/audi-a4-2003-871754653","https://es.wallapop.com/app/chat?itemId=qjwpg9vxxgzo"
"Amplificador ","https://es.wallapop.com/item/amplificador-871754645","https://es.wallapop.com/app/chat?itemId=3zl1p5xvv8jx"
"Mando Ps5","https://es.wallapop.com/item/mando-ps5-871753758","https://es.wallapop.com/app/chat?itemId=8j3ekgo0r8z9"
"Chándal champion ","https://es.wallapop.com/item/chandal-champion-871753730","https://es.wallapop.com/app/chat?itemId=nzx0g9vow5z2"
"Vitrina Ikea","https://es.wallapop.com/item/vitrina-ikea-871754200","https://es.wallapop.com/app/chat?itemId=e65gde2x3kjo"
"Airforce 1 precio negociable ","https://es.wallapop.com/item/airforce-1-precio-negociable-871753639","https://es.wallapop.com/app/chat?itemId=36exmvg2x8zd"
"the Camcorder Thief","https://es.wallapop.com/item/the-camcorder-thief-871753713","https://es.wallapop.com/app/chat?itemId=pj950eqonvze"
"Vendo bicicleta","https://es.wallapop.com/item/vendo-bicicleta-871753660","https://es.wallapop.com/app/chat?itemId=9jd21v43k26k"
"Falda Dolores Promesas","https://es.wallapop.com/item/falda-dolores-promesas-871753419","https://es.wallapop.com/app/chat?itemId=vjrrmxv7w9jk"
