"Название товара","Ссылка на продавца","Ссылка на чат"
"iRoomba e610040","https://es.wallapop.com/item/iroomba-e610040-869643320","https://es.wallapop.com/app/chat?itemId=wzy5g454oxj5"
"canapés y colchones ","https://es.wallapop.com/item/canapes-y-colchones-869643182","https://es.wallapop.com/app/chat?itemId=8j3ek4e4elz9"
"carro completo bebé ","https://es.wallapop.com/item/carro-completo-bebe-869646471","https://es.wallapop.com/app/chat?itemId=ejkkn8kdvqjx"
"Maquina de Escribir Underwood 77","https://es.wallapop.com/item/maquina-de-escribir-underwood-77-869650566","https://es.wallapop.com/app/chat?itemId=x6qd1mdelqjy"
"Mesa comedor","https://es.wallapop.com/item/mesa-comedor-869650568","https://es.wallapop.com/app/chat?itemId=wzy5g45wexj5"
"Ordenador de mesa. ","https://es.wallapop.com/item/ordenador-de-mesa-869650513","https://es.wallapop.com/app/chat?itemId=pj950m523kze"
"ORTOPEDIA","https://es.wallapop.com/item/ortopedia-869650511","https://es.wallapop.com/app/chat?itemId=0j23o437pm6y"
"llantas de aluminio y neumaticos","https://es.wallapop.com/item/llantas-de-aluminio-y-neumaticos-869644780","https://es.wallapop.com/app/chat?itemId=qzmy0ey72yzv"
"canapés y colchones ","https://es.wallapop.com/item/canapes-y-colchones-869646032","https://es.wallapop.com/app/chat?itemId=qzmy0eyv3ozv"
"SALPICADERO RENAULT CLIO IV 2014-2019","https://es.wallapop.com/item/salpicadero-renault-clio-iv-2014-2019-869642243","https://es.wallapop.com/app/chat?itemId=vjrrmqr9mxjk"
"liquidación jerseys de hombre ","https://es.wallapop.com/item/liquidacion-jerseys-de-hombre-869647821","https://es.wallapop.com/app/chat?itemId=3zl1p81p8qjx"
"Tienda Campaña Coleman Coastline 4 Deluxe","https://es.wallapop.com/item/tienda-campana-coleman-coastline-4-deluxe-869642980","https://es.wallapop.com/app/chat?itemId=qzmy0eyylyzv"
"195/50R15 ","https://es.wallapop.com/item/195-50r15-869648286","https://es.wallapop.com/app/chat?itemId=4z412e1ly8zy"
"Volante Logitech G27 + Cronusmax","https://es.wallapop.com/item/volante-logitech-g27---cronusmax-869648285","https://es.wallapop.com/app/chat?itemId=pj950m5lkmze"
"Scott Scale 965","https://es.wallapop.com/item/scott-scale-965-869647495","https://es.wallapop.com/app/chat?itemId=ejkkn8kw7pjx"
"Puerta de Aluminio","https://es.wallapop.com/item/puerta-de-aluminio-869647227","https://es.wallapop.com/app/chat?itemId=nz00140x4vzo"
"nevera vitrina","https://es.wallapop.com/item/nevera-vitrina-869644065","https://es.wallapop.com/app/chat?itemId=wzvnd4ng7qjl"
"Casoneto","https://es.wallapop.com/item/casoneto-869648899","https://es.wallapop.com/app/chat?itemId=nz001403mezo"
"Nintendo Switch Lite ","https://es.wallapop.com/item/nintendo-switch-lite-869649479","https://es.wallapop.com/app/chat?itemId=p61ym4y3ox65"
"Tabla Surf shortboard espuma Olaian 900 6'","https://es.wallapop.com/item/tabla-surf-shortboard-espuma-olaian-900-6-869648758","https://es.wallapop.com/app/chat?itemId=8j3ek4eln7z9"
"Britax romer dualfix i-size Blue Marble","https://es.wallapop.com/item/britax-romer-dualfix-i-size-blue-marble-869648541","https://es.wallapop.com/app/chat?itemId=wzvnd4n531jl"
"botas esquí de montaña Black Diamond Quadrant ","https://es.wallapop.com/item/botas-esqui-de-montana-black-diamond-quadrant-869644714","https://es.wallapop.com/app/chat?itemId=4z412e10przy"
"canapés y colchones ","https://es.wallapop.com/item/canapes-y-colchones-869644562","https://es.wallapop.com/app/chat?itemId=4z412e10lvzy"
"mesa roble con sillas tapizadas","https://es.wallapop.com/item/mesa-roble-con-sillas-tapizadas-869649160","https://es.wallapop.com/app/chat?itemId=9jd21k2q196k"
"Casco AGV ","https://es.wallapop.com/item/casco-agv-869649092","https://es.wallapop.com/app/chat?itemId=wzy5g458o2j5"
"BOTAS DE MOTOCROSS - ALPINESTAR N° 41","https://es.wallapop.com/item/botas-de-motocross-alpinestar-n-41-869649077","https://es.wallapop.com/app/chat?itemId=qjwpg4p814zo"
"mueble de comedor","https://es.wallapop.com/item/mueble-de-comedor-869645351","https://es.wallapop.com/app/chat?itemId=nz00140wn7zo"
"televisor philips","https://es.wallapop.com/item/televisor-philips-869645124","https://es.wallapop.com/app/chat?itemId=e65gd8gpd2jo"
"Ps4 fat 500gb ","https://es.wallapop.com/item/ps4-fat-500gb-869645088","https://es.wallapop.com/app/chat?itemId=v6g23g27nmze"
"Cámara Panasonic Lumix G100 con Grip Nueva","https://es.wallapop.com/item/camara-panasonic-lumix-g100-con-grip-nueva-869645079","https://es.wallapop.com/app/chat?itemId=p61ym4ykd265"
"vendo","https://es.wallapop.com/item/vendo-869650300","https://es.wallapop.com/app/chat?itemId=e65gd8g1dgjo"
"pack de cosas de peluqueria 
","https://es.wallapop.com/item/pack-de-cosas-de-peluqueria-869650272","https://es.wallapop.com/app/chat?itemId=e65gd8g12mjo"
"frigorífico","https://es.wallapop.com/item/frigorifico-869650227","https://es.wallapop.com/app/chat?itemId=nz00140p2vzo"
"HORNO ","https://es.wallapop.com/item/horno-869650215","https://es.wallapop.com/app/chat?itemId=36exm1x7ekzd"
"Freidora sin aire Tefal Actifry Genius XL 2in1","https://es.wallapop.com/item/freidora-sin-aire-tefal-actifry-genius-xl-2in1-869650194","https://es.wallapop.com/app/chat?itemId=8z84pk43wd63"
"Yamaha BB424","https://es.wallapop.com/item/yamaha-bb424-869650132","https://es.wallapop.com/app/chat?itemId=qzmy0eydmyzv"
