"Название товара","Ссылка на продавца","Ссылка на чат"
"Tv 43 Smart pulgadas","https://es.wallapop.com/item/tv-43-smart-pulgadas-870672151","https://es.wallapop.com/app/chat?itemId=nz001w83lrzo"
"Bicicleta ","https://es.wallapop.com/item/bicicleta-870672143","https://es.wallapop.com/app/chat?itemId=vjrrmoe8mljk"
"hoverboard ","https://es.wallapop.com/item/hoverboard-870673318","https://es.wallapop.com/app/chat?itemId=x6qd14qgo5jy"
"se vende tablet ","https://es.wallapop.com/item/se-vende-tablet-870672480","https://es.wallapop.com/app/chat?itemId=qzmy0omxygzv"
"Lámpara vintage","https://es.wallapop.com/item/lampara-vintage-870672465","https://es.wallapop.com/app/chat?itemId=wzvnd0gelqjl"
"tocadiscos lauson nuevo ","https://es.wallapop.com/item/tocadiscos-lauson-nuevo-870673113","https://es.wallapop.com/app/chat?itemId=pj950x424vze"
"moneda 2 euros EYPQ","https://es.wallapop.com/item/moneda-2-euros-eypq-870673109","https://es.wallapop.com/app/chat?itemId=xzorw3g4g2z9"
"Cazadora ","https://es.wallapop.com/item/cazadora-870671974","https://es.wallapop.com/app/chat?itemId=pzprxgkqkl63"
"Students Book Alive 2 Oxford","https://es.wallapop.com/item/students-book-alive-2-oxford-870672325","https://es.wallapop.com/app/chat?itemId=mzn87o3qy7zn"
"iPhone XR ","https://es.wallapop.com/item/iphone-xr-870672330","https://es.wallapop.com/app/chat?itemId=nzx0gwe8o7z2"
"chaqueta punto de Sfera","https://es.wallapop.com/item/chaqueta-punto-de-sfera-870672630","https://es.wallapop.com/app/chat?itemId=nzx0gwenmez2"
"Ateez album ep1 all to zero","https://es.wallapop.com/item/ateez-album-ep1-all-to-zero-870672631","https://es.wallapop.com/app/chat?itemId=p61ymk83e565"
"Carro para beber ","https://es.wallapop.com/item/carro-para-beber-870672776","https://es.wallapop.com/app/chat?itemId=w67yn7v5576x"
"Final fantasy XIV Stormblood","https://es.wallapop.com/item/final-fantasy-xiv-stormblood-870673011","https://es.wallapop.com/app/chat?itemId=0j23o187yr6y"
"Servicio de esmaltado semipermanente ","https://es.wallapop.com/item/servicio-de-esmaltado-semipermanente-870672988","https://es.wallapop.com/app/chat?itemId=v6g237px02ze"
"Raquetas de nieve ","https://es.wallapop.com/item/raquetas-de-nieve-870672967","https://es.wallapop.com/app/chat?itemId=vjrrmoe5y4jk"
"Escritorio sentado/de pie, blanco, 160x80 cm, IKEA","https://es.wallapop.com/item/escritorio-sentado-de-pie-blanco-160x80-cm-ikea-870672962","https://es.wallapop.com/app/chat?itemId=4z412n8xovzy"
"mudanzas en Alella","https://es.wallapop.com/item/mudanzas-en-alella-870672317","https://es.wallapop.com/app/chat?itemId=wzvnd0g814jl"
"Candy Smart Pro CS 1492DE-S, Lavadora 10Kg, 1400rp","https://es.wallapop.com/item/candy-smart-pro-cs-1492de-s-lavadora-10kg-1400rp-870672217","https://es.wallapop.com/app/chat?itemId=wzvnd0g87rjl"
"a53","https://es.wallapop.com/item/a53-870672210","https://es.wallapop.com/app/chat?itemId=8j3ek589d1z9"
"ps4 slim + 24 juegos","https://es.wallapop.com/item/ps4-slim---24-juegos-870672049","https://es.wallapop.com/app/chat?itemId=mzn87o3qegzn"
"Alquiler de espacio de peluquería ","https://es.wallapop.com/item/alquiler-de-espacio-de-peluqueria-870672293","https://es.wallapop.com/app/chat?itemId=3zl1pkmrl8jx"
"Carrito bogaboo camaleón","https://es.wallapop.com/item/carrito-bogaboo-camaleon-870672264","https://es.wallapop.com/app/chat?itemId=v6g237pqymze"
"Cuadros","https://es.wallapop.com/item/cuadros-870672744","https://es.wallapop.com/app/chat?itemId=wzy5gxrp8ej5"
"Ya no puedo más","https://es.wallapop.com/item/ya-no-puedo-mas-870671999","https://es.wallapop.com/app/chat?itemId=nz001w83r7zo"
"Saco Camping","https://es.wallapop.com/item/saco-camping-870673174","https://es.wallapop.com/app/chat?itemId=pzprxgkegl63"
"Mesa escritorio Gaming","https://es.wallapop.com/item/mesa-escritorio-gaming-870673168","https://es.wallapop.com/app/chat?itemId=wzy5gxr1xpj5"
