"Название товара","Ссылка на продавца","Ссылка на чат"
"DBX 234 Xs","https://es.wallapop.com/item/dbx-234-xs-869598889","https://es.wallapop.com/app/chat?itemId=wzvnd4r92rjl"
"Iphone 11 negro 64GB ","https://es.wallapop.com/item/iphone-11-negro-64gb-869598887","https://es.wallapop.com/app/chat?itemId=36exm1d95qzd"
"Bicicleta Orbea Alma alumini (2019)","https://es.wallapop.com/item/bicicleta-orbea-alma-alumini-2019-869598866","https://es.wallapop.com/app/chat?itemId=x6qd1mklqyjy"
" moto Peugeot tweet 125 ","https://es.wallapop.com/item/moto-peugeot-tweet-125-869598748","https://es.wallapop.com/app/chat?itemId=e65gd8vmvgjo"
"Aparador salón ","https://es.wallapop.com/item/aparador-salon-869598733","https://es.wallapop.com/app/chat?itemId=xzorw2lkkwz9"
"Cazadora North Face ","https://es.wallapop.com/item/cazadora-north-face-869598710","https://es.wallapop.com/app/chat?itemId=8j3ek4v33lz9"
"Cama nido","https://es.wallapop.com/item/cama-nido-869597336","https://es.wallapop.com/app/chat?itemId=9jd21kd3rn6k"
"Mampara de baño ","https://es.wallapop.com/item/mampara-de-bano-869593175","https://es.wallapop.com/app/chat?itemId=nz00149lw7zo"
"Chimenea","https://es.wallapop.com/item/chimenea-869592986","https://es.wallapop.com/app/chat?itemId=4z412eolyvzy"
"NOX AT10 GENIUS 18K BY AGUSTÍN TAPIA 2023","https://es.wallapop.com/item/nox-at10-genius-18k-by-agustin-tapia-2023-869597779","https://es.wallapop.com/app/chat?itemId=p61ym49pkg65"
"Router Cisco C892FSP-K9 890 Series","https://es.wallapop.com/item/router-cisco-c892fsp-k9-890-series-869597695","https://es.wallapop.com/app/chat?itemId=ejkkn82g8pjx"
"kartcher k5 ","https://es.wallapop.com/item/kartcher-k5-869597672","https://es.wallapop.com/app/chat?itemId=e65gd8mxgpjo"
"Cascos iPhone ","https://es.wallapop.com/item/cascos-iphone-869597653","https://es.wallapop.com/app/chat?itemId=qjwpg4lxdgzo"
"Mecedoras madera y mimbre antiguas vintage","https://es.wallapop.com/item/mecedoras-madera-y-mimbre-antiguas-vintage-869597649","https://es.wallapop.com/app/chat?itemId=mzn8724rv0zn"
"tabla paddle surf Fanatic 92 L","https://es.wallapop.com/item/tabla-paddle-surf-fanatic-92-l-869597636","https://es.wallapop.com/app/chat?itemId=9jd21kdo7l6k"
"Vendo iPhone 8 Plus 64GB original Apple como nievo","https://es.wallapop.com/item/vendo-iphone-8-plus-64gb-original-apple-como-nievo-869594644","https://es.wallapop.com/app/chat?itemId=wzy5g4epm5j5"
"XBOX ONE + JUEGOS!!!","https://es.wallapop.com/item/xbox-one---juegos-869594611","https://es.wallapop.com/app/chat?itemId=0j23o4925v6y"
"Volante logitech g29","https://es.wallapop.com/item/volante-logitech-g29-869594569","https://es.wallapop.com/app/chat?itemId=3zl1p8ewy4jx"
"Bicicleta urbana btwin","https://es.wallapop.com/item/bicicleta-urbana-btwin-869594500","https://es.wallapop.com/app/chat?itemId=e65gd8mkkgjo"
"VENTANAS CLIMALIT PVC","https://es.wallapop.com/item/ventanas-climalit-pvc-869598478","https://es.wallapop.com/app/chat?itemId=nzx0g4d3g1z2"
"Llantas 18 ","https://es.wallapop.com/item/llantas-18-869598388","https://es.wallapop.com/app/chat?itemId=v6g23gm8k2ze"
"Francia 1999 10 céntimos ","https://es.wallapop.com/item/francia-1999-10-centimos-869595243","https://es.wallapop.com/app/chat?itemId=vjrrmqy5l9jk"
"Mesa con 4 sillas","https://es.wallapop.com/item/mesa-con-4-sillas-869597159","https://es.wallapop.com/app/chat?itemId=0j23o49p8m6y"
"Aspirador escoba sin cable","https://es.wallapop.com/item/aspirador-escoba-sin-cable-869597131","https://es.wallapop.com/app/chat?itemId=p61ym49n4g65"
"Windsurf set","https://es.wallapop.com/item/windsurf-set-869597130","https://es.wallapop.com/app/chat?itemId=nzx0g4do47z2"
"Sofa ","https://es.wallapop.com/item/sofa-869596978","https://es.wallapop.com/app/chat?itemId=nzx0g4dk3mz2"
"vendo embasadora industrial","https://es.wallapop.com/item/vendo-embasadora-industrial-869596903","https://es.wallapop.com/app/chat?itemId=nz00149qqrzo"
"se vende","https://es.wallapop.com/item/se-vende-869596442","https://es.wallapop.com/app/chat?itemId=x6qd1ml0kyjy"
"Vendo cámaras ","https://es.wallapop.com/item/vendo-camaras-869596213","https://es.wallapop.com/app/chat?itemId=pj950mdw70ze"
"patineta xiaomi 3","https://es.wallapop.com/item/patineta-xiaomi-3-869599622","https://es.wallapop.com/app/chat?itemId=8z84pkqqpl63"
"Traje seco buceo","https://es.wallapop.com/item/traje-seco-buceo-869599480","https://es.wallapop.com/app/chat?itemId=qzmy0e997xzv"
"Sillón barbería ","https://es.wallapop.com/item/sillon-barberia-869599381","https://es.wallapop.com/app/chat?itemId=xzorw2llvwz9"
"sofa 3 plazas y dos de 1","https://es.wallapop.com/item/sofa-3-plazas-y-dos-de-1-869595877","https://es.wallapop.com/app/chat?itemId=qjwpg4l3egzo"
"vendo daelim daystar 125","https://es.wallapop.com/item/vendo-daelim-daystar-125-869595772","https://es.wallapop.com/app/chat?itemId=e65gd8mowgjo"
"mesa salón ","https://es.wallapop.com/item/mesa-salon-869595754","https://es.wallapop.com/app/chat?itemId=nzx0g4d7kmz2"
"Motor de arranque ","https://es.wallapop.com/item/motor-de-arranque-869594795","https://es.wallapop.com/app/chat?itemId=ejkkn823krjx"
"Máquina de zumo ","https://es.wallapop.com/item/maquina-de-zumo-869594341","https://es.wallapop.com/app/chat?itemId=wzvnd49eqdjl"
"Canapé y Colchón ","https://es.wallapop.com/item/canape-y-colchon-869594271","https://es.wallapop.com/app/chat?itemId=ejkkn827mqjx"
"campana extractora con motor","https://es.wallapop.com/item/campana-extractora-con-motor-869592643","https://es.wallapop.com/app/chat?itemId=vjrrmqympwjk"
"Mesa comedor","https://es.wallapop.com/item/mesa-comedor-869596755","https://es.wallapop.com/app/chat?itemId=p61ym49rl765"
"Vendo Kymco Grand Dink por 1.400 euros ","https://es.wallapop.com/item/vendo-kymco-grand-dink-por-1-400-euros-869596622","https://es.wallapop.com/app/chat?itemId=8z84pkvxwl63"
"PS4 slim 1TB ","https://es.wallapop.com/item/ps4-slim-1tb-869596570","https://es.wallapop.com/app/chat?itemId=8z84pkvx8r63"
"¡patinete electrico nuevo!","https://es.wallapop.com/item/patinete-electrico-nuevo-869598156","https://es.wallapop.com/app/chat?itemId=qzmy0eg2g1zv"
"CUNA STOKKE","https://es.wallapop.com/item/cuna-stokke-869598000","https://es.wallapop.com/app/chat?itemId=e65gd8mxomjo"
"televisión ","https://es.wallapop.com/item/television-869597963","https://es.wallapop.com/app/chat?itemId=36exm1934vzd"
"Habitación para pareja, dos personas en Hospitalet","https://es.wallapop.com/item/habitacion-para-pareja-dos-personas-en-hospitalet-869599220","https://es.wallapop.com/app/chat?itemId=wzy5g4le22j5"
"PLAYSTATIONS4 BLANCA 1TB","https://es.wallapop.com/item/playstations4-blanca-1tb-869592904","https://es.wallapop.com/app/chat?itemId=w67yn48n156x"
"Armario de 3 puertas dos cajones","https://es.wallapop.com/item/armario-de-3-puertas-dos-cajones-869595661","https://es.wallapop.com/app/chat?itemId=pj950md9p0ze"
"Oportunidad Bmx competición ","https://es.wallapop.com/item/oportunidad-bmx-competicion-869595564","https://es.wallapop.com/app/chat?itemId=v6g23gmwnnze"
"Dos bicicletas por 150€","https://es.wallapop.com/item/dos-bicicletas-por-150-869595442","https://es.wallapop.com/app/chat?itemId=x6qd1mlevnjy"
"Triciclo QUER","https://es.wallapop.com/item/triciclo-quer-869592516","https://es.wallapop.com/app/chat?itemId=v6g23gm3gnze"
