"Название товара","Ссылка на продавца","Ссылка на чат"
"The Leyend of Zelda Collectors edition","https://es.wallapop.com/item/the-leyend-of-zelda-collectors-edition-871379816","https://es.wallapop.com/app/chat?itemId=v6g23kel27ze"
"Mando xcontrollers","https://es.wallapop.com/item/mando-xcontrollers-871378984","https://es.wallapop.com/app/chat?itemId=9jd21mep096k"
"Guantes de boxeo","https://es.wallapop.com/item/guantes-de-boxeo-871380128","https://es.wallapop.com/app/chat?itemId=w67ynrkwo76x"
"Lavadora","https://es.wallapop.com/item/lavadora-871380122","https://es.wallapop.com/app/chat?itemId=8z84pr2x3163"
"monedas de 5 céntimos de euro","https://es.wallapop.com/item/monedas-de-5-centimos-de-euro-871379510","https://es.wallapop.com/app/chat?itemId=8j3ek2rq9lz9"
"moneda con exceso de netal 1 centimo muy rara.","https://es.wallapop.com/item/moneda-con-exceso-de-netal-1-centimo-muy-rara-871380374","https://es.wallapop.com/app/chat?itemId=pzprx5wn1m63"
"Cuadro Tapiz Las Mil y Una Noches","https://es.wallapop.com/item/cuadro-tapiz-las-mil-y-una-noches-871380303","https://es.wallapop.com/app/chat?itemId=nz0012y593zo"
"puerta de garaje ","https://es.wallapop.com/item/puerta-de-garaje-871379234","https://es.wallapop.com/app/chat?itemId=8j3ek2rqeyz9"
"Botas HUNTER","https://es.wallapop.com/item/botas-hunter-871379235","https://es.wallapop.com/app/chat?itemId=0j23ogqv3r6y"
"Cuadros jarrones ","https://es.wallapop.com/item/cuadros-jarrones-871379213","https://es.wallapop.com/app/chat?itemId=pj950rvwgmze"
"cuadro coyote","https://es.wallapop.com/item/cuadro-coyote-871379180","https://es.wallapop.com/app/chat?itemId=qzmy0vp59lzv"
"Mesillas y cómoda espejo de habitación ","https://es.wallapop.com/item/mesillas-y-comoda-espejo-de-habitacion-871379616","https://es.wallapop.com/app/chat?itemId=v6g23keylmze"
"Mueble salón ","https://es.wallapop.com/item/mueble-salon-871379104","https://es.wallapop.com/app/chat?itemId=w67ynrk2m56x"
"vestido comunion","https://es.wallapop.com/item/vestido-comunion-871379108","https://es.wallapop.com/app/chat?itemId=qzmy0vpkqlzv"
"3 Sujetadores Intisimissimi Push-Up","https://es.wallapop.com/item/3-sujetadores-intisimissimi-push-up-871379066","https://es.wallapop.com/app/chat?itemId=x6qd1nxepyjy"
"trenzas africanas ","https://es.wallapop.com/item/trenzas-africanas-871379317","https://es.wallapop.com/app/chat?itemId=wzvndkqo2djl"
"Portátil ASUS ","https://es.wallapop.com/item/portatil-asus-871379289","https://es.wallapop.com/app/chat?itemId=wzvndkqogqjl"
"canapé y colchón ","https://es.wallapop.com/item/canape-y-colchon-871379270","https://es.wallapop.com/app/chat?itemId=8z84pr27kl63"
"CALL OF DUTY BLACK OPS III PS3","https://es.wallapop.com/item/call-of-duty-black-ops-iii-ps3-871379259","https://es.wallapop.com/app/chat?itemId=0j23ogqv4r6y"
"Guantes bebé y niño","https://es.wallapop.com/item/guantes-bebe-y-nino-871379899","https://es.wallapop.com/app/chat?itemId=nz0012yqrezo"
"Crema manos ziaja","https://es.wallapop.com/item/crema-manos-ziaja-871379857","https://es.wallapop.com/app/chat?itemId=xzorwd7nglz9"
"quadros muy bonitos ","https://es.wallapop.com/item/quadros-muy-bonitos-871379134","https://es.wallapop.com/app/chat?itemId=8j3ek2r137z9"
"Trajes de flamenca ","https://es.wallapop.com/item/trajes-de-flamenca-871379705","https://es.wallapop.com/app/chat?itemId=qjwpg1q3mwzo"
"Traje de comunion marinero talla 10","https://es.wallapop.com/item/traje-de-comunion-marinero-talla-10-871379663","https://es.wallapop.com/app/chat?itemId=36exmoey2qzd"
"chaqueton ","https://es.wallapop.com/item/chaqueton-871380467","https://es.wallapop.com/app/chat?itemId=vjrrmp104xjk"
"prismáticos ","https://es.wallapop.com/item/prismaticos-871380430","https://es.wallapop.com/app/chat?itemId=nzx0gmqo41z2"
"pack mesa+ sillas de comedor ","https://es.wallapop.com/item/pack-mesa--sillas-de-comedor-871380425","https://es.wallapop.com/app/chat?itemId=mzn87e0y2kzn"
"Baúl antiguo","https://es.wallapop.com/item/baul-antiguo-871379549","https://es.wallapop.com/app/chat?itemId=mzn87e0nk2zn"
"Trastero en alquiler","https://es.wallapop.com/item/trastero-en-alquiler-871379555","https://es.wallapop.com/app/chat?itemId=p61ymeqg0d65"
"manga","https://es.wallapop.com/item/manga-871379965","https://es.wallapop.com/app/chat?itemId=wzvndkqmkdjl"
"Jordan retro 4","https://es.wallapop.com/item/jordan-retro-4-871378920","https://es.wallapop.com/app/chat?itemId=wzy5goqw8ej5"
"Se vende sudadera silsilk","https://es.wallapop.com/item/se-vende-sudadera-silsilk-871378890","https://es.wallapop.com/app/chat?itemId=x6qd1nxe1ejy"
