"Название товара","Ссылка на продавца","Ссылка на чат"
"Libro Nadie nos oye ","https://es.wallapop.com/item/libro-nadie-nos-oye-871399379","https://es.wallapop.com/app/chat?itemId=p61ymed87d65"
"Calentadores + caballete delantero","https://es.wallapop.com/item/calentadores---caballete-delantero-871399209","https://es.wallapop.com/app/chat?itemId=xzorwd02n7z9"
"maquinaria","https://es.wallapop.com/item/maquinaria-871399356","https://es.wallapop.com/app/chat?itemId=qzmy0vnm41zv"
"nuevos ","https://es.wallapop.com/item/nuevos-871399345","https://es.wallapop.com/app/chat?itemId=3zl1pd5mg4jx"
"llantas rody trip","https://es.wallapop.com/item/llantas-rody-trip-871399049","https://es.wallapop.com/app/chat?itemId=mzn87ep27kzn"
"NINTENDO SWICH","https://es.wallapop.com/item/nintendo-swich-871399259","https://es.wallapop.com/app/chat?itemId=0j23oge40e6y"
"Vestido de comunión ","https://es.wallapop.com/item/vestido-de-comunion-871398660","https://es.wallapop.com/app/chat?itemId=9jd21mv2346k"
"Motor Audi S3 1.8t ","https://es.wallapop.com/item/motor-audi-s3-1-8t-871398747","https://es.wallapop.com/app/chat?itemId=ejkkndr8x9jx"
"Opel Insignia perfecto estado ","https://es.wallapop.com/item/opel-insignia-perfecto-estado-871398700","https://es.wallapop.com/app/chat?itemId=e65gdreg4gjo"
"carro ladrillero","https://es.wallapop.com/item/carro-ladrillero-871398392","https://es.wallapop.com/app/chat?itemId=wzy5go95oxj5"
"iPhone 7 ","https://es.wallapop.com/item/iphone-7-871398994","https://es.wallapop.com/app/chat?itemId=8z84preker63"
"enciclopedia PESCA","https://es.wallapop.com/item/enciclopedia-pesca-871398375","https://es.wallapop.com/app/chat?itemId=nz0012d0y3zo"
"Sillón masajes modelo Sevilla","https://es.wallapop.com/item/sillon-masajes-modelo-sevilla-871398359","https://es.wallapop.com/app/chat?itemId=0j23oge31m6y"
"vaquero ","https://es.wallapop.com/item/vaquero-871398457","https://es.wallapop.com/app/chat?itemId=xzorwd0rwlz9"
"Comida amiga ","https://es.wallapop.com/item/comida-amiga-871398487","https://es.wallapop.com/app/chat?itemId=36exmovxr8zd"
"Kona stinky deluxe","https://es.wallapop.com/item/kona-stinky-deluxe-871398905","https://es.wallapop.com/app/chat?itemId=qjwpg1942wzo"
"silla grupo iii y iv","https://es.wallapop.com/item/silla-grupo-iii-y-iv-871399125","https://es.wallapop.com/app/chat?itemId=mzn87ep21yzn"
"Ps5 ","https://es.wallapop.com/item/ps5-871398939","https://es.wallapop.com/app/chat?itemId=36exmov1enzd"
