"Название товара","Ссылка на продавца","Ссылка на чат"
"Gorra NIKE trail","https://www.vinted.es/hommes/vetements/vetements-de-sport-and-accessoires/accessoires-de-sports/bonnets/2635014836-gorra-nike-trail","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2635014836&receiver_id=37444692&ref_url=%2Fitems%2F2635014836%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D37444692%26ref_url%3D%252Fhombre%252Fropa%252Fropa-y-accesorios-deportivos%252Faccesorios%252Fgorras%252F2635014836-gorra-nike-trail%26source%3Dwantit%26subject%3Dwanted%253A%2BGorra%2BNIKE%2Btrail&source=wantit&subject=wanted%3A+Gorra+NIKE+trail"
"Pantalon estampado ","https://www.vinted.es/mezczyzni/ubrania/spodnie/rurki/2635012891-pantalon-estampado","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2635012891&receiver_id=126413895&ref_url=%2Fitems%2F2635012891%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D126413895%26ref_url%3D%252Fhombre%252Fropa%252Fpantalones%252Fpantalones-pitillo%252F2635012891-pantalon-estampado%26source%3Dwantit%26subject%3Dwanted%253A%2BPantalon%2Bestampado%2B&source=wantit&subject=wanted%3A+Pantalon+estampado+"
"Chanel","https://www.vinted.es/hommes/soins/parfums/2635015462-chanel","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2635015462&receiver_id=130150105&ref_url=%2Fitems%2F2635015462%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130150105%26ref_url%3D%252Fhombre%252Fcuidado-y-belleza%252Fperfumes%252F2635015462-chanel%26source%3Dwantit%26subject%3Dwanted%253A%2BChanel&source=wantit&subject=wanted%3A+Chanel"
"Jersey H&M ","https://www.vinted.es/kobiety/ubrania/bluzy-i-swetry/swetry-z-dzianiny/2635014177-jersey-hm","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2635014177&receiver_id=130148258&ref_url=%2Fitems%2F2635014177%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130148258%26ref_url%3D%252Fmujer%252Fropa%252Fjerseis-y-sudaderas%252Fde-punto%252F2635014177-jersey-hm%26source%3Dwantit%26subject%3Dwanted%253A%2BJersey%2BH%2526M%2B&source=wantit&subject=wanted%3A+Jersey+H%26M+"
"Nike Air Force one Taille: 40","https://www.vinted.es/femmes/chaussures/baskets/2635015441-nike-air-force-one-taille-40","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2635015441&receiver_id=125522069&ref_url=%2Fitems%2F2635015441%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D125522069%26ref_url%3D%252Fmujer%252Fzapatos%252Fzapatillas%252F2635015441-nike-air-force-one-taille-40%26source%3Dwantit%26subject%3Dwanted%253A%2BNike%2BAir%2BForce%2Bone%2BTaille%253A%2B40&source=wantit&subject=wanted%3A+Nike+Air+Force+one+Taille%3A+40"
"Vestido Shein","https://www.vinted.es/kobiety/ubrania/sukienki/krotkie-sukienki/2635015388-vestido-shein","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2635015388&receiver_id=77086881&ref_url=%2Fitems%2F2635015388%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D77086881%26ref_url%3D%252Fmujer%252Fropa%252Fvestidos%252Fmini%252F2635015388-vestido-shein%26source%3Dwantit%26subject%3Dwanted%253A%2BVestido%2BShein&source=wantit&subject=wanted%3A+Vestido+Shein"
"Chaqueta Tommy Hilfiger","https://www.vinted.es/hommes/vetements/manteaux-and-vestes/vestes/vestes-harrington-1226/2635013821-chaqueta-tommy-hilfiger","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2635013821&receiver_id=129450465&ref_url=%2Fitems%2F2635013821%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D129450465%26ref_url%3D%252Fhombre%252Fropa%252Fabrigos-y-cazadoras%252Fcazadoras%252Fchaquetas-harrington%252F2635013821-chaqueta-tommy-hilfiger%26source%3Dwantit%26subject%3Dwanted%253A%2BChaqueta%2BTommy%2BHilfiger&source=wantit&subject=wanted%3A+Chaqueta+Tommy+Hilfiger"
"Blazer oversize ","https://www.vinted.es/femmes/vetements/blazers-and-tailleurs/autres-ensembles-and-tailleurs/2633070594-blazer-oversize","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2633070594&receiver_id=120489923&ref_url=%2Fitems%2F2633070594%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D120489923%26ref_url%3D%252Fmujer%252Fropa%252Ftrajes-y-blazers%252Fotros-trajes-y-blazers%252F2633070594-blazer-oversize%26source%3Dwantit%26subject%3Dwanted%253A%2BBlazer%2Boversize%2B&source=wantit&subject=wanted%3A+Blazer+oversize+"
"Conjunto de danza oriental de Marruecos","https://www.vinted.es/kobiety/ubrania/kostiumy-i-ubrania-okazyjne/2635012716-conjunto-de-danza-oriental-de-marruecos","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2635012716&receiver_id=130150437&ref_url=%2Fitems%2F2635012716%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130150437%26ref_url%3D%252Fmujer%252Fropa%252Fdisfraces-y-trajes-especiales%252F2635012716-conjunto-de-danza-oriental-de-marruecos%26source%3Dwantit%26subject%3Dwanted%253A%2BConjunto%2Bde%2Bdanza%2Boriental%2Bde%2BMarruecos&source=wantit&subject=wanted%3A+Conjunto+de+danza+oriental+de+Marruecos"
"Forro polar Rock Experience","https://www.vinted.es/hommes/vetements/manteaux-and-vestes/vestes/vestes-polaires/2635016450-forro-polar-rock-experience","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2635016450&receiver_id=125529373&ref_url=%2Fitems%2F2635016450%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D125529373%26ref_url%3D%252Fhombre%252Fropa%252Fabrigos-y-cazadoras%252Fcazadoras%252Fforros-polares%252F2635016450-forro-polar-rock-experience%26source%3Dwantit%26subject%3Dwanted%253A%2BForro%2Bpolar%2BRock%2BExperience&source=wantit&subject=wanted%3A+Forro+polar+Rock+Experience"
"pantalón campana ","https://www.vinted.es/femmes/vetements/pantalons-and-leggings/pantalons-a-jambes-larges/2635016415-pantalon-campana","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2635016415&receiver_id=125623066&ref_url=%2Fitems%2F2635016415%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D125623066%26ref_url%3D%252Fmujer%252Fropa%252Fpantalones-y-leggings%252Fpantalones-anchos%252F2635016415-pantalon-campana%26source%3Dwantit%26subject%3Dwanted%253A%2Bpantal%25C3%25B3n%2Bcampana%2B&source=wantit&subject=wanted%3A+pantal%C3%B3n+campana+"
"Camiseta barca","https://www.vinted.es/hommes/vetements/vetements-de-sport-and-accessoires/hauts-and-t-shirts/2635016343-camiseta-barca","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2635016343&receiver_id=130099411&ref_url=%2Fitems%2F2635016343%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130099411%26ref_url%3D%252Fhombre%252Fropa%252Fropa-y-accesorios-deportivos%252Fcamisetas-y-tops%252F2635016343-camiseta-barca%26source%3Dwantit%26subject%3Dwanted%253A%2BCamiseta%2Bbarca&source=wantit&subject=wanted%3A+Camiseta+barca"
"Ralph Lauren Azul Marino M","https://www.vinted.es/hommes/vetements/sweats-and-pulls/pulls-et-pulls-a-capuche/2635016163-ralph-lauren-azul-marino-m","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2635016163&receiver_id=126497419&ref_url=%2Fitems%2F2635016163%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D126497419%26ref_url%3D%252Fhombre%252Fropa%252Fjerseis-y-sudaderas%252Fsudaderas-y-sudaderas-con-capucha%252F2635016163-ralph-lauren-azul-marino-m%26source%3Dwantit%26subject%3Dwanted%253A%2BRalph%2BLauren%2BAzul%2BMarino%2BM&source=wantit&subject=wanted%3A+Ralph+Lauren+Azul+Marino+M"
"Traje falda y chaqueta corte ingles","https://www.vinted.es/donna/vestiti/completi-e-blazer/completi-con-gonna/2635016131-traje-falda-y-chaqueta-corte-ingles","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2635016131&receiver_id=130119817&ref_url=%2Fitems%2F2635016131%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130119817%26ref_url%3D%252Fmujer%252Fropa%252Ftrajes-y-blazers%252Ftrajes-de-falda%252F2635016131-traje-falda-y-chaqueta-corte-ingles%26source%3Dwantit%26subject%3Dwanted%253A%2BTraje%2Bfalda%2By%2Bchaqueta%2Bcorte%2Bingles&source=wantit&subject=wanted%3A+Traje+falda+y+chaqueta+corte+ingles"
"Zapatos Uterque","https://www.vinted.es/dames/damesschoenen/hakken/hoge-hakken/2635016092-zapatos-uterque","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2635016092&receiver_id=130149855&ref_url=%2Fitems%2F2635016092%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130149855%26ref_url%3D%252Fmujer%252Fzapatos%252Ftacones%252Fzapatos-de-tacon%252F2635016092-zapatos-uterque%26source%3Dwantit%26subject%3Dwanted%253A%2BZapatos%2BUterque&source=wantit&subject=wanted%3A+Zapatos+Uterque"
