"Название товара","Ссылка на продавца","Ссылка на чат"
"Jordan 1 low  se","https://es.wallapop.com/item/jordan-1-low-se-868804117","https://es.wallapop.com/app/chat?itemId=wzvndy8v3djl"
"abrigo de piel","https://es.wallapop.com/item/abrigo-de-piel-868809383","https://es.wallapop.com/app/chat?itemId=0j23oydplm6y"
"GMT automático ","https://es.wallapop.com/item/gmt-automatico-868825892","https://es.wallapop.com/app/chat?itemId=wzy5gn1nr2j5"
"Traje contrabandista Alcoy","https://es.wallapop.com/item/traje-contrabandista-alcoy-868825438","https://es.wallapop.com/app/chat?itemId=4z412vxykwzy"
"vestido de pronovias ","https://es.wallapop.com/item/vestido-de-pronovias-868824765","https://es.wallapop.com/app/chat?itemId=wzvndy7921jl"
"Persol PO8359 - Eastwood Collection","https://es.wallapop.com/item/persol-po8359-eastwood-collection-868823304","https://es.wallapop.com/app/chat?itemId=w67ynd51086x"
"Camiseta Destroyed Boxy Fit","https://es.wallapop.com/item/camiseta-destroyed-boxy-fit-868821297","https://es.wallapop.com/app/chat?itemId=mzn87l1dw0zn"
"GAFAS GUCCI HOMBRE","https://es.wallapop.com/item/gafas-gucci-hombre-868834299","https://es.wallapop.com/app/chat?itemId=nz001mpo5vzo"
"Reloj Lotus Titanium","https://es.wallapop.com/item/reloj-lotus-titanium-868833925","https://es.wallapop.com/app/chat?itemId=mzn87lk127zn"
"chaquetón Polo Ralph Lauren","https://es.wallapop.com/item/chaqueton-polo-ralph-lauren-868831639","https://es.wallapop.com/app/chat?itemId=36exmw7g58zd"
"Traje contrabandista niña","https://es.wallapop.com/item/traje-contrabandista-nina-868831310","https://es.wallapop.com/app/chat?itemId=8j3ekywgdlz9"
"FULAR BURBERRY ORIGINAL","https://es.wallapop.com/item/fular-burberry-original-868830918","https://es.wallapop.com/app/chat?itemId=x6qd1ygwlqjy"
"Chaquetón de piel de marta ","https://es.wallapop.com/item/chaqueton-de-piel-de-marta-868829987","https://es.wallapop.com/app/chat?itemId=36exmw7eevzd"
"Air Jordan 4 Retro Oreo","https://es.wallapop.com/item/air-jordan-4-retro-oreo-868826824","https://es.wallapop.com/app/chat?itemId=e65gdy13wkjo"
