"Название товара","Ссылка на продавца","Ссылка на чат"
"MOVIL LG K30","https://es.wallapop.com/item/movil-lg-k30-869284384","https://es.wallapop.com/app/chat?itemId=9jd2127ww96k"
"camiseta thrasher","https://es.wallapop.com/item/camiseta-thrasher-869284309","https://es.wallapop.com/app/chat?itemId=xzorwr8gvwz9"
"SEAT Ibiza 2006 acepto cambios 193.000km!!!","https://es.wallapop.com/item/seat-ibiza-2006-acepto-cambios-193-000km-869283941","https://es.wallapop.com/app/chat?itemId=wzvndny4v4jl"
"Apliques lámpara Ikea","https://es.wallapop.com/item/apliques-lampara-ikea-869283928","https://es.wallapop.com/app/chat?itemId=w67ynyd4e56x"
"Juegos de la play 3 ","https://es.wallapop.com/item/juegos-de-la-play-3-869283930","https://es.wallapop.com/app/chat?itemId=nzx0g05497z2"
"Altavoz bluetooth ","https://es.wallapop.com/item/altavoz-bluetooth-869284916","https://es.wallapop.com/app/chat?itemId=v6g2324o2lze"
"Kit pegatinas drz 400","https://es.wallapop.com/item/kit-pegatinas-drz-400-869284054","https://es.wallapop.com/app/chat?itemId=nzx0g054n1z2"
"Abrigo Tommy Hilfiger","https://es.wallapop.com/item/abrigo-tommy-hilfiger-869284028","https://es.wallapop.com/app/chat?itemId=w67ynyd4pw6x"
"bullpadel hack 2023","https://es.wallapop.com/item/bullpadel-hack-2023-869284022","https://es.wallapop.com/app/chat?itemId=8z84p41k0l63"
"Manual Escudero Historia del Derecho Español","https://es.wallapop.com/item/manual-escudero-historia-del-derecho-espanol-869284823","https://es.wallapop.com/app/chat?itemId=ejkknk4p21jx"
"Juego de café-Té","https://es.wallapop.com/item/juego-de-cafe-te-869284802","https://es.wallapop.com/app/chat?itemId=pzprxr9d8963"
"Pulsera Pandora","https://es.wallapop.com/item/pulsera-pandora-869284796","https://es.wallapop.com/app/chat?itemId=e65gdgyq40jo"
"Mueble para baño 25€.","https://es.wallapop.com/item/mueble-para-bano-25-869284497","https://es.wallapop.com/app/chat?itemId=mzn878l3p0zn"
"AIRE CONDICIONADO PORTÁTIL ","https://es.wallapop.com/item/aire-condicionado-portatil-869284075","https://es.wallapop.com/app/chat?itemId=nz0010m4pezo"
"Pepa pig","https://es.wallapop.com/item/pepa-pig-869284280","https://es.wallapop.com/app/chat?itemId=qzmy0y4m4ozv"
"HONDA CBR 125R 500€","https://es.wallapop.com/item/honda-cbr-125r-500-869284276","https://es.wallapop.com/app/chat?itemId=w67ynydvdy6x"
"Nike Dunk Low Panda (by you) 42,5 EU","https://es.wallapop.com/item/nike-dunk-low-panda-by-you-42-5-eu-869284275","https://es.wallapop.com/app/chat?itemId=nz0010m8mvzo"
"Horno","https://es.wallapop.com/item/horno-869284261","https://es.wallapop.com/app/chat?itemId=pj9505y4k0ze"
"Trastero en venta","https://es.wallapop.com/item/trastero-en-venta-869284249","https://es.wallapop.com/app/chat?itemId=mzn878l3ggzn"
"Bolsa + palos niña zurda ","https://es.wallapop.com/item/bolsa---palos-nina-zurda-869284227","https://es.wallapop.com/app/chat?itemId=nz0010m89vzo"
"bici de doble suspension ","https://es.wallapop.com/item/bici-de-doble-suspension-869284223","https://es.wallapop.com/app/chat?itemId=ejkknk4811jx"
"Redmi Note 11 Pro 5G 128 GB 8GB RAM","https://es.wallapop.com/item/redmi-note-11-pro-5g-128-gb-8gb-ram-869284113","https://es.wallapop.com/app/chat?itemId=pj9505ymwvze"
"Thermomix TM 31. Dos vasos","https://es.wallapop.com/item/thermomix-tm-31-dos-vasos-869284741","https://es.wallapop.com/app/chat?itemId=wzvndnyg1djl"
"embrague y culata y Carter RHZ","https://es.wallapop.com/item/embrague-y-culata-y-carter-rhz-869284705","https://es.wallapop.com/app/chat?itemId=qjwpgpyroezo"
"ventanas ","https://es.wallapop.com/item/ventanas-869283616","https://es.wallapop.com/app/chat?itemId=v6g23242d5ze"
"Sudadera básica gris","https://es.wallapop.com/item/sudadera-basica-gris-869283612","https://es.wallapop.com/app/chat?itemId=9jd21272o46k"
"THULE SNOWPACK L 6 PARES","https://es.wallapop.com/item/thule-snowpack-l-6-pares-869284689","https://es.wallapop.com/app/chat?itemId=wzvndnygoqjl"
"MESA DE COMEDOR","https://es.wallapop.com/item/mesa-de-comedor-869284670","https://es.wallapop.com/app/chat?itemId=8z84p418dl63"
"moto de bateria","https://es.wallapop.com/item/moto-de-bateria-869284642","https://es.wallapop.com/app/chat?itemId=x6qd1dyqgnjy"
"Se alquila plaza de garaje grande","https://es.wallapop.com/item/se-alquila-plaza-de-garaje-grande-869284616","https://es.wallapop.com/app/chat?itemId=v6g2324p57ze"
"Masajista ","https://es.wallapop.com/item/masajista-869283428","https://es.wallapop.com/app/chat?itemId=w67ynydylw6x"
"Piso en alquiler","https://es.wallapop.com/item/piso-en-alquiler-869283431","https://es.wallapop.com/app/chat?itemId=p61ymyoylx65"
"Teclado Yamaha EZ-220","https://es.wallapop.com/item/teclado-yamaha-ez-220-869283743","https://es.wallapop.com/app/chat?itemId=vjrrmrdq9ljk"
"Nintendo 2DS","https://es.wallapop.com/item/nintendo-2ds-869283741","https://es.wallapop.com/app/chat?itemId=wzvndny4l1jl"
"Patín Xiaomi Pro 2","https://es.wallapop.com/item/patin-xiaomi-pro-2-869283717","https://es.wallapop.com/app/chat?itemId=wzvndny4y1jl"
"Redes sociales","https://es.wallapop.com/item/redes-sociales-869283705","https://es.wallapop.com/app/chat?itemId=qjwpgpy4yqzo"
"iPhone 12","https://es.wallapop.com/item/iphone-12-869284515","https://es.wallapop.com/app/chat?itemId=36exmxw5gnzd"
