"Название товара","Ссылка на продавца","Ссылка на чат"
"vendo cazadora tejana trabajada a mano de calidad ","https://es.wallapop.com/item/vendo-cazadora-tejana-trabajada-a-mano-de-calidad-870442000","https://es.wallapop.com/app/chat?itemId=e65gd7lmmkjo"
"abrigo ","https://es.wallapop.com/item/abrigo-870441997","https://es.wallapop.com/app/chat?itemId=mzn87wx447zn"
"NIKE AIR JORDAN JUMPMAN HUSTLE RED","https://es.wallapop.com/item/nike-air-jordan-jumpman-hustle-red-870442640","https://es.wallapop.com/app/chat?itemId=v6g23or017ze"
"traje de flamenca","https://es.wallapop.com/item/traje-de-flamenca-870442517","https://es.wallapop.com/app/chat?itemId=wzvnd259w4jl"
"Gafas Ry-ban","https://es.wallapop.com/item/gafas-ry-ban-870442472","https://es.wallapop.com/app/chat?itemId=e65gd7lm0pjo"
"Jordan 1","https://es.wallapop.com/item/jordan-1-870442436","https://es.wallapop.com/app/chat?itemId=9jd218rdpl6k"
"GORRAS🔥","https://es.wallapop.com/item/gorras-870442396","https://es.wallapop.com/app/chat?itemId=e65gd7lm1gjo"
"zapatos","https://es.wallapop.com/item/zapatos-870442391","https://es.wallapop.com/app/chat?itemId=vjrrm43y2ljk"
"Jersey finito de rayas negras y blancas. PuntoRoma","https://es.wallapop.com/item/jersey-finito-de-rayas-negras-y-blancas-puntoroma-870443427","https://es.wallapop.com/app/chat?itemId=nz001rlmxvzo"
"FALDA BLANCA","https://es.wallapop.com/item/falda-blanca-870443398","https://es.wallapop.com/app/chat?itemId=pzprxdm95l63"
