"Название товара","Ссылка на продавца","Ссылка на чат"
"Mesa Comedor + 6 Sillas","https://es.wallapop.com/item/mesa-comedor---6-sillas-872742830","https://es.wallapop.com/app/chat?itemId=nzx0gpvmvpz2"
"nevera pequeña como nueva largo 140×50 ancho 50 ","https://es.wallapop.com/item/nevera-pequena-como-nueva-largo-14050-ancho-50-872744917","https://es.wallapop.com/app/chat?itemId=wzvnd5v5ldjl"
"Invernaderos","https://es.wallapop.com/item/invernaderos-872744902","https://es.wallapop.com/app/chat?itemId=pzprxm3m9l63"
"Sillas ikea","https://es.wallapop.com/item/sillas-ikea-872744176","https://es.wallapop.com/app/chat?itemId=w67ynl99w56x"
"jaula conejos de metro","https://es.wallapop.com/item/jaula-conejos-de-metro-872744124","https://es.wallapop.com/app/chat?itemId=e65gdl22o2jo"
"Google Pixel Slate tablet","https://es.wallapop.com/item/google-pixel-slate-tablet-872743235","https://es.wallapop.com/app/chat?itemId=0j23olke4e6y"
"nuevos ","https://es.wallapop.com/item/nuevos-872745092","https://es.wallapop.com/app/chat?itemId=wzy5g0v0o2j5"
"Vespa Iris 200 PX 1987","https://es.wallapop.com/item/vespa-iris-200-px-1987-872745085","https://es.wallapop.com/app/chat?itemId=pj950lqlr0ze"
"canapé y colchón","https://es.wallapop.com/item/canape-y-colchon-872745056","https://es.wallapop.com/app/chat?itemId=qzmy0w1wpozv"
"Fiat Bravo 2007","https://es.wallapop.com/item/fiat-bravo-2007-872745011","https://es.wallapop.com/app/chat?itemId=0j23olklne6y"
"Torre Lenovo ","https://es.wallapop.com/item/torre-lenovo-872743514","https://es.wallapop.com/app/chat?itemId=4z412l3kxvzy"
"vendo batería Yamaha set completo ","https://es.wallapop.com/item/vendo-bateria-yamaha-set-completo-872743054","https://es.wallapop.com/app/chat?itemId=nzx0gpvmo1z2"
"TWS AURICULARES COLGANTE ","https://es.wallapop.com/item/tws-auriculares-colgante-872744394","https://es.wallapop.com/app/chat?itemId=8z84pl9pkd63"
"Certificado energético ","https://es.wallapop.com/item/certificado-energetico-872744361","https://es.wallapop.com/app/chat?itemId=pj950lq05vze"
"vendo sofá con 2 forros incluidos ","https://es.wallapop.com/item/vendo-sofa-con-2-forros-incluidos-872744346","https://es.wallapop.com/app/chat?itemId=8z84pl9pgd63"
"PS4 Pro","https://es.wallapop.com/item/ps4-pro-872744292","https://es.wallapop.com/app/chat?itemId=wzy5g0vglvj5"
"Renault Clio 2009","https://es.wallapop.com/item/renault-clio-2009-872741566","https://es.wallapop.com/app/chat?itemId=x6qd1o24v5jy"
"trona y hamaca ","https://es.wallapop.com/item/trona-y-hamaca-872741491","https://es.wallapop.com/app/chat?itemId=vjrrm3vorwjk"
"Batidora 2 en 1","https://es.wallapop.com/item/batidora-2-en-1-872741479","https://es.wallapop.com/app/chat?itemId=p61yml1ky565"
"BEBECAR ","https://es.wallapop.com/item/bebecar-872744653","https://es.wallapop.com/app/chat?itemId=qjwpgnvg5gzo"
"Patinete electrico Xiaomi","https://es.wallapop.com/item/patinete-electrico-xiaomi-872744645","https://es.wallapop.com/app/chat?itemId=3zl1p7xpw8jx"
"Bambas deporte numero 42'30","https://es.wallapop.com/item/bambas-deporte-numero-42-30-872744631","https://es.wallapop.com/app/chat?itemId=p61yml1m2265"
"traje de comunión","https://es.wallapop.com/item/traje-de-comunion-872744283","https://es.wallapop.com/app/chat?itemId=0j23olkowr6y"
"samsung galaxi Z flip 5G ","https://es.wallapop.com/item/samsung-galaxi-z-flip-5g-872744894","https://es.wallapop.com/app/chat?itemId=8z84pl9l1l63"
"Cancán de fallera ","https://es.wallapop.com/item/cancan-de-fallera-872744867","https://es.wallapop.com/app/chat?itemId=vjrrm3v3kxjk"
"BMW Serie 5 2002","https://es.wallapop.com/item/bmw-serie-5-2002-872744848","https://es.wallapop.com/app/chat?itemId=e65gdl2lmkjo"
"SEAT Leon 2004","https://es.wallapop.com/item/seat-leon-2004-872744582","https://es.wallapop.com/app/chat?itemId=8j3eklokklz9"
"TV Samsung ","https://es.wallapop.com/item/tv-samsung-872744579","https://es.wallapop.com/app/chat?itemId=p61yml1mmd65"
"Opel Frontera 1998","https://es.wallapop.com/item/opel-frontera-1998-872744511","https://es.wallapop.com/app/chat?itemId=0j23olkogd6y"
"Nintendo DS","https://es.wallapop.com/item/nintendo-ds-872745581","https://es.wallapop.com/app/chat?itemId=xzorw1oqx2z9"
"Mesa extensible salón IKEA","https://es.wallapop.com/item/mesa-extensible-salon-ikea-872745569","https://es.wallapop.com/app/chat?itemId=3zl1p7xrm2jx"
"canapé y colchón ","https://es.wallapop.com/item/canape-y-colchon-872745555","https://es.wallapop.com/app/chat?itemId=p61yml128765"
"Virgen dolorosa","https://es.wallapop.com/item/virgen-dolorosa-872745545","https://es.wallapop.com/app/chat?itemId=3zl1p7xr82jx"
"Cabecero antiguo","https://es.wallapop.com/item/cabecero-antiguo-872745539","https://es.wallapop.com/app/chat?itemId=36exmrgk1vzd"
"Iphone 11  128gb","https://es.wallapop.com/item/iphone-11-128gb-872745541","https://es.wallapop.com/app/chat?itemId=wzvnd5v84djl"
"REALME C11","https://es.wallapop.com/item/realme-c11-872745514","https://es.wallapop.com/app/chat?itemId=4z412l341rzy"
"Play station 4 - 500GB","https://es.wallapop.com/item/play-station-4-500gb-872745505","https://es.wallapop.com/app/chat?itemId=qjwpgnv8pezo"
"monitor Gigabite m27q","https://es.wallapop.com/item/monitor-gigabite-m27q-872744464","https://es.wallapop.com/app/chat?itemId=v6g23rn375ze"
"Peugeot tweet de 49 de 4tiempos","https://es.wallapop.com/item/peugeot-tweet-de-49-de-4tiempos-872744455","https://es.wallapop.com/app/chat?itemId=p61yml1mk565"
"telefono DANCALL. años 80","https://es.wallapop.com/item/telefono-dancall-anos-80-872744447","https://es.wallapop.com/app/chat?itemId=ejkkn0wnp1jx"
"SUDADERA ADIDAS BLANCA TALLA M ","https://es.wallapop.com/item/sudadera-adidas-blanca-talla-m-872744444","https://es.wallapop.com/app/chat?itemId=wzy5g0vgy2j5"
"Bicicleta montaña","https://es.wallapop.com/item/bicicleta-montana-872744428","https://es.wallapop.com/app/chat?itemId=w67ynl9nxy6x"
"Bicicleta Eléctrica ","https://es.wallapop.com/item/bicicleta-electrica-872744405","https://es.wallapop.com/app/chat?itemId=qjwpgnvgr4zo"
