"Название товара","Ссылка на продавца","Ссылка на чат"
"iphone 8 plus rojo","https://es.wallapop.com/item/iphone-8-plus-rojo-870442910","https://es.wallapop.com/app/chat?itemId=8j3ekplmllz9"
"Masajeador Portatil","https://es.wallapop.com/item/masajeador-portatil-870442880","https://es.wallapop.com/app/chat?itemId=qzmy07w90ozv"
"cuadros","https://es.wallapop.com/item/cuadros-870445051","https://es.wallapop.com/app/chat?itemId=nz001rl4rezo"
"Gafas Ry-ban","https://es.wallapop.com/item/gafas-ry-ban-870442472","https://es.wallapop.com/app/chat?itemId=e65gd7lm0pjo"
"CuentoDisco de Alicia en el País de las Maravillas","https://es.wallapop.com/item/cuentodisco-de-alicia-en-el-pais-de-las-maravillas-870443090","https://es.wallapop.com/app/chat?itemId=x6qd1vok5yjy"
"Seventeen Trading Card Set ","https://es.wallapop.com/item/seventeen-trading-card-set-870443084","https://es.wallapop.com/app/chat?itemId=9jd218rx3l6k"
"Set de uñas completo o por separado ","https://es.wallapop.com/item/set-de-unas-completo-o-por-separado-870443060","https://es.wallapop.com/app/chat?itemId=9jd218rxll6k"
"Calibrador de monitor Spyder 4pro","https://es.wallapop.com/item/calibrador-de-monitor-spyder-4pro-870443053","https://es.wallapop.com/app/chat?itemId=qjwpg2neogzo"
"samsung a 53","https://es.wallapop.com/item/samsung-a-53-870444724","https://es.wallapop.com/app/chat?itemId=e65gd7lgogjo"
"portatil","https://es.wallapop.com/item/portatil-870442780","https://es.wallapop.com/app/chat?itemId=qzmy07w9pyzv"
"AirPods 3r generación ","https://es.wallapop.com/item/airpods-3r-generacion-870442786","https://es.wallapop.com/app/chat?itemId=4z4120lyqrzy"
"iPhone 7","https://es.wallapop.com/item/iphone-7-870443384","https://es.wallapop.com/app/chat?itemId=9jd218r7mn6k"
"Horquilla Rockshox.","https://es.wallapop.com/item/horquilla-rockshox-870443375","https://es.wallapop.com/app/chat?itemId=nz001rlmy7zo"
"Llantas BBS x4 ","https://es.wallapop.com/item/llantas-bbs-x4-870443378","https://es.wallapop.com/app/chat?itemId=nzx0grp5m5z2"
"Funda de iphone Xr","https://es.wallapop.com/item/funda-de-iphone-xr-870443367","https://es.wallapop.com/app/chat?itemId=vjrrm43d18jk"
"Armario de tela ","https://es.wallapop.com/item/armario-de-tela-870443343","https://es.wallapop.com/app/chat?itemId=vjrrm43do8jk"
"Raton Travkball Kensington","https://es.wallapop.com/item/raton-travkball-kensington-870443337","https://es.wallapop.com/app/chat?itemId=pj950nlyxvze"
"Pack 3 juegos Nintendo Switch","https://es.wallapop.com/item/pack-3-juegos-nintendo-switch-870443265","https://es.wallapop.com/app/chat?itemId=wzvnd25y4qjl"
"escaleras ","https://es.wallapop.com/item/escaleras-870443248","https://es.wallapop.com/app/chat?itemId=e65gd7lygkjo"
"Cámara Nikon D3300 + lente 18-55mm","https://es.wallapop.com/item/camara-nikon-d3300---lente-18-55mm-870443313","https://es.wallapop.com/app/chat?itemId=pj950nlynvze"
"Mando pro con cable ","https://es.wallapop.com/item/mando-pro-con-cable-870442432","https://es.wallapop.com/app/chat?itemId=qzmy07wgkxzv"
"Jog RR","https://es.wallapop.com/item/jog-rr-870442422","https://es.wallapop.com/app/chat?itemId=8z84p5lvd863"
