"Название товара","Ссылка на продавца","Ссылка на чат"
"colchón 135x 182","https://es.wallapop.com/item/colchon-135x-182-873122942","https://es.wallapop.com/app/chat?itemId=x6qd1885nojy"
"tenis marca bullpadel 25 euros ","https://es.wallapop.com/item/tenis-marca-bullpadel-75-euros-873122024","https://es.wallapop.com/app/chat?itemId=e65gd5500pjo"
"IPhone 11 Pro 256 Gb","https://es.wallapop.com/item/iphone-11-pro-256-gb-873122016","https://es.wallapop.com/app/chat?itemId=v6g23qqllmze"
"subwofer + etapa Sony ","https://es.wallapop.com/item/subwofer---etapa-sony-873121975","https://es.wallapop.com/app/chat?itemId=nz00133qkrzo"
"Mueble de comedor ","https://es.wallapop.com/item/mueble-de-salon-873120819","https://es.wallapop.com/app/chat?itemId=vjrrm88gg9jk"
"Abrigo Zara ","https://es.wallapop.com/item/abrigo-zara-873122106","https://es.wallapop.com/app/chat?itemId=nzx0g88k37z2"
"mueble de baño en perfecto estado ","https://es.wallapop.com/item/mueble-de-bano-en-perfecto-estado-873122103","https://es.wallapop.com/app/chat?itemId=nz00133q73zo"
"Conjunto Mesa y silla de comedor","https://es.wallapop.com/item/conjunto-mesa-y-silla-de-comedor-873122084","https://es.wallapop.com/app/chat?itemId=9jd21qqlol6k"
"mesa de cocina ","https://es.wallapop.com/item/mesa-de-cocina-873122076","https://es.wallapop.com/app/chat?itemId=w67ynppwm96x"
"Chándal Nike sin estrenar ","https://es.wallapop.com/item/chandal-nike-sin-estrenar-873120661","https://es.wallapop.com/app/chat?itemId=pj950779e0ze"
"móvil,nuevo a estrenar","https://es.wallapop.com/item/movil-nuevo-a-estrenar-873123059","https://es.wallapop.com/app/chat?itemId=0j23odd0de6y"
"Artículos Indios Nativos Americanos","https://es.wallapop.com/item/articulos-indios-nativos-americanos-873123037","https://es.wallapop.com/app/chat?itemId=pj950773l0ze"
"Ordenador Lenovo Nuevo","https://es.wallapop.com/item/ordenador-lenovo-nuevo-873122975","https://es.wallapop.com/app/chat?itemId=nz00133nd7zo"
"SEAT Ibiza 2005","https://es.wallapop.com/item/seat-ibiza-2005-873121169","https://es.wallapop.com/app/chat?itemId=3zl1prryk2jx"
"AIXAM 400 AIXAM ","https://es.wallapop.com/item/aixam-400-aixam-873121063","https://es.wallapop.com/app/chat?itemId=36exmkkyx8zd"
"Monitor Gaming ","https://es.wallapop.com/item/monitor-gaming-873121826","https://es.wallapop.com/app/chat?itemId=pzprxqqp3963"
"Mercedes-Benz Clase sportcoupe c220 cdi","https://es.wallapop.com/item/mercedes-benz-clase-c-2003-873121748","https://es.wallapop.com/app/chat?itemId=e65gd550p0jo"
"Escritorio beige","https://es.wallapop.com/item/escritorio-beige-873120441","https://es.wallapop.com/app/chat?itemId=wzvnd88pyqjl"
"gas gas 300 venta en mano","https://es.wallapop.com/item/gas-gas-300-venta-en-mano-873120343","https://es.wallapop.com/app/chat?itemId=vjrrm885n4jk"
"maquina café bar ","https://es.wallapop.com/item/maquina-cafe-bar-873120290","https://es.wallapop.com/app/chat?itemId=x6qd188g0yjy"
"PATINETE ELCTRICO XIAOMI","https://es.wallapop.com/item/patinete-elctrico-xiaomi-873120251","https://es.wallapop.com/app/chat?itemId=nz00133pkdzo"
"Colección Percy Jackson y Los heroes del olimpo ","https://es.wallapop.com/item/coleccion-percy-jackson-y-los-heroes-del-olimpo-873120910","https://es.wallapop.com/app/chat?itemId=8j3ek99107z9"
"Coleccion de Vinilo de los Beatles","https://es.wallapop.com/item/coleccion-de-vinilo-de-los-beatles-873121910","https://es.wallapop.com/app/chat?itemId=8j3ek99n9lz9"
"moneda","https://es.wallapop.com/item/moneda-873120798","https://es.wallapop.com/app/chat?itemId=pzprxqq4ek63"
"Se vende por 250€ negociables enganche para Renaul","https://es.wallapop.com/item/se-vende-por-250-negociables-enganche-para-renaul-873120762","https://es.wallapop.com/app/chat?itemId=4z41244m4mzy"
"estanteria","https://es.wallapop.com/item/estanteria-873123125","https://es.wallapop.com/app/chat?itemId=mzn87qqrd2zn"
"PSP ","https://es.wallapop.com/item/psp-873123106","https://es.wallapop.com/app/chat?itemId=nzx0g881xmz2"
"Moto cros CAYÓ K2 ","https://es.wallapop.com/item/moto-cros-cayo-k2-873123070","https://es.wallapop.com/app/chat?itemId=8z84p00o0o63"
"Pack de dólares y monedas mexicanas","https://es.wallapop.com/item/pack-de-dolares-y-monedas-mexicanas-873122694","https://es.wallapop.com/app/chat?itemId=8z84p00ov863"
"Llanta 16 ","https://es.wallapop.com/item/llanta-16-873122685","https://es.wallapop.com/app/chat?itemId=pj95077o8oze"
"ALFOMBRA 133x195cm","https://es.wallapop.com/item/alfombra-133x195cm-873122648","https://es.wallapop.com/app/chat?itemId=e65gd55wxpjo"
"termómetro de oido braun","https://es.wallapop.com/item/termometro-de-oido-braun-873122636","https://es.wallapop.com/app/chat?itemId=9jd21qq33l6k"
"moneda antigua de francisco franco","https://es.wallapop.com/item/moneda-antigua-de-francisco-franco-873122850","https://es.wallapop.com/app/chat?itemId=pzprxqqlk463"
"Galeria del coleccionista","https://es.wallapop.com/item/galeria-del-coleccionista-873122825","https://es.wallapop.com/app/chat?itemId=mzn87qqr2kzn"
"lámpara de habitación ","https://es.wallapop.com/item/lampara-de-habitacion-873122816","https://es.wallapop.com/app/chat?itemId=v6g23qqdg7ze"
"Montacargas ","https://es.wallapop.com/item/montacargas-873122811","https://es.wallapop.com/app/chat?itemId=0j23odd04r6y"
"Lady Gaga - Pocket Faces Remixes - Picture Disc","https://es.wallapop.com/item/lady-gaga-pocket-faces-remixes-picture-disc-873122804","https://es.wallapop.com/app/chat?itemId=w67ynppmyw6x"
"Silla para coche BABYAUTO","https://es.wallapop.com/item/silla-para-coche-babyauto-873122799","https://es.wallapop.com/app/chat?itemId=nz00133n03zo"
"Alfombras de vinilo ","https://es.wallapop.com/item/alfombras-de-vinilo-873122769","https://es.wallapop.com/app/chat?itemId=3zl1prrv9njx"
"motor de 1700voltios","https://es.wallapop.com/item/motor-de-1700voltios-873122747","https://es.wallapop.com/app/chat?itemId=ejkknqqg4rjx"
"maquina de coser ","https://es.wallapop.com/item/maquina-de-coser-873120660","https://es.wallapop.com/app/chat?itemId=9jd21qqpv46k"
"Pinarello Fp3","https://es.wallapop.com/item/pinarello-fp3-873120631","https://es.wallapop.com/app/chat?itemId=p61ym22we565"
"Batería DJI Mini 2","https://es.wallapop.com/item/bateria-dji-mini-2-873120634","https://es.wallapop.com/app/chat?itemId=8j3ek99122z9"
"Nike- Air max 97 ","https://es.wallapop.com/item/nike-air-max-97-873120587","https://es.wallapop.com/app/chat?itemId=36exmkk0pvzd"
"cartas pokemon ","https://es.wallapop.com/item/cartas-pokemon-873120585","https://es.wallapop.com/app/chat?itemId=pj950779xvze"
"Renault Master 2005","https://es.wallapop.com/item/renault-master-2005-873120536","https://es.wallapop.com/app/chat?itemId=9jd21qqpwn6k"
"ESTACIÓN DE COCTELERIA DE MADERA ","https://es.wallapop.com/item/estacion-de-cocteleria-de-madera-873120507","https://es.wallapop.com/app/chat?itemId=p61ym22w4765"
"Nintendo 3DS cocargador y 2 juegos incuidos ","https://es.wallapop.com/item/nintendo-3ds-cocargador-y-2-juegos-incuidos-873120514","https://es.wallapop.com/app/chat?itemId=4z41244merzy"
"Instalo tu anti virus favorito remotamente. ","https://es.wallapop.com/item/instalo-tu-anti-virus-favorito-remotamente-873120484","https://es.wallapop.com/app/chat?itemId=9jd21qqp226k"
