"Название товара","Ссылка на продавца","Ссылка на чат"
"Faro Citroën C3","https://es.wallapop.com/item/faro-citroen-c3-873120956","https://es.wallapop.com/app/chat?itemId=qzmy088k2lzv"
"Falda actual ","https://es.wallapop.com/item/falda-actual-873120948","https://es.wallapop.com/app/chat?itemId=e65gd55o42jo"
"Sofá modular vintage, años 70.","https://es.wallapop.com/item/sofa-modular-vintage-anos-70-873121792","https://es.wallapop.com/app/chat?itemId=wzy5g882opj5"
"Juego monopoly junior y puzzle ","https://es.wallapop.com/item/juego-monopoly-junior-y-puzzle-873121773","https://es.wallapop.com/app/chat?itemId=mzn87qq50yzn"
"Converse Chuck Taylor 2 Lunarlon ","https://es.wallapop.com/item/converse-chuck-taylor-2-lunarlon-873121234","https://es.wallapop.com/app/chat?itemId=8j3ek99qg2z9"
"Zapatos de seguridad ","https://es.wallapop.com/item/zapatos-de-seguridad-873121235","https://es.wallapop.com/app/chat?itemId=0j23oddvee6y"
"Ps1","https://es.wallapop.com/item/ps1-873121213","https://es.wallapop.com/app/chat?itemId=pj95077wr0ze"
"impresora HP ","https://es.wallapop.com/item/impresora-hp-873122503","https://es.wallapop.com/app/chat?itemId=nz001335orzo"
"nevera","https://es.wallapop.com/item/nevera-873122127","https://es.wallapop.com/app/chat?itemId=nz00133593zo"
"chaqueta","https://es.wallapop.com/item/chaqueta-873122131","https://es.wallapop.com/app/chat?itemId=p61ym22n9g65"
"Masajeador de pies","https://es.wallapop.com/item/masajeador-de-pies-873121720","https://es.wallapop.com/app/chat?itemId=wzy5g882ypj5"
"Escape original aprilia sxr 50","https://es.wallapop.com/item/escape-original-aprilia-sxr-50-873121705","https://es.wallapop.com/app/chat?itemId=qjwpg88o2ezo"
"Barra Samsung sound modelo (HW-K450/ZF)","https://es.wallapop.com/item/barra-samsung-sound-modelo-hw-k450-zf-873121706","https://es.wallapop.com/app/chat?itemId=nzx0g88kr5z2"
"Samsung Galaxy 04s","https://es.wallapop.com/item/samsung-galaxy-04s-873121497","https://es.wallapop.com/app/chat?itemId=mzn87qqnr0zn"
"Vendo tacata por 60€ ","https://es.wallapop.com/item/vendo-tacata-por-60-873121487","https://es.wallapop.com/app/chat?itemId=36exmkky2qzd"
"Ruedas rieju rr","https://es.wallapop.com/item/ruedas-rieju-rr-873121076","https://es.wallapop.com/app/chat?itemId=w67ynpp0yw6x"
"Pila granito grande","https://es.wallapop.com/item/pila-granito-grande-873121390","https://es.wallapop.com/app/chat?itemId=x6qd1887g5jy"
"Disfraz Demo Gorgon Strangers thinks 11/12 años","https://es.wallapop.com/item/disfraz-demo-gorgon-strangers-thinks-11-12-anos-873121375","https://es.wallapop.com/app/chat?itemId=nz00133eprzo"
"FUNDAS DE MANILLAR JANE(UNIVERSAL)","https://es.wallapop.com/item/fundas-de-manillar-jane-universal-873121763","https://es.wallapop.com/app/chat?itemId=36exmkklevzd"
"Colección cuentos Disney","https://es.wallapop.com/item/coleccion-cuentos-disney-873121735","https://es.wallapop.com/app/chat?itemId=0j23odd51n6y"
"Cenicero de alpaca ","https://es.wallapop.com/item/cenicero-de-alpaca-873121440","https://es.wallapop.com/app/chat?itemId=v6g23qqylmze"
"zapato de tacón ","https://es.wallapop.com/item/zapato-de-tacon-873121435","https://es.wallapop.com/app/chat?itemId=0j23oddvvv6y"
"bicicleta elíptica ","https://es.wallapop.com/item/bicicleta-eliptica-873121418","https://es.wallapop.com/app/chat?itemId=x6qd18877yjy"
"Juguetes Hamster","https://es.wallapop.com/item/juguetes-hamster-873121415","https://es.wallapop.com/app/chat?itemId=36exmkky0qzd"
"puertas ","https://es.wallapop.com/item/puertas-873121059","https://es.wallapop.com/app/chat?itemId=0j23oddv3r6y"
"3 COCHES CRAWLER TT ESCALA1/10 SIN ESTRENAR","https://es.wallapop.com/item/3-coches-crawler-tt-escala1-10-sin-estrenar-873121057","https://es.wallapop.com/app/chat?itemId=xzorwqqprlz9"
"abrigo","https://es.wallapop.com/item/abrigo-873121049","https://es.wallapop.com/app/chat?itemId=mzn87qqnvkzn"
"traje flamenca ","https://es.wallapop.com/item/traje-flamenca-873121048","https://es.wallapop.com/app/chat?itemId=e65gd55n3kjo"
"Corpiño medieval","https://es.wallapop.com/item/corpino-medieval-873120786","https://es.wallapop.com/app/chat?itemId=4z41244m9mzy"
"16 GB RAM DDR3, Intel i3-4170 placa GA-H97-HD3","https://es.wallapop.com/item/16-gb-ram-ddr3-intel-i3-4170-placa-ga-h97-hd3-873120783","https://es.wallapop.com/app/chat?itemId=0j23oddx2d6y"
"Alfombra ","https://es.wallapop.com/item/alfombra-873120769","https://es.wallapop.com/app/chat?itemId=3zl1prr3w4jx"
"vendo","https://es.wallapop.com/item/vendo-873121625","https://es.wallapop.com/app/chat?itemId=mzn87qq5vkzn"
"¿Y si lo probamos?","https://es.wallapop.com/item/y-si-lo-probamos-873121624","https://es.wallapop.com/app/chat?itemId=e65gd5503kjo"
"Cámara Sony Alpha 230","https://es.wallapop.com/item/camara-sony-alpha-230-873121611","https://es.wallapop.com/app/chat?itemId=0j23odd5rr6y"
"Reloj de pared antiguo","https://es.wallapop.com/item/reloj-de-pared-antiguo-873121700","https://es.wallapop.com/app/chat?itemId=e65gd550q0jo"
"fogon y maquina de churros. ","https://es.wallapop.com/item/fogon-y-maquina-de-churros-873121531","https://es.wallapop.com/app/chat?itemId=p61ym22gxg65"
"Game boy color","https://es.wallapop.com/item/game-boy-color-873121518","https://es.wallapop.com/app/chat?itemId=x6qd1887rqjy"
"Mesa de mármol","https://es.wallapop.com/item/mesa-de-marmol-873121577","https://es.wallapop.com/app/chat?itemId=qjwpg88oewzo"
"faja","https://es.wallapop.com/item/faja-873121571","https://es.wallapop.com/app/chat?itemId=ejkknqqlxrjx"
"Portabicicletas","https://es.wallapop.com/item/portabicicletas-873121572","https://es.wallapop.com/app/chat?itemId=e65gd550v2jo"
"cuna bebe completa","https://es.wallapop.com/item/cuna-bebe-completa-873121564","https://es.wallapop.com/app/chat?itemId=v6g23qql02ze"
"Peg Perego - Silla para coche Viaggio 1 Duo-Fix K","https://es.wallapop.com/item/peg-perego-silla-para-coche-viaggio-1-duo-fix-k-873120690","https://es.wallapop.com/app/chat?itemId=x6qd188e2ejy"
"Disco de vinilo","https://es.wallapop.com/item/disco-de-vinilo-873120675","https://es.wallapop.com/app/chat?itemId=nz00133kxvzo"
"Skate marca amigos","https://es.wallapop.com/item/skate-marca-amigos-873120878","https://es.wallapop.com/app/chat?itemId=nzx0g887kpz2"
"Casco moto G MAC talle L buen estado","https://es.wallapop.com/item/casco-moto-g-mac-talle-l-buen-estado-873120873","https://es.wallapop.com/app/chat?itemId=mzn87qqd50zn"
"reloj guess mujer","https://es.wallapop.com/item/reloj-guess-mujer-873120864","https://es.wallapop.com/app/chat?itemId=v6g23qqwlmze"
"Velas de cera","https://es.wallapop.com/item/velas-de-cera-873120863","https://es.wallapop.com/app/chat?itemId=36exmkk0yqzd"
"PS4 500gb","https://es.wallapop.com/item/ps4-500gb-873120846","https://es.wallapop.com/app/chat?itemId=8z84p00d7863"
"Jordan 3","https://es.wallapop.com/item/jordan-3-873121665","https://es.wallapop.com/app/chat?itemId=wzvnd88m4qjl"
"Tostador doble ","https://es.wallapop.com/item/tostador-doble-873121650","https://es.wallapop.com/app/chat?itemId=pzprxqqpr463"
"lavabo bathco","https://es.wallapop.com/item/lavabo-bathco-873121350","https://es.wallapop.com/app/chat?itemId=pzprxqq0ok63"
"cazadora","https://es.wallapop.com/item/cazadora-873121340","https://es.wallapop.com/app/chat?itemId=v6g23qqyqlze"
"Jog r 400 €","https://es.wallapop.com/item/jog-r-400-873121328","https://es.wallapop.com/app/chat?itemId=w67ynpp0p76x"
