"Название товара","Ссылка на продавца","Ссылка на чат"
"ARMARIO IKEA","https://es.wallapop.com/item/armario-ikea-869215085","https://es.wallapop.com/app/chat?itemId=pj950gom8mze"
"Chaise longe ","https://es.wallapop.com/item/chaise-longe-869215068","https://es.wallapop.com/app/chat?itemId=wzy5g734mvj5"
"Blazer azul marino ","https://es.wallapop.com/item/blazer-azul-marino-869215646","https://es.wallapop.com/app/chat?itemId=8z84pgm8ol63"
"Apartamento bellies ","https://es.wallapop.com/item/apartamento-bellies-869215641","https://es.wallapop.com/app/chat?itemId=wzvndl1gwqjl"
"Tapete VERDE tejido a ganchillo","https://es.wallapop.com/item/tapete-verde-tejido-a-ganchillo-869215643","https://es.wallapop.com/app/chat?itemId=vjrrm90enxjk"
"Brasero antiguo ","https://es.wallapop.com/item/brasero-antiguo-869215361","https://es.wallapop.com/app/chat?itemId=pj950go4r2ze"
"Volante y pedales PS4 / Wireless RWA / HORI","https://es.wallapop.com/item/volante-y-pedales-ps4-wireless-rwa-hori-869214906","https://es.wallapop.com/app/chat?itemId=nzx0gyo487z2"
"Replica guitarra SNAKEBYTE Esp james hetfield ","https://es.wallapop.com/item/replica-guitarra-snakebyte-esp-james-hetfield-869215581","https://es.wallapop.com/app/chat?itemId=xzorwv5gp5z9"
"IPHONE 14 128GB","https://es.wallapop.com/item/iphone-14-128gb-869215575","https://es.wallapop.com/app/chat?itemId=nz001v58e3zo"
"Piso en alquiler","https://es.wallapop.com/item/piso-en-alquiler-869215602","https://es.wallapop.com/app/chat?itemId=pzprx1nkp463"
"ofrezco empleo","https://es.wallapop.com/item/ofrezco-empleo-869215740","https://es.wallapop.com/app/chat?itemId=v6g2319o4nze"
"Fiat Scudo 2000","https://es.wallapop.com/item/fiat-scudo-2000-869215306","https://es.wallapop.com/app/chat?itemId=nzx0gyoewmz2"
"Yamaha X-max 300","https://es.wallapop.com/item/yamaha-x-max-300-869215379","https://es.wallapop.com/app/chat?itemId=p61ym7n8dd65"
"ESCARPINES NUEVOS TALLA 9","https://es.wallapop.com/item/escarpines-nuevos-talla-9-869215501","https://es.wallapop.com/app/chat?itemId=mzn87vy317zn"
"bambas vans niño","https://es.wallapop.com/item/bambas-vans-nino-869215231","https://es.wallapop.com/app/chat?itemId=p61ym7n84565"
"Mesa de salon","https://es.wallapop.com/item/mesa-de-salon-869215232","https://es.wallapop.com/app/chat?itemId=qzmy03rmeozv"
"Caja registradora TPV","https://es.wallapop.com/item/caja-registradora-tpv-869215212","https://es.wallapop.com/app/chat?itemId=9jd2153w246k"
"lámpara techo y bombilla","https://es.wallapop.com/item/lampara-techo-y-bombilla-869214996","https://es.wallapop.com/app/chat?itemId=e65gd3w8n2jo"
"libro ","https://es.wallapop.com/item/libro-869214867","https://es.wallapop.com/app/chat?itemId=vjrrm90q39jk"
"Bicicleta nueva ","https://es.wallapop.com/item/bicicleta-nueva-869214853","https://es.wallapop.com/app/chat?itemId=qjwpgdk4ggzo"
"Personalización ","https://es.wallapop.com/item/personalizacion-869214850","https://es.wallapop.com/app/chat?itemId=pzprx1n2x563"
"cabezadas","https://es.wallapop.com/item/cabezadas-de-presentacion-y-de-cuadra-869214832","https://es.wallapop.com/app/chat?itemId=qzmy03re1xzv"
"venta de cuadros ","https://es.wallapop.com/item/venta-de-cuadros-869215461","https://es.wallapop.com/app/chat?itemId=pj950go4loze"
"Psicólogo - buscó empleo","https://es.wallapop.com/item/psicologo-busco-empleo-869215039","https://es.wallapop.com/app/chat?itemId=36exmn2128zd"
"bicicleta ","https://es.wallapop.com/item/bicicleta-869215015","https://es.wallapop.com/app/chat?itemId=36exmn21l8zd"
