"Название товара","Ссылка на продавца","Ссылка на чат"
"Portes y mudanzas","https://es.wallapop.com/item/portes-y-mudanzas-870481412","https://es.wallapop.com/app/chat?itemId=9jd2189lml6k"
"BANCO","https://es.wallapop.com/item/banco-870481406","https://es.wallapop.com/app/chat?itemId=nzx0grnkmpz2"
"Tacones Pedro Garcia (Salon)","https://es.wallapop.com/item/tacones-pedro-garcia-salon-870480629","https://es.wallapop.com/app/chat?itemId=qjwpg253y4zo"
"Botas de fútbol Lotto","https://es.wallapop.com/item/botas-de-futbol-lotto-870481463","https://es.wallapop.com/app/chat?itemId=36exm84lgqzd"
"cartas ","https://es.wallapop.com/item/cartas-870481169","https://es.wallapop.com/app/chat?itemId=3zl1p0wle2jx"
"la casa de los espiritus","https://es.wallapop.com/item/la-casa-de-los-espiritus-870481164","https://es.wallapop.com/app/chat?itemId=v6g23o5lmnze"
"vendo ","https://es.wallapop.com/item/vendo-870481156","https://es.wallapop.com/app/chat?itemId=qzmy07xlgyzv"
"Zapatillas Nike air max ","https://es.wallapop.com/item/zapatillas-nike-air-max-870481003","https://es.wallapop.com/app/chat?itemId=nz001roepezo"
"Armario","https://es.wallapop.com/item/armario-870480998","https://es.wallapop.com/app/chat?itemId=pzprxdo0em63"
"Se vende Samsung S21 ultra o cambio por note 20 ul","https://es.wallapop.com/item/se-vende-samsung-s21-ultra-o-cambio-por-note-20-ul-870481389","https://es.wallapop.com/app/chat?itemId=wzvnd2emq1jl"
"Libro/Comic Geronimo Stilton ","https://es.wallapop.com/item/libro-comic-geronimo-stilton-870481363","https://es.wallapop.com/app/chat?itemId=36exm84lpyzd"
"CAMILLA","https://es.wallapop.com/item/camilla-870481332","https://es.wallapop.com/app/chat?itemId=qzmy07xl71zv"
"uñas y pestañas y  lifting ","https://es.wallapop.com/item/unas-y-pestanas-y-lifting-870481102","https://es.wallapop.com/app/chat?itemId=pzprxdo0nl63"
"se vende wii negra","https://es.wallapop.com/item/se-vende-wii-negra-870481531","https://es.wallapop.com/app/chat?itemId=p61ym53r2g65"
"Bandeja silicona Airfryer. Proteger y cocinar.","https://es.wallapop.com/item/bandeja-silicona-proteger-y-cocinar-en-airfryer-870481526","https://es.wallapop.com/app/chat?itemId=pzprxdopqm63"
"Bagaboo","https://es.wallapop.com/item/bagaboo-870480931","https://es.wallapop.com/app/chat?itemId=p61ym53glg65"
"Teclado ESG K6 Mechanik","https://es.wallapop.com/item/teclado-esg-k6-mechanik-870481056","https://es.wallapop.com/app/chat?itemId=qzmy07x5lgzv"
"Laundry hanger / Percha para ropa ","https://es.wallapop.com/item/laundry-hanger-percha-para-ropa-870481557","https://es.wallapop.com/app/chat?itemId=xzorwxmnm5z9"
