"Название товара","Ссылка на продавца","Ссылка на чат"
"Orbea Oiz H30 Talla L 2020 MONOPLATO Grupo XT NUEV","https://es.wallapop.com/item/orbea-oiz-h30-talla-l-2020-monoplato-grupo-xt-nuev-869476532","https://es.wallapop.com/app/chat?itemId=qzmy0yx3llzv"
"Cascos Radius 7.1 ","https://es.wallapop.com/item/cascos-radius-7-1-869476447","https://es.wallapop.com/app/chat?itemId=ejkknk793pjx"
"Rosa señora ","https://es.wallapop.com/item/rosa-senora-869476489","https://es.wallapop.com/app/chat?itemId=wzvndnelorjl"
"Cazadora cruzada de flores reversible.","https://es.wallapop.com/item/cazadora-cruzada-de-flores-reversible-869475910","https://es.wallapop.com/app/chat?itemId=8j3ekedy17z9"
"Patinete eléctrico ","https://es.wallapop.com/item/patinete-electrico-869476068","https://es.wallapop.com/app/chat?itemId=wzy5g5p7lvj5"
"llantas ","https://es.wallapop.com/item/llantas-869476055","https://es.wallapop.com/app/chat?itemId=p61ymy379x65"
"moises cuna de mimbre","https://es.wallapop.com/item/moises-cuna-de-mimbre-869475761","https://es.wallapop.com/app/chat?itemId=pj9505pyq2ze"
"PS3 SUPER SLIM ROJA 500GB","https://es.wallapop.com/item/ps3-super-slim-roja-500gb-869475506","https://es.wallapop.com/app/chat?itemId=nzx0g0n555z2"
"Play station 5","https://es.wallapop.com/item/play-station-5-869475878","https://es.wallapop.com/app/chat?itemId=nzx0g0n5xpz2"
"collar de impulsos para perros","https://es.wallapop.com/item/collar-de-impulsos-para-perros-869475962","https://es.wallapop.com/app/chat?itemId=4z41219v7vzy"
