"Название товара","Ссылка на продавца","Ссылка на чат"
"Batería VARTA  105D ","https://es.wallapop.com/item/bateria-varta-105d-870459638","https://es.wallapop.com/app/chat?itemId=4z4120484lzy"
"Nike SB Dunk Low - Sandy Bodecker","https://es.wallapop.com/item/nike-sb-dunk-low-sandy-bodecker-870459636","https://es.wallapop.com/app/chat?itemId=9jd218qwq46k"
"fondu blanca ","https://es.wallapop.com/item/fondu-blanca-870459618","https://es.wallapop.com/app/chat?itemId=x6qd1v8qoejy"
"Vibrador de olivas","https://es.wallapop.com/item/vibrador-de-olivas-870459547","https://es.wallapop.com/app/chat?itemId=ejkknpqmryjx"
"cinturón leon blanco *nuevo*","https://es.wallapop.com/item/cinturon-leon-blanco-nuevo-870458791","https://es.wallapop.com/app/chat?itemId=vjrrm48qr4jk"
"Cubre llantas opel","https://es.wallapop.com/item/cubre-llantas-opel-870459276","https://es.wallapop.com/app/chat?itemId=w67ynxpv896x"
"Chef semi nueva","https://es.wallapop.com/item/chef-semi-nueva-870459272","https://es.wallapop.com/app/chat?itemId=e65gd75qmpjo"
"Iphone 14 pro max 256gb","https://es.wallapop.com/item/iphone-14-pro-max-256gb-870459663","https://es.wallapop.com/app/chat?itemId=36exm8k54kzd"
"Funda ","https://es.wallapop.com/item/funda-870459664","https://es.wallapop.com/app/chat?itemId=v6g23oqp55ze"
"Boina tela","https://es.wallapop.com/item/boina-tela-870459654","https://es.wallapop.com/app/chat?itemId=nzx0gr8enez2"
"Purificador de Aire Xiaomi 4 lite","https://es.wallapop.com/item/purificador-de-aire-xiaomi-4-lite-870459317","https://es.wallapop.com/app/chat?itemId=wzvnd28gy4jl"
"PLAYSTATION 4 500GB + DISCODURO 2TB","https://es.wallapop.com/item/playstation-4-500gb---discoduro-2tb-870459320","https://es.wallapop.com/app/chat?itemId=wzy5gy8rnxj5"
"Nissan Serena 94","https://es.wallapop.com/item/nissan-serena-94-870459306","https://es.wallapop.com/app/chat?itemId=nzx0gr8el7z2"
"GESTIÓN ADMINISTRATIVA EN EL COMERCIO INTERNACIONA","https://es.wallapop.com/item/gestion-administrativa-en-el-comercio-internaciona-870459307","https://es.wallapop.com/app/chat?itemId=p61ym528vg65"
"Cafetera Dolce Gusto en perfecto estado","https://es.wallapop.com/item/cafetera-dolce-gusto-en-perfecto-estado-870459178","https://es.wallapop.com/app/chat?itemId=nzx0gr84kmz2"
"ventanas ","https://es.wallapop.com/item/ventanas-870459168","https://es.wallapop.com/app/chat?itemId=wzy5gy842ej5"
"Estantería blanca con cajones ","https://es.wallapop.com/item/estanteria-blanca-con-cajones-870459160","https://es.wallapop.com/app/chat?itemId=9jd218qky96k"
"Dormitorio ","https://es.wallapop.com/item/dormitorio-870459707","https://es.wallapop.com/app/chat?itemId=p61ym528wd65"
"SILLON","https://es.wallapop.com/item/sillon-870459702","https://es.wallapop.com/app/chat?itemId=pzprxdqk4k63"
"iPhone X","https://es.wallapop.com/item/iphone-x-870459698","https://es.wallapop.com/app/chat?itemId=pzprxdqk4963"
"Ropa de Barbie ","https://es.wallapop.com/item/ropa-de-barbie-870459428","https://es.wallapop.com/app/chat?itemId=w67ynxpvvw6x"
"Rizadora-plancha de pelo","https://es.wallapop.com/item/rizadora-plancha-de-pelo-870459408","https://es.wallapop.com/app/chat?itemId=qzmy078mmgzv"
"chaleco hombre ","https://es.wallapop.com/item/chaleco-hombre-870459401","https://es.wallapop.com/app/chat?itemId=mzn87wq32kzn"
"REFORMAS ","https://es.wallapop.com/item/reformas-870458880","https://es.wallapop.com/app/chat?itemId=qzmy078eogzv"
"Figuras varías porcelana","https://es.wallapop.com/item/figuras-varias-porcelana-870459517","https://es.wallapop.com/app/chat?itemId=wzvnd28gkdjl"
"portátil dell i7 ","https://es.wallapop.com/item/portatil-dell-i7-870459488","https://es.wallapop.com/app/chat?itemId=v6g23oqpe7ze"
"Servicios de Limpieza ","https://es.wallapop.com/item/servicios-de-limpieza-870459034","https://es.wallapop.com/app/chat?itemId=8j3ekp94l2z9"
"patinete eléctrico NUEVO A ESTRENAR ","https://es.wallapop.com/item/patinete-electrico-nuevo-a-estrenar-870459467","https://es.wallapop.com/app/chat?itemId=vjrrm48eoxjk"
"Stranger Things: La Guía Oficial. Mundos del Revés","https://es.wallapop.com/item/stranger-things-la-guia-oficial-mundos-del-reves-870459468","https://es.wallapop.com/app/chat?itemId=wzy5gy8rxvj5"
"Bandeja doble","https://es.wallapop.com/item/bandeja-doble-870459440","https://es.wallapop.com/app/chat?itemId=v6g23oqpo7ze"
"Pantalón chandal Lacoste","https://es.wallapop.com/item/pantalon-chandal-lacoste-870458662","https://es.wallapop.com/app/chat?itemId=4z412041wwzy"
"Maleta de cabina ","https://es.wallapop.com/item/maleta-de-cabina-870458656","https://es.wallapop.com/app/chat?itemId=qzmy078yqxzv"
"Adidas ","https://es.wallapop.com/item/adidas-870458637","https://es.wallapop.com/app/chat?itemId=pj950n75ooze"
"Móvil ( piezas de móvil)","https://es.wallapop.com/item/movil-piezas-de-movil-870458743","https://es.wallapop.com/app/chat?itemId=vjrrm48qd4jk"
"mesa  de centro","https://es.wallapop.com/item/mesa-de-centro-870458718","https://es.wallapop.com/app/chat?itemId=x6qd1v8mkqjy"
"aire acondicionado portátil ","https://es.wallapop.com/item/aire-acondicionado-portatil-870459086","https://es.wallapop.com/app/chat?itemId=4z41204e9lzy"
"Servilleteros","https://es.wallapop.com/item/servilleteros-870459084","https://es.wallapop.com/app/chat?itemId=9jd218qk946k"
"cadena y pulsera de plata","https://es.wallapop.com/item/cadena-y-pulsera-de-plata-870459070","https://es.wallapop.com/app/chat?itemId=8z84p50k0o63"
"chaqueta ","https://es.wallapop.com/item/chaqueta-870459590","https://es.wallapop.com/app/chat?itemId=x6qd1v8q1ojy"
"Zapatillas personalizables","https://es.wallapop.com/item/zapatillas-personalizables-870459583","https://es.wallapop.com/app/chat?itemId=0j23ond8on6y"
"Habitación en alquiler","https://es.wallapop.com/item/habitacion-en-alquiler-870458714","https://es.wallapop.com/app/chat?itemId=4z41204eyvzy"
"Patines talla 41","https://es.wallapop.com/item/patines-talla-41-870458708","https://es.wallapop.com/app/chat?itemId=qzmy078eglzv"
"vendo cazadora cuero moto","https://es.wallapop.com/item/vendo-cazadora-cuero-moto-870458695","https://es.wallapop.com/app/chat?itemId=ejkknpq82pjx"
"patineta ","https://es.wallapop.com/item/patineta-870459221","https://es.wallapop.com/app/chat?itemId=3zl1p0r8v8jx"
"Libro ""Simbad el marino""","https://es.wallapop.com/item/libro-simbad-el-marino-870459197","https://es.wallapop.com/app/chat?itemId=mzn87wq2y2zn"
"Fátima ","https://es.wallapop.com/item/fatima-870459372","https://es.wallapop.com/app/chat?itemId=e65gd75qg2jo"
"PALA PADEL wilson carbon force pro gold","https://es.wallapop.com/item/pala-padel-wilson-carbon-force-pro-gold-870459351","https://es.wallapop.com/app/chat?itemId=nz001r38v3zo"
"Mesa de vidrio ","https://es.wallapop.com/item/mesa-de-vidrio-870459333","https://es.wallapop.com/app/chat?itemId=xzorwxqg85z9"
"airmax 97","https://es.wallapop.com/item/airmax-97-870459334","https://es.wallapop.com/app/chat?itemId=8j3ekp98y7z9"
"Nevera","https://es.wallapop.com/item/nevera-870458617","https://es.wallapop.com/app/chat?itemId=wzvnd28n1rjl"
"Iphone 14 plus 128 GB","https://es.wallapop.com/item/iphone-14-plus-128-gb-870458588","https://es.wallapop.com/app/chat?itemId=v6g23oq2ylze"
"Bicicleta para plantar ","https://es.wallapop.com/item/bicicleta-para-plantar-870458580","https://es.wallapop.com/app/chat?itemId=qzmy078y51zv"
