"Название товара","Ссылка на продавца","Ссылка на чат"
"bicicleta ","https://es.wallapop.com/item/bicicleta-869239110","https://es.wallapop.com/app/chat?itemId=8j3ekx73d8z9"
"Calentador Termo Seminuevo 200L","https://es.wallapop.com/item/calentador-termo-seminuevo-869238412","https://es.wallapop.com/app/chat?itemId=9jd215oov26k"
"Vendo orbea mx40 ","https://es.wallapop.com/item/vendo-orbea-mx40-869238154","https://es.wallapop.com/app/chat?itemId=nzx0gy11dmz2"
"Chevrolet Cruze 2010","https://es.wallapop.com/item/chevrolet-cruze-2010-869238705","https://es.wallapop.com/app/chat?itemId=qjwpgdxxmqzo"
"Apple watch serie 4 ","https://es.wallapop.com/item/apple-watch-serie-4-869238853","https://es.wallapop.com/app/chat?itemId=qjwpgdxm4gzo"
"lavadora HOOVER","https://es.wallapop.com/item/lavadora-hoover-869238839","https://es.wallapop.com/app/chat?itemId=36exmn3qxqzd"
"Louis Vuitton Mens Fastlane Trainers","https://es.wallapop.com/item/louis-vuitton-mens-fastlane-trainers-869238893","https://es.wallapop.com/app/chat?itemId=3zl1p9vo08jx"
"Maxi Cosi Cabriofix y  instalación Isofix ","https://es.wallapop.com/item/maxi-cosi-cabriofix-y-instalacion-isofix-869238512","https://es.wallapop.com/app/chat?itemId=9jd215ooqn6k"
"Skate NUEVO, sin uso. ","https://es.wallapop.com/item/skate-nuevo-sin-uso-869238331","https://es.wallapop.com/app/chat?itemId=p61ym7pp5g65"
"LÁMPARAS ANTIGUAS, TECHO","https://es.wallapop.com/item/lamparas-antiguas-techo-869238831","https://es.wallapop.com/app/chat?itemId=p61ym7pxy265"
"Monitor gaming Dell","https://es.wallapop.com/item/monitor-gaming-dell-869238721","https://es.wallapop.com/app/chat?itemId=3zl1p9voe4jx"
"litografía ","https://es.wallapop.com/item/litografia-869238724","https://es.wallapop.com/app/chat?itemId=e65gd3x4mgjo"
"vendo mobiliario de salón muy elegante ","https://es.wallapop.com/item/vendo-mobiliario-de-salon-muy-elegante-869238714","https://es.wallapop.com/app/chat?itemId=4z412gwwdmzy"
"Live AID 4 dvd","https://es.wallapop.com/item/live-aid-4-dvd-869239012","https://es.wallapop.com/app/chat?itemId=9jd215og426k"
"TRASPASO LOCAL COMERCIAL","https://es.wallapop.com/item/traspaso-local-comercial-869238995","https://es.wallapop.com/app/chat?itemId=ejkkn9g1rrjx"
"busco empleo ","https://es.wallapop.com/item/busco-empleo-869238969","https://es.wallapop.com/app/chat?itemId=3zl1p9vodnjx"
