"Название товара","Ссылка на продавца","Ссылка на чат"
"Muebles altos cocina","https://es.wallapop.com/item/muebles-altos-cocina-871750425","https://es.wallapop.com/app/chat?itemId=mzn87pmqx0zn"
"KIA Carens 2004","https://es.wallapop.com/item/kia-carens-2004-871750365","https://es.wallapop.com/app/chat?itemId=wzvnd3v831jl"
"Zapatillas Adidas Continental","https://es.wallapop.com/item/zapatillas-adidas-continental-871750459","https://es.wallapop.com/app/chat?itemId=0j23oekddv6y"
"mudanzas y transportes ","https://es.wallapop.com/item/mudanzas-y-transportes-871750446","https://es.wallapop.com/app/chat?itemId=8z84pe900863"
"Moneda 10 céntimos franco del 59","https://es.wallapop.com/item/moneda-10-centimos-franco-del-59-871750701","https://es.wallapop.com/app/chat?itemId=mzn87pm1gyzn"
"Sony Xperia 5 II ","https://es.wallapop.com/item/sony-xperia-5-ii-871750697","https://es.wallapop.com/app/chat?itemId=mzn87pm1gkzn"
"Tablet Samsung Galaxy TAB S8 Ultra ","https://es.wallapop.com/item/tablet-samsung-galaxy-tab-s8-ultra-871750834","https://es.wallapop.com/app/chat?itemId=8j3ekgodp2z9"
"Mesa tv Aparador","https://es.wallapop.com/item/mesa-tv-aparador-871750774","https://es.wallapop.com/app/chat?itemId=pzprx73orl63"
"BMW Serie 1 2014","https://es.wallapop.com/item/bmw-serie-1-2014-871751279","https://es.wallapop.com/app/chat?itemId=p61ymd10vx65"
"camisa ","https://es.wallapop.com/item/camisa-871750676","https://es.wallapop.com/app/chat?itemId=w67yne958w6x"
"Casa en venta","https://es.wallapop.com/item/casa-en-venta-871751213","https://es.wallapop.com/app/chat?itemId=pj950eqp8mze"
"Vendo Xiaomi redmi 9","https://es.wallapop.com/item/vendo-xiaomi-redmi-9-871751009","https://es.wallapop.com/app/chat?itemId=xzorw0om14z9"
"chaqueta trapsrat","https://es.wallapop.com/item/chaqueta-trapsrat-871750991","https://es.wallapop.com/app/chat?itemId=vjrrmxv2mljk"
"FIFA 23 nuevo precintado","https://es.wallapop.com/item/fifa-23-nuevo-precintado-871750988","https://es.wallapop.com/app/chat?itemId=v6g23vn53lze"
"se ofrece esta nuevo ","https://es.wallapop.com/item/se-ofrece-esta-nuevo-871751085","https://es.wallapop.com/app/chat?itemId=pj950eqp2oze"
"Pantalón vaquero ","https://es.wallapop.com/item/pantalon-vaquero-871750890","https://es.wallapop.com/app/chat?itemId=x6qd1w23xejy"
"Yamahar6","https://es.wallapop.com/item/yamahar6-871750859","https://es.wallapop.com/app/chat?itemId=0j23oek21e6y"
"bicicleta","https://es.wallapop.com/item/bicicleta-871750855","https://es.wallapop.com/app/chat?itemId=p61ymd13k565"
