"Название товара","Ссылка на продавца","Ссылка на чат"
"ps5 lector discos total mente nueva","https://es.wallapop.com/item/ps5-lector-discos-total-mente-nueva-871679975","https://es.wallapop.com/app/chat?itemId=nz001dr187zo"
"Mueble de madera doble ","https://es.wallapop.com/item/mueble-de-madera-doble-871679161","https://es.wallapop.com/app/chat?itemId=pj950eneokze"
"Samsung j5 2017 2gb 16gb ","https://es.wallapop.com/item/samsung-j5-2017-2gb-16gb-871679856","https://es.wallapop.com/app/chat?itemId=qzmy0n704gzv"
"GRIP WILSON ","https://es.wallapop.com/item/grip-wilson-871679835","https://es.wallapop.com/app/chat?itemId=0j23oenowr6y"
"Trastero en venta","https://es.wallapop.com/item/trastero-en-venta-871679815","https://es.wallapop.com/app/chat?itemId=36exmv8m98zd"
"lote de 30 monedas de 100 pesetas de Franco. plata","https://es.wallapop.com/item/lote-de-30-monedas-de-100-pesetas-de-franco-plata-871679807","https://es.wallapop.com/app/chat?itemId=p61ymd51xx65"
"vendo volante con pedales   para xbox  one y serie","https://es.wallapop.com/item/vendo-volante-con-pedales-para-xbox-one-y-serie-871678272","https://es.wallapop.com/app/chat?itemId=e65gde7rpmjo"
"Nike tech flecee ","https://es.wallapop.com/item/nike-tech-flecee-871677790","https://es.wallapop.com/app/chat?itemId=x6qd1wvxw5jy"
"carro nurse jane","https://es.wallapop.com/item/carro-nurse-jane-871677725","https://es.wallapop.com/app/chat?itemId=mzn87pw002zn"
"Plancha vertical rowenta","https://es.wallapop.com/item/plancha-vertical-rowenta-871679434","https://es.wallapop.com/app/chat?itemId=8j3ekgpo52z9"
"Habitación en alquiler","https://es.wallapop.com/item/habitacion-en-alquiler-871679420","https://es.wallapop.com/app/chat?itemId=wzy5g9yvy2j5"
"BabylissPro skeleton fx roja","https://es.wallapop.com/item/babylisspro-skeleton-fx-871679395","https://es.wallapop.com/app/chat?itemId=ejkknrpwmyjx"
"Mesillas y aparador ","https://es.wallapop.com/item/mesillas-y-aparador-871677852","https://es.wallapop.com/app/chat?itemId=w67ynexkl96x"
"collar de las witch","https://es.wallapop.com/item/collar-de-las-witch-871680128","https://es.wallapop.com/app/chat?itemId=w67ynexnn76x"
"Libro el principito","https://es.wallapop.com/item/libro-el-principito-871680105","https://es.wallapop.com/app/chat?itemId=qjwpg92gvqzo"
"Manual Derecho Romano","https://es.wallapop.com/item/manual-derecho-romano-871680502","https://es.wallapop.com/app/chat?itemId=pzprx7dmrl63"
"canapé y colchón ","https://es.wallapop.com/item/canape-y-colchon-871680455","https://es.wallapop.com/app/chat?itemId=p61ymd5lox65"
"Móvil LG k5","https://es.wallapop.com/item/movil-lg-k5-871678590","https://es.wallapop.com/app/chat?itemId=x6qd1wvnpqjy"
"Silla Plegable","https://es.wallapop.com/item/silla-plegable-871678571","https://es.wallapop.com/app/chat?itemId=ejkknrpdlrjx"
"PS4 slim PERFECTO ESTADO","https://es.wallapop.com/item/ps4-slim-perfecto-estado-871680371","https://es.wallapop.com/app/chat?itemId=ejkknrpn1rjx"
"Uncharted ps5","https://es.wallapop.com/item/uncharted-ps5-871680369","https://es.wallapop.com/app/chat?itemId=3zl1p50ponjx"
"Mesa","https://es.wallapop.com/item/mesa-871680347","https://es.wallapop.com/app/chat?itemId=ejkknrpngrjx"
"Alfombra","https://es.wallapop.com/item/alfombra-871680233","https://es.wallapop.com/app/chat?itemId=xzorw0xw44z9"
"Cepillo elétrico para cabellos ","https://es.wallapop.com/item/cepillo-eletrico-para-cabellos-871680220","https://es.wallapop.com/app/chat?itemId=wzy5g9yg15j5"
"calentador de agua eléctrico ","https://es.wallapop.com/item/calentador-de-agua-electrico-871679240","https://es.wallapop.com/app/chat?itemId=v6g23vonm7ze"
"Súper Mario Odyssey","https://es.wallapop.com/item/super-mario-odyssey-871679204","https://es.wallapop.com/app/chat?itemId=w67ynexemw6x"
"Botes Trekking Hurricane Vermell","https://es.wallapop.com/item/botes-trekking-hurricane-vermell-871680023","https://es.wallapop.com/app/chat?itemId=ejkknrpne1jx"
"MANGA MY HERO ACADEMIA/BOKU NO HERO ACADEMIA","https://es.wallapop.com/item/manga-my-hero-academia-871680012","https://es.wallapop.com/app/chat?itemId=9jd21v81n46k"
"libro culpa mía ","https://es.wallapop.com/item/libro-culpa-mia-871680632","https://es.wallapop.com/app/chat?itemId=qzmy0n7wvozv"
"pantalones cortos palm angels","https://es.wallapop.com/item/pantalones-cortos-palm-angels-871680584","https://es.wallapop.com/app/chat?itemId=9jd21v8rnn6k"
"estantería ","https://es.wallapop.com/item/estanteria-871680192","https://es.wallapop.com/app/chat?itemId=wzy5g9ygpej5"
"Teléfono con Fax","https://es.wallapop.com/item/telefono-con-fax-871680171","https://es.wallapop.com/app/chat?itemId=ejkknrpnq9jx"
"Móvil OPPO A54s","https://es.wallapop.com/item/movil-oppo-a54s-871680174","https://es.wallapop.com/app/chat?itemId=pzprx7dxqk63"
"escape moto BMW GS 1200","https://es.wallapop.com/item/escape-moto-bmw-gs-1200-871680162","https://es.wallapop.com/app/chat?itemId=4z412k02lmzy"
"Cartas Magic","https://es.wallapop.com/item/cartas-magic-871680158","https://es.wallapop.com/app/chat?itemId=8j3ekgpkllz9"
"Xiaomi Redmi 9A","https://es.wallapop.com/item/xiaomi-redmi-9a-871680133","https://es.wallapop.com/app/chat?itemId=xzorw0xwwwz9"
"Libro derecho romano privado ","https://es.wallapop.com/item/libro-derecho-romano-privado-871679504","https://es.wallapop.com/app/chat?itemId=w67ynex9e76x"
"Chandal nike tech azul marino","https://es.wallapop.com/item/chandal-nike-tech-azul-marino-871679479","https://es.wallapop.com/app/chat?itemId=p61ymd51e565"
"Monitor hp","https://es.wallapop.com/item/monitor-hp-871679467","https://es.wallapop.com/app/chat?itemId=vjrrmx4v1wjk"
"fósil de almeja ","https://es.wallapop.com/item/fosil-de-almeja-871679297","https://es.wallapop.com/app/chat?itemId=mzn87pwmlkzn"
"Ventilador","https://es.wallapop.com/item/ventilador-871679648","https://es.wallapop.com/app/chat?itemId=e65gde721pjo"
"Libro inteligencia emocional","https://es.wallapop.com/item/libro-inteligencia-emocional-871679628","https://es.wallapop.com/app/chat?itemId=w67ynex9596x"
"Chaqueta nike","https://es.wallapop.com/item/chaqueta-nike-871679598","https://es.wallapop.com/app/chat?itemId=pzprx7d3qk63"
"GTX 950 EVGA 2 GB PERFECTA tarjeta gráfica ","https://es.wallapop.com/item/gtx-950-evga-2-gb-perfecta-tarjeta-grafica-871679931","https://es.wallapop.com/app/chat?itemId=p61ymd5m4765"
"Piano musical para bebé ","https://es.wallapop.com/item/piano-musical-para-bebe-871679924","https://es.wallapop.com/app/chat?itemId=e65gde7dg0jo"
