"Название товара","Ссылка на продавца","Ссылка на чат"
"6 SILLAS MADERA","https://es.wallapop.com/item/6-sillas-madera-871312719","https://es.wallapop.com/app/chat?itemId=vjrrmprl28jk"
"pantalon de esquí ","https://es.wallapop.com/item/pantalon-de-esqui-871311424","https://es.wallapop.com/app/chat?itemId=e65gdrgwrkjo"
"Pack de 44 cintas VHS","https://es.wallapop.com/item/pack-de-44-cintas-vhs-871311425","https://es.wallapop.com/app/chat?itemId=mzn87e8yekzn"
"Hoverboard ","https://es.wallapop.com/item/hoverboard-871309618","https://es.wallapop.com/app/chat?itemId=x6qd1ndevnjy"
"Guitarra española flamenco","https://es.wallapop.com/item/guitarra-espanola-flamenco-871309600","https://es.wallapop.com/app/chat?itemId=e65gdrgoqkjo"
"Maquina de coser eléctrica ALFA","https://es.wallapop.com/item/maquina-de-coser-electrica-alfa-871309582","https://es.wallapop.com/app/chat?itemId=8j3ek2e147z9"
"carrito para bebe ","https://es.wallapop.com/item/carrito-para-bebe-871309541","https://es.wallapop.com/app/chat?itemId=wzvndknpn4jl"
"Lego mindstorm ev3 31313","https://es.wallapop.com/item/lego-mindstorm-ev3-31313-871312150","https://es.wallapop.com/app/chat?itemId=pzprx5rlol63"
"pladur","https://es.wallapop.com/item/pladur-871312139","https://es.wallapop.com/app/chat?itemId=36exmox34vzd"
"Cámara NIKON F50","https://es.wallapop.com/item/camara-nikon-f50-871312126","https://es.wallapop.com/app/chat?itemId=pzprx5rlql63"
"zapatos de novia ","https://es.wallapop.com/item/zapatos-de-novia-871314216","https://es.wallapop.com/app/chat?itemId=v6g23kg4omze"
"caler 80cc euro 2","https://es.wallapop.com/item/caler-80cc-euro-2-871312260","https://es.wallapop.com/app/chat?itemId=9jd21m2o346k"
"Ceiling lamps with 3 light bulbs ","https://es.wallapop.com/item/ceiling-lamps-with-3-light-bulbs-871312199","https://es.wallapop.com/app/chat?itemId=nz00120nk7zo"
"Cafetera Nespresso nueva ","https://es.wallapop.com/item/cafetera-nespresso-nueva-871309722","https://es.wallapop.com/app/chat?itemId=8z84pr4ded63"
"Muebles de salón ","https://es.wallapop.com/item/muebles-de-salon-871309727","https://es.wallapop.com/app/chat?itemId=nz00120kd7zo"
"Chaqueta Nike","https://es.wallapop.com/item/chaqueta-nike-871309667","https://es.wallapop.com/app/chat?itemId=vjrrmprg1xjk"
"Radiador eléctrico","https://es.wallapop.com/item/radiador-electrico-871309236","https://es.wallapop.com/app/chat?itemId=9jd21m20q46k"
"Colección completa del capitán trueno","https://es.wallapop.com/item/coleccion-completa-del-capitan-trueno-871309215","https://es.wallapop.com/app/chat?itemId=36exmox7rkzd"
