"Название товара","Ссылка на продавца","Ссылка на чат"
"Cinta de andar ","https://es.wallapop.com/item/cinta-de-andar-872879227","https://es.wallapop.com/app/chat?itemId=nz001lnrrezo"
"Bmx negra","https://es.wallapop.com/item/bmx-negra-872879363","https://es.wallapop.com/app/chat?itemId=36exmr38mvzd"
"Insurgente (saga divergente )","https://es.wallapop.com/item/insurgente-saga-divergente-872879335","https://es.wallapop.com/app/chat?itemId=0j23ol0nkn6y"
"samsung galaxy s20FE","https://es.wallapop.com/item/samsung-galaxy-s20fe-872878855","https://es.wallapop.com/app/chat?itemId=p61ymlp83565"
"Congelador Zanussi 263 litros","https://es.wallapop.com/item/congelador-zanussi-872878845","https://es.wallapop.com/app/chat?itemId=3zl1p7vmrqjx"
"SmartHub Arlo ","https://es.wallapop.com/item/smarthub-arlo-872878838","https://es.wallapop.com/app/chat?itemId=4z412lw84lzy"
"Habitación en alquiler","https://es.wallapop.com/item/habitacion-en-alquiler-872879524","https://es.wallapop.com/app/chat?itemId=e65gdlx70gjo"
"lote 10 juegos de ps4 ","https://es.wallapop.com/item/lote-10-juegos-de-ps4-872879826","https://es.wallapop.com/app/chat?itemId=pzprxmlgg463"
"Silla de bebé","https://es.wallapop.com/item/silla-de-bebe-872879810","https://es.wallapop.com/app/chat?itemId=8j3ekl755yz9"
"Zapatillas Pompeii","https://es.wallapop.com/item/zapatillas-pompeii-872879909","https://es.wallapop.com/app/chat?itemId=xzorw1y3o2z9"
"Cable iphone 2M","https://es.wallapop.com/item/cable-iphone-2m-872879889","https://es.wallapop.com/app/chat?itemId=wzvnd5w03qjl"
"zapatos bebé Atippas T. M","https://es.wallapop.com/item/zapatos-bebe-atippas-t-m-872878936","https://es.wallapop.com/app/chat?itemId=9jd21rowy96k"
"Mueble armario y mesita ","https://es.wallapop.com/item/mueble-armario-y-mesita-872878920","https://es.wallapop.com/app/chat?itemId=wzy5g0mrkej5"
"Jersey con apertura en el hombro","https://es.wallapop.com/item/jersey-con-apertura-en-el-hombro-872879460","https://es.wallapop.com/app/chat?itemId=9jd21ro8046k"
"Colonia","https://es.wallapop.com/item/colonia-872879624","https://es.wallapop.com/app/chat?itemId=e65gdlxpmpjo"
"ps2 cámara seminueva ","https://es.wallapop.com/item/ps2-camara-seminueva-872879956","https://es.wallapop.com/app/chat?itemId=qzmy0wqowyzv"
"camiseta ","https://es.wallapop.com/item/camiseta-872879934","https://es.wallapop.com/app/chat?itemId=8j3ekl75k8z9"
"Bicicleta estática ","https://es.wallapop.com/item/bicicleta-estatica-872879515","https://es.wallapop.com/app/chat?itemId=36exmr38yyzd"
"Latitude Dell 5410 ","https://es.wallapop.com/item/latitude-dell-5410-872879475","https://es.wallapop.com/app/chat?itemId=nz001lnrkvzo"
"Garaje en alquiler","https://es.wallapop.com/item/garaje-en-alquiler-872879465","https://es.wallapop.com/app/chat?itemId=wzvnd5w277jl"
"Lote 16 Placas circular 6w Led 12 cm ","https://es.wallapop.com/item/lote-16-placas-circular-6w-led-12-cm-872879735","https://es.wallapop.com/app/chat?itemId=0j23ol013m6y"
"Falda","https://es.wallapop.com/item/falda-872879704","https://es.wallapop.com/app/chat?itemId=w67ynlm7g56x"
"Sofa Ikea ","https://es.wallapop.com/item/sofa-ikea-872879025","https://es.wallapop.com/app/chat?itemId=mzn87xr390zn"
"tienes de campaña","https://es.wallapop.com/item/tienes-de-campana-872879588","https://es.wallapop.com/app/chat?itemId=v6g23rdodlze"
"Twogether (PS4)","https://es.wallapop.com/item/twogether-ps4-872879580","https://es.wallapop.com/app/chat?itemId=qzmy0wq7q1zv"
"Monstera esqueleto","https://es.wallapop.com/item/monstera-esqueleto-872879569","https://es.wallapop.com/app/chat?itemId=3zl1p7v0v4jx"
"Cómic Mortadelo y Filemón ","https://es.wallapop.com/item/comic-mortadelo-y-filemon-872878968","https://es.wallapop.com/app/chat?itemId=wzy5g0mr3ej5"
"frigorífico en garantía ","https://es.wallapop.com/item/frigorifico-en-garantia-872878955","https://es.wallapop.com/app/chat?itemId=p61ymlp8rd65"
"Mesa de patio con sillas","https://es.wallapop.com/item/mesa-de-patio-con-sillas-872879067","https://es.wallapop.com/app/chat?itemId=vjrrm3n4k9jk"
"Mueble auxiliar forja y cristal biselado ","https://es.wallapop.com/item/mueble-auxiliar-forja-y-cristal-biselado-872879060","https://es.wallapop.com/app/chat?itemId=9jd21ro8dl6k"
"TV XIAOMI 43 Pulgadas","https://es.wallapop.com/item/tv-xiaomi-43-pulgadas-872879061","https://es.wallapop.com/app/chat?itemId=pj950l3ndoze"
"Smart tv Samsung 32 pulgadas","https://es.wallapop.com/item/smart-tv-samsung-32-pulgadas-872879052","https://es.wallapop.com/app/chat?itemId=w67ynlmx896x"
"2 cuadros de flores ","https://es.wallapop.com/item/2-cuadros-de-flores-872879679","https://es.wallapop.com/app/chat?itemId=p61ymlpko265"
"AFX 8500(V)","https://es.wallapop.com/item/afx-8500-v-872879669","https://es.wallapop.com/app/chat?itemId=3zl1p7vkg8jx"
"florero de cristal de bohemia 20€","https://es.wallapop.com/item/florero-de-cristal-de-bohemia-20-872879646","https://es.wallapop.com/app/chat?itemId=8z84plowq863"
"Silla de ruedas B&B plegable de aluminio","https://es.wallapop.com/item/silla-de-ruedas-b-b-plegable-de-aluminio-872879285","https://es.wallapop.com/app/chat?itemId=pj950l3nrmze"
"Batería original xiaomi mi 10t / pro","https://es.wallapop.com/item/bateria-original-xiaomi-mi-10t-pro-872879273","https://es.wallapop.com/app/chat?itemId=mzn87xrw0kzn"
"nintendo 3 ds personalizada ","https://es.wallapop.com/item/nintendo-3-ds-personalizada-872879203","https://es.wallapop.com/app/chat?itemId=nz001lnr8ezo"
"chaqueta nike 1ra mano","https://es.wallapop.com/item/chaqueta-nike-1ra-mano-872879179","https://es.wallapop.com/app/chat?itemId=p61ymlp54g65"
"Lamparas doradas","https://es.wallapop.com/item/lamparas-doradas-872879418","https://es.wallapop.com/app/chat?itemId=x6qd1o5v8ejy"
"Chaleco zara ","https://es.wallapop.com/item/chaleco-zara-872879381","https://es.wallapop.com/app/chat?itemId=xzorw1yx12z9"
"MOÑOS VALENCIANA","https://es.wallapop.com/item/monos-valenciana-872879375","https://es.wallapop.com/app/chat?itemId=nz001lnr17zo"
"Cuna de viaje con cambiador","https://es.wallapop.com/item/cuna-de-viaje-con-cambiador-872879777","https://es.wallapop.com/app/chat?itemId=qjwpgnx7rwzo"
"Mando inalambrico","https://es.wallapop.com/item/mando-inalambrico-872879770","https://es.wallapop.com/app/chat?itemId=8z84plow8r63"
