"Название товара","Ссылка на продавца","Ссылка на чат"
"Zapato sanitario ","https://es.wallapop.com/item/zapato-sanitario-872103198","https://es.wallapop.com/app/chat?itemId=pzprx3mryk63"
"Botas PmG goretex 39","https://es.wallapop.com/item/botas-pmg-goretex-39-872103058","https://es.wallapop.com/app/chat?itemId=8j3ekolxq2z9"
"botas máximo dutti","https://es.wallapop.com/item/botas-maximo-dutti-872102238","https://es.wallapop.com/app/chat?itemId=4z4123lvq8zy"
"Pendientes y Pulsera a juego.","https://es.wallapop.com/item/pendientes-y-pulsera-a-juego-872102512","https://es.wallapop.com/app/chat?itemId=9jd214r7l96k"
"Chaqueta Redbull retro","https://es.wallapop.com/item/chaqueta-redbull-retro-872102410","https://es.wallapop.com/app/chat?itemId=8j3ekolyd2z9"
"Nike Tech Fleece S","https://es.wallapop.com/item/nike-tech-fleece-s-872102825","https://es.wallapop.com/app/chat?itemId=mzn87mxv0kzn"
"633432732 Trajes de Comunión ","https://es.wallapop.com/item/633432732-trajes-de-comunion-872102659","https://es.wallapop.com/app/chat?itemId=0j23oklryv6y"
"Mocasines Like ","https://es.wallapop.com/item/mocasines-like-872102646","https://es.wallapop.com/app/chat?itemId=8z84p9lg1863"
"Chaqueta vintage Chevignon XL","https://es.wallapop.com/item/chaqueta-vintage-chevignon-xl-872103427","https://es.wallapop.com/app/chat?itemId=nz001xl02ezo"
"trajes de chaqueta","https://es.wallapop.com/item/trajes-de-chaqueta-872103392","https://es.wallapop.com/app/chat?itemId=wzy5gv05qxj5"
"Chaqueta de moto de cuero clásico.","https://es.wallapop.com/item/chaqueta-de-moto-de-cuero-clasico-872103280","https://es.wallapop.com/app/chat?itemId=qzmy01wyyxzv"
