"Название товара","Ссылка на продавца","Ссылка на чат"
"pedo envasado ","https://es.wallapop.com/item/pedo-envasado-869190695","https://es.wallapop.com/app/chat?itemId=ejkkn9yr01jx"
"Móvil ","https://es.wallapop.com/item/movil-869190507","https://es.wallapop.com/app/chat?itemId=p61ym7gd5765"
"pirelli scorpion 2021","https://es.wallapop.com/item/pirelli-scorpion-2021-869190494","https://es.wallapop.com/app/chat?itemId=8z84pg7e8l63"
"Servicio de niñera","https://es.wallapop.com/item/servicio-de-ninera-869190376","https://es.wallapop.com/app/chat?itemId=w67yng0e356x"
"reloj Samsung Galaxy active 2","https://es.wallapop.com/item/reloj-samsung-galaxy-active-2-869189145","https://es.wallapop.com/app/chat?itemId=3zl1p9ykvnjx"
"TOSTADOR","https://es.wallapop.com/item/tostador-869190559","https://es.wallapop.com/app/chat?itemId=0j23orveqn6y"
"Portabicicletas","https://es.wallapop.com/item/portabicicletas-869190544","https://es.wallapop.com/app/chat?itemId=wzy5g7k9xpj5"
"portatiles","https://es.wallapop.com/item/portatiles-869189979","https://es.wallapop.com/app/chat?itemId=p61ym7geq765"
"smartphone ZTE BLADE A51","https://es.wallapop.com/item/smartphone-zte-blade-a51-869190426","https://es.wallapop.com/app/chat?itemId=pzprx1071463"
"estuche totto","https://es.wallapop.com/item/estuche-totto-869189704","https://es.wallapop.com/app/chat?itemId=w67yng0k156x"
"Mercedes-Benz GLC Coupé 2019","https://es.wallapop.com/item/mercedes-benz-glc-coupe-2019-869190873","https://es.wallapop.com/app/chat?itemId=mzn87vnpr0zn"
"Espejo dorado ","https://es.wallapop.com/item/espejo-dorado-869190863","https://es.wallapop.com/app/chat?itemId=36exmnyv2qzd"
"Iphone X que en buen estado","https://es.wallapop.com/item/iphone-x-que-en-buen-estado-869190858","https://es.wallapop.com/app/chat?itemId=8j3ekxqg01z9"
"ENTRADITA DE FORJA","https://es.wallapop.com/item/entradita-de-forja-869190842","https://es.wallapop.com/app/chat?itemId=x6qd197wpyjy"
"BMW X3 2005","https://es.wallapop.com/item/bmw-x3-2005-869189903","https://es.wallapop.com/app/chat?itemId=nz001ve247zo"
"Maleta grande","https://es.wallapop.com/item/maleta-grande-869190204","https://es.wallapop.com/app/chat?itemId=w67yng0r296x"
"caldera de gasóleo Trade","https://es.wallapop.com/item/caldera-de-gasoleo-trade-869190197","https://es.wallapop.com/app/chat?itemId=mzn87vned2zn"
"Vendo lavavajillas BOSCH totalmente integrado","https://es.wallapop.com/item/vendo-lavavajillas-bosch-totalmente-integrado-869190172","https://es.wallapop.com/app/chat?itemId=e65gd3nr1gjo"
"Nevera Frigo Siemens","https://es.wallapop.com/item/nevera-frigo-siemens-869189580","https://es.wallapop.com/app/chat?itemId=qzmy035px1zv"
"Colchón IKEA Modelo Hövåg 150x190","https://es.wallapop.com/item/colchon-ikea-modelo-hovag-150x190-869189561","https://es.wallapop.com/app/chat?itemId=pj950gwv72ze"
