"Название товара","Ссылка на продавца","Ссылка на чат"
"arpa celta ","https://es.wallapop.com/item/arpa-celta-871160777","https://es.wallapop.com/app/chat?itemId=qjwpgqwmkwzo"
"desgranadora de maiz","https://es.wallapop.com/item/desgranadora-de-maiz-871158248","https://es.wallapop.com/app/chat?itemId=e65gd91n2pjo"
"Fiat Doblò 2003","https://es.wallapop.com/item/fiat-doblo-2003-871163983","https://es.wallapop.com/app/chat?itemId=0j23oqx4en6y"
"Habitación en alquiler","https://es.wallapop.com/item/habitacion-en-alquiler-871164853","https://es.wallapop.com/app/chat?itemId=qjwpgq0rmgzo"
"alquiler ","https://es.wallapop.com/item/alquiler-871157728","https://es.wallapop.com/app/chat?itemId=w67ynko2l56x"
"Pintura y reforma ","https://es.wallapop.com/item/pintura-y-reforma-871160473","https://es.wallapop.com/app/chat?itemId=mzn870k90gzn"
"Tarjeta de 16 gb","https://es.wallapop.com/item/tarjeta-de-16-gb-871160087","https://es.wallapop.com/app/chat?itemId=36exme734qzd"
"maquinaria agrícola varias","https://es.wallapop.com/item/maquinaria-agricola-varias-871163365","https://es.wallapop.com/app/chat?itemId=wzvndqpnqdjl"
"Vitrina refrigerada 100L","https://es.wallapop.com/item/vitrina-refrigerada-100l-871163310","https://es.wallapop.com/app/chat?itemId=8j3ekr1ep8z9"
"IMAC 27 pulgadas","https://es.wallapop.com/item/imac-27-pulgadas-871161226","https://es.wallapop.com/app/chat?itemId=pzprxw48o563"
"PC I3 8GB 256SSD - 5 AÑOS GARANTIA","https://es.wallapop.com/item/pc-i3-8gb-256ssd-5-anos-garantia-871157978","https://es.wallapop.com/app/chat?itemId=nzx0gqx2l5z2"
"Sofá Bohus con chaise longue","https://es.wallapop.com/item/sofa-bohus-con-chaise-longue-871159421","https://es.wallapop.com/app/chat?itemId=3zl1pn2qp8jx"
"Mesa madera de roble","https://es.wallapop.com/item/mesa-madera-de-roble-871156645","https://es.wallapop.com/app/chat?itemId=3zl1pn2w2pjx"
"Martillo Demoledor","https://es.wallapop.com/item/martillo-demoledor-871162453","https://es.wallapop.com/app/chat?itemId=qjwpgq0y3gzo"
"Vendo robot","https://es.wallapop.com/item/vendo-robot-871162431","https://es.wallapop.com/app/chat?itemId=p61ymqwow265"
"Portatil casi nuevo","https://es.wallapop.com/item/portatil-casi-nuevo-871162239","https://es.wallapop.com/app/chat?itemId=36exme0wokzd"
"BICI CARRETERA ","https://es.wallapop.com/item/bici-carretera-871164371","https://es.wallapop.com/app/chat?itemId=ejkkn5om9rjx"
"Moto Sym Jet 14","https://es.wallapop.com/item/moto-sym-jet-14-871164214","https://es.wallapop.com/app/chat?itemId=4z412qmepwzy"
"Citroen C3 2005","https://es.wallapop.com/item/citroen-c3-2005-871157241","https://es.wallapop.com/app/chat?itemId=wzvndq77pqjl"
