"Название товара","Ссылка на продавца","Ссылка на чат"
"airpods 2 pro a estrenar","https://es.wallapop.com/item/airpods-2-pro-a-estrenar-872772415","https://es.wallapop.com/app/chat?itemId=36exmrrm28zd"
"Paletero XXL Agustín Tapia AT10","https://es.wallapop.com/item/paletero-xxl-agustin-tapia-at10-872772417","https://es.wallapop.com/app/chat?itemId=wzvnd55d1qjl"
"bambas ","https://es.wallapop.com/item/bambas-872772403","https://es.wallapop.com/app/chat?itemId=nz001ll1qezo"
"patín eléctrico de niño ","https://es.wallapop.com/item/patin-electrico-de-nino-872772406","https://es.wallapop.com/app/chat?itemId=nzx0gppgk1z2"
"MOTOR DE ARRANQUE CITROEN  XARA","https://es.wallapop.com/item/motor-de-arranque-citroen-xara-872771898","https://es.wallapop.com/app/chat?itemId=pzprxmm3v463"
"SuperZings ","https://es.wallapop.com/item/superzings-872772325","https://es.wallapop.com/app/chat?itemId=mzn87xx7k7zn"
"Mi nombre es Violeta ","https://es.wallapop.com/item/mi-nombre-es-violeta-872772769","https://es.wallapop.com/app/chat?itemId=3zl1p777x4jx"
"Turbokit 50/70 AM6","https://es.wallapop.com/item/turbokit-50-70-am6-872772763","https://es.wallapop.com/app/chat?itemId=36exmrrrvyzd"
"Bicicleta paseo ","https://es.wallapop.com/item/bicicleta-paseo-872772748","https://es.wallapop.com/app/chat?itemId=e65gdlllegjo"
"Virus juego de cartas","https://es.wallapop.com/item/virus-juego-de-cartas-872771792","https://es.wallapop.com/app/chat?itemId=wzy5g00vkxj5"
"Auriculares de Apple ","https://es.wallapop.com/item/auriculares-de-apple-872771786","https://es.wallapop.com/app/chat?itemId=4z412ll35vzy"
"Lacoste zapatillas deportivas nuevas.","https://es.wallapop.com/item/lacoste-zapatillas-deportivas-nuevas-872771780","https://es.wallapop.com/app/chat?itemId=qzmy0ww1klzv"
"Adaptador Bluetooth","https://es.wallapop.com/item/adaptador-bluetooth-872771776","https://es.wallapop.com/app/chat?itemId=w67ynll9256x"
"portabicicletas","https://es.wallapop.com/item/portabicicletas-872771772","https://es.wallapop.com/app/chat?itemId=e65gdll2o2jo"
"Moto para niños +3 años","https://es.wallapop.com/item/moto-para-ninos--3-anos-872772508","https://es.wallapop.com/app/chat?itemId=qzmy0www9yzv"
"Michelin pilot sport 285 35 19 99Y","https://es.wallapop.com/item/michelin-pilot-sport-285-35-19-99y-872772505","https://es.wallapop.com/app/chat?itemId=qjwpgnnneezo"
"Playmobil City Life habitación infantil Ref 6660","https://es.wallapop.com/item/playmobil-city-life-habitacion-infantil-ref-6660-872772499","https://es.wallapop.com/app/chat?itemId=nz001lll9ezo"
"lámpara techo ","https://es.wallapop.com/item/lampara-techo-872772484","https://es.wallapop.com/app/chat?itemId=9jd21rrrd26k"
"CinExin","https://es.wallapop.com/item/cinexin-872772727","https://es.wallapop.com/app/chat?itemId=nz001lll2rzo"
"VORWERK PULILUX PL515 ","https://es.wallapop.com/item/vorwerk-pulilux-pl515-872772729","https://es.wallapop.com/app/chat?itemId=qjwpgnnn1qzo"
"ventilador ","https://es.wallapop.com/item/ventilador-872772715","https://es.wallapop.com/app/chat?itemId=36exmrrreyzd"
"Red Dead Redemption 2 con caratula especial.","https://es.wallapop.com/item/red-dead-redemption-2-con-caratula-especial-872772452","https://es.wallapop.com/app/chat?itemId=w67ynllnmw6x"
"Papelera pañales","https://es.wallapop.com/item/papelera-panales-872772090","https://es.wallapop.com/app/chat?itemId=x6qd1oo1vejy"
"Xiaomi Redmi 10C","https://es.wallapop.com/item/xiaomi-redmi-10c-872772075","https://es.wallapop.com/app/chat?itemId=nz001ll1rvzo"
"Botines de cuero mujer","https://es.wallapop.com/item/botines-de-cuero-mujer-872771874","https://es.wallapop.com/app/chat?itemId=pzprxmm3l463"
"Vestido de novia ","https://es.wallapop.com/item/vestido-de-novia-872771877","https://es.wallapop.com/app/chat?itemId=qjwpgnnvxkzo"
