"Название товара","Ссылка на продавца","Ссылка на чат"
"chaqueta de peluquería ","https://es.wallapop.com/item/chaqueta-de-peluqueria-870736927","https://es.wallapop.com/app/chat?itemId=nz001wdwgrzo"
"Camisa de cuadros","https://es.wallapop.com/item/camisa-de-cuadros-870736002","https://es.wallapop.com/app/chat?itemId=pzprxg7k5463"
"jaqueta mujer de piel ","https://es.wallapop.com/item/jaqueta-mujer-de-piel-870736233","https://es.wallapop.com/app/chat?itemId=xzorw30gn7z9"
"Nevera ","https://es.wallapop.com/item/nevera-870736683","https://es.wallapop.com/app/chat?itemId=0j23o1endr6y"
"BMW Serie 5 2001","https://es.wallapop.com/item/bmw-serie-5-2001-870736674","https://es.wallapop.com/app/chat?itemId=pzprxg7dm463"
"altavoces","https://es.wallapop.com/item/altavoces-870736976","https://es.wallapop.com/app/chat?itemId=w67yn7e7g76x"
"Se vende remolque","https://es.wallapop.com/item/se-vende-remolque-870736299","https://es.wallapop.com/app/chat?itemId=nz001wd87vzo"
"galaxy A5","https://es.wallapop.com/item/galaxy-a5-870736451","https://es.wallapop.com/app/chat?itemId=nz001wdr4dzo"
"Se venden cabeceros de madera ","https://es.wallapop.com/item/se-venden-cabeceros-de-madera-870736116","https://es.wallapop.com/app/chat?itemId=v6g237vpqnze"
"Motosierra HUQSVARNA 565 profesional ","https://es.wallapop.com/item/motosierra-huqsvarna-565-profesional-870736081","https://es.wallapop.com/app/chat?itemId=xzorw30g1lz9"
"Botas Bershka talla 37","https://es.wallapop.com/item/botas-bershka-talla-37-870736343","https://es.wallapop.com/app/chat?itemId=vjrrmox4yljk"
"CONJUNTO PATINES HOCKEY GENIAL STARTER","https://es.wallapop.com/item/conjunto-patines-hockey-genial-starter-870736543","https://es.wallapop.com/app/chat?itemId=vjrrmox414jk"
"TV","https://es.wallapop.com/item/tv-870736516","https://es.wallapop.com/app/chat?itemId=v6g237vo72ze"
"Turbina odontología","https://es.wallapop.com/item/turbina-odontologia-870736726","https://es.wallapop.com/app/chat?itemId=pzprxg7dol63"
"Deshumidificador Sinclair ","https://es.wallapop.com/item/deshumidificador-sinclair-870736713","https://es.wallapop.com/app/chat?itemId=pj950xenpvze"
"Cinta corredora","https://es.wallapop.com/item/cinta-corredora-870736707","https://es.wallapop.com/app/chat?itemId=p61ymkd53765"
"Citroen Nemo 2009","https://es.wallapop.com/item/citroen-nemo-2009-870736652","https://es.wallapop.com/app/chat?itemId=w67yn7exnw6x"
"Horno microondas inteligente ","https://es.wallapop.com/item/horno-microondas-870736614","https://es.wallapop.com/app/chat?itemId=4z412nk038zy"
"chaquetón ","https://es.wallapop.com/item/chaqueton-870736606","https://es.wallapop.com/app/chat?itemId=nzx0gw9r91z2"
"Reiki,cartas..","https://es.wallapop.com/item/reiki-cartas-870736063","https://es.wallapop.com/app/chat?itemId=36exmpv5m8zd"
"Oportunidad en el Centro de Recas","https://es.wallapop.com/item/oportunidad-en-el-centro-de-recas-870736050","https://es.wallapop.com/app/chat?itemId=pzprxg7k3463"
