"Название товара","Ссылка на продавца","Ссылка на чат"
"Botas mujer Dorking Fluchos","https://es.wallapop.com/item/botas-mujer-dorking-fluchos-873086340","https://es.wallapop.com/app/chat?itemId=v6g23q3p9nze"
"abrigo de lana talla xs","https://es.wallapop.com/item/abrigo-de-lana-talla-xs-873085039","https://es.wallapop.com/app/chat?itemId=36exmkmxk8zd"
"Pendientes Pandora ","https://es.wallapop.com/item/pendientes-pandora-873085841","https://es.wallapop.com/app/chat?itemId=wzvnd8dg97jl"
"Pantalón diésel ","https://es.wallapop.com/item/pantalon-diesel-873085009","https://es.wallapop.com/app/chat?itemId=xzorwqwr1lz9"
"Bolso nuevo","https://es.wallapop.com/item/bolso-nuevo-873084973","https://es.wallapop.com/app/chat?itemId=mzn87q78m7zn"
"Parka Mcmurdo 2 The North Face","https://es.wallapop.com/item/parka-mcmurdo-2-the-north-face-873084817","https://es.wallapop.com/app/chat?itemId=wzvnd8dngrjl"
"Jersey sudadera","https://es.wallapop.com/item/jersey-sudadera-873084797","https://es.wallapop.com/app/chat?itemId=mzn87q7822zn"
"Rebeca asimétrica","https://es.wallapop.com/item/rebeca-asimetrica-873084796","https://es.wallapop.com/app/chat?itemId=e65gd5dg8gjo"
"Chaqueta Bomber camuflaje ","https://es.wallapop.com/item/chaqueta-bomber-camuflaje-873084767","https://es.wallapop.com/app/chat?itemId=vjrrm8mr9ljk"
"botines de plataforma ","https://es.wallapop.com/item/botines-de-plataforma-873084695","https://es.wallapop.com/app/chat?itemId=ejkknqnk21jx"
"Camiseta Psg 22/23","https://es.wallapop.com/item/camiseta-psg-22-23-873084642","https://es.wallapop.com/app/chat?itemId=x6qd18195ejy"
