"Название товара","Ссылка на продавца","Ссылка на чат"
"Cinturón Pélvico Physiomat Confort","https://es.wallapop.com/item/cinturon-pelvico-physiomat-confort-872485931","https://es.wallapop.com/app/chat?itemId=p61ymm0r1d65"
"lote de ropa de bebé niño escucho ofertas","https://es.wallapop.com/item/lote-de-ropa-de-bebe-nino-escucho-ofertas-872485832","https://es.wallapop.com/app/chat?itemId=qzmy00dloozv"
"sillita paseo yoyo","https://es.wallapop.com/item/sillita-paseo-yoyo-872485802","https://es.wallapop.com/app/chat?itemId=pzprxxepd963"
"NIKE Mercurial CR7 ","https://es.wallapop.com/item/nike-mercurial-cr7-872485471","https://es.wallapop.com/app/chat?itemId=ejkknn3y3pjx"
"tarro de cristal con forma de cara","https://es.wallapop.com/item/tarro-de-cristal-con-forma-de-cara-872485125","https://es.wallapop.com/app/chat?itemId=mzn877knlyzn"
"chalecos niña como nuevos ","https://es.wallapop.com/item/chalecos-nina-como-nuevos-872485133","https://es.wallapop.com/app/chat?itemId=xzorww4pv2z9"
"maquina de coser como nueva ","https://es.wallapop.com/item/maquina-de-coser-como-nueva-872485755","https://es.wallapop.com/app/chat?itemId=p61ymm0r4765"
"Mesa Comedor extensible cristal acido con 4 sillas","https://es.wallapop.com/item/mesa-comedor-extensible-cristal-acido-con-4-sillas-872485743","https://es.wallapop.com/app/chat?itemId=vjrrmm57r8jk"
"Tobogan infantil Smoby","https://es.wallapop.com/item/tobogan-infantil-smoby-872485729","https://es.wallapop.com/app/chat?itemId=qjwpggwopezo"
"iphone","https://es.wallapop.com/item/iphone-872485913","https://es.wallapop.com/app/chat?itemId=pj950021e2ze"
"cama litera","https://es.wallapop.com/item/cama-litera-872485901","https://es.wallapop.com/app/chat?itemId=mzn877k5p2zn"
"Zapatillas Off White Vulc Loz","https://es.wallapop.com/item/zapatillas-off-white-vulc-loz-872485897","https://es.wallapop.com/app/chat?itemId=mzn877k5pgzn"
"Pack 2 libros geronimo stilton","https://es.wallapop.com/item/pack-2-libros-geronimo-stilton-872485682","https://es.wallapop.com/app/chat?itemId=8j3ekkwnyyz9"
"Impresora Epson","https://es.wallapop.com/item/impresora-epson-872485663","https://es.wallapop.com/app/chat?itemId=36exmm7ld8zd"
"libros de psicología humana nuevos sin daños ","https://es.wallapop.com/item/libros-de-psicologia-humana-nuevos-sin-danos-872485008","https://es.wallapop.com/app/chat?itemId=qzmy00dkqgzv"
"mochila ergo baby","https://es.wallapop.com/item/mochila-ergo-baby-872485159","https://es.wallapop.com/app/chat?itemId=0j23oo7v3n6y"
"bomba hidromasaje","https://es.wallapop.com/item/bomba-hidromasaje-872485163","https://es.wallapop.com/app/chat?itemId=36exmm7yxvzd"
"DVD/Rocky I, II, III y IV ","https://es.wallapop.com/item/dvd-rocky-i-ii-iii-y-iv-872485155","https://es.wallapop.com/app/chat?itemId=p61ymm0gy765"
"Botas BMW Goretex.","https://es.wallapop.com/item/botas-bmw-goretex-872485859","https://es.wallapop.com/app/chat?itemId=0j23oo75qe6y"
"Fontanero ","https://es.wallapop.com/item/fontanero-872485851","https://es.wallapop.com/app/chat?itemId=nz0011pqyvzo"
"OSITO DE PELUCHE","https://es.wallapop.com/item/osito-de-peluche-872485841","https://es.wallapop.com/app/chat?itemId=wzvndd7m07jl"
"Sofá Chaisselong","https://es.wallapop.com/item/sofa-chaisselong-872485302","https://es.wallapop.com/app/chat?itemId=pzprxxe05k63"
"parque cuna de viaje marca Chicco","https://es.wallapop.com/item/parque-cuna-de-viaje-marca-chicco-872485303","https://es.wallapop.com/app/chat?itemId=nz0011pe2rzo"
"vendo trona","https://es.wallapop.com/item/vendo-trona-872485285","https://es.wallapop.com/app/chat?itemId=pj95002wv0ze"
"""¡Aprovecha esta oportunidad única!""","https://es.wallapop.com/item/aprovecha-esta-oportunidad-unica-872485046","https://es.wallapop.com/app/chat?itemId=8z84pp3dyl63"
"Maniquí para dibujo","https://es.wallapop.com/item/maniqui-para-dibujo-872485040","https://es.wallapop.com/app/chat?itemId=v6g233xw87ze"
"coleccion Greg.","https://es.wallapop.com/item/coleccion-greg-872485991","https://es.wallapop.com/app/chat?itemId=vjrrmm573ljk"
