"Название товара","Ссылка на продавца","Ссылка на чат"
"Sudadera Florencia University","https://www.vinted.es/hommes/vetements/sweats-and-pulls/pulls-et-pulls-a-capuche/2645593453-sudadera-florencia-university","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2645593453&receiver_id=130544542&ref_url=%2Fitems%2F2645593453%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130544542%26ref_url%3D%252Fhombre%252Fropa%252Fjerseis-y-sudaderas%252Fsudaderas-y-sudaderas-con-capucha%252F2645593453-sudadera-florencia-university%26source%3Dwantit%26subject%3Dwanted%253A%2BSudadera%2BFlorencia%2BUniversity&source=wantit&subject=wanted%3A+Sudadera+Florencia+University"
"Nike Dunk Grey Fog","https://www.vinted.es/hommes/chaussures/baskets/2645587602-nike-dunk-grey-fog","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2645587602&receiver_id=125964022&ref_url=%2Fitems%2F2645587602%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D125964022%26ref_url%3D%252Fhombre%252Fzapatos%252Fzapatillas%252F2645587602-nike-dunk-grey-fog%26source%3Dwantit%26subject%3Dwanted%253A%2BNike%2BDunk%2BGrey%2BFog&source=wantit&subject=wanted%3A+Nike+Dunk+Grey+Fog"
"Bufanda","https://www.vinted.es/femmes/vetements/vetements-de-sport/accessoires-de-sports/echarpes/2645587457-bufanda","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2645587457&receiver_id=112315088&ref_url=%2Fitems%2F2645587457%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D112315088%26ref_url%3D%252Fmujer%252Fropa%252Fropa-deportiva%252Faccesorios%252Fbufandas%252F2645587457-bufanda%26source%3Dwantit%26subject%3Dwanted%253A%2BBufanda&source=wantit&subject=wanted%3A+Bufanda"
"Vestido Zara Rayas ","https://www.vinted.es/dames/kleding/jurken/gelegenheidsjurken/feest-en-cocktailjurken/2645587230-vestido-zara-rayas","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2645587230&receiver_id=129628574&ref_url=%2Fitems%2F2645587230%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D129628574%26ref_url%3D%252Fmujer%252Fropa%252Fvestidos%252Focasiones-especiales%252Ffiesta-y-coctel%252F2645587230-vestido-zara-rayas%26source%3Dwantit%26subject%3Dwanted%253A%2BVestido%2BZara%2BRayas%2B&source=wantit&subject=wanted%3A+Vestido+Zara+Rayas+"
"Camiseta de tirantes","https://www.vinted.es/women/clothes/lingerie-and-nightwear/other/2645589226-camiseta-de-tirantes","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2645589226&receiver_id=130545069&ref_url=%2Fitems%2F2645589226%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130545069%26ref_url%3D%252Fmujer%252Fropa%252Flenceria-y-pijamas%252Fotros%252F2645589226-camiseta-de-tirantes%26source%3Dwantit%26subject%3Dwanted%253A%2BCamiseta%2Bde%2Btirantes&source=wantit&subject=wanted%3A+Camiseta+de+tirantes"
"Zapato de fiesta Paco Poveda","https://www.vinted.es/femmes/chaussures/chaussures-a-talons/talons-hauts-and-escarpins/2645591121-zapato-de-fiesta-paco-poveda","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2645591121&receiver_id=126686534&ref_url=%2Fitems%2F2645591121%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D126686534%26ref_url%3D%252Fmujer%252Fzapatos%252Ftacones%252Fzapatos-de-tacon%252F2645591121-zapato-de-fiesta-paco-poveda%26source%3Dwantit%26subject%3Dwanted%253A%2BZapato%2Bde%2Bfiesta%2BPaco%2BPoveda&source=wantit&subject=wanted%3A+Zapato+de+fiesta+Paco+Poveda"
"Zapatos New Balance","https://www.vinted.es/hommes/chaussures/baskets/2645591114-zapatos-new-balance","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2645591114&receiver_id=41334771&ref_url=%2Fitems%2F2645591114%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D41334771%26ref_url%3D%252Fhombre%252Fzapatos%252Fzapatillas%252F2645591114-zapatos-new-balance%26source%3Dwantit%26subject%3Dwanted%253A%2BZapatos%2BNew%2BBalance&source=wantit&subject=wanted%3A+Zapatos+New+Balance"
"Biker de Zara ","https://www.vinted.es/femmes/vetements/manteaux-and-vestes/vestes/blousons-aviateur/2645590890-biker-de-zara","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2645590890&receiver_id=74814327&ref_url=%2Fitems%2F2645590890%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D74814327%26ref_url%3D%252Fmujer%252Fropa%252Fabrigos-y-cazadoras%252Fcazadoras%252Fchaquetas-bomber%252F2645590890-biker-de-zara%26source%3Dwantit%26subject%3Dwanted%253A%2BBiker%2Bde%2BZara%2B&source=wantit&subject=wanted%3A+Biker+de+Zara+"
"Reloj dorado ","https://www.vinted.es/mujer/accesorios/relojes/2645590477-reloj-dorado","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2645590477&receiver_id=130545797&ref_url=%2Fitems%2F2645590477%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130545797%26ref_url%3D%252Fmujer%252Faccesorios%252Frelojes%252F2645590477-reloj-dorado%26source%3Dwantit%26subject%3Dwanted%253A%2BReloj%2Bdorado%2B&source=wantit&subject=wanted%3A+Reloj+dorado+"
"Gorra Polo Ralph Lauren ","https://www.vinted.es/hombre/accesorios/sombreros-y-gorros/gorras/2645590465-gorra-polo-ralph-lauren","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2645590465&receiver_id=112395255&ref_url=%2Fitems%2F2645590465%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D112395255%26ref_url%3D%252Fhombre%252Faccesorios%252Fsombreros-y-gorros%252Fgorras%252F2645590465-gorra-polo-ralph-lauren%26source%3Dwantit%26subject%3Dwanted%253A%2BGorra%2BPolo%2BRalph%2BLauren%2B&source=wantit&subject=wanted%3A+Gorra+Polo+Ralph+Lauren+"
"Vestido negro ","https://www.vinted.es/mujer/ropa/vestidos/vestidos-sin-tirantes/2645590356-vestido-negro","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2645590356&receiver_id=128305538&ref_url=%2Fitems%2F2645590356%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D128305538%26ref_url%3D%252Fmujer%252Fropa%252Fvestidos%252Fvestidos-sin-tirantes%252F2645590356-vestido-negro%26source%3Dwantit%26subject%3Dwanted%253A%2BVestido%2Bnegro%2B&source=wantit&subject=wanted%3A+Vestido+negro+"
