"Название товара","Ссылка на продавца","Ссылка на чат"
"Lampara del mundo","https://es.wallapop.com/item/lampara-del-mundo-870373139","https://es.wallapop.com/app/chat?itemId=36exm8e9vvzd"
"bicicleta sin apenas uso","https://es.wallapop.com/item/bicicleta-sin-apenas-uso-870373092","https://es.wallapop.com/app/chat?itemId=wzy5gyqeqvj5"
"fundas de hipone 13 mini","https://es.wallapop.com/item/fundas-de-hipone-13-mini-870372628","https://es.wallapop.com/app/chat?itemId=w67ynx7qly6x"
"BERSHKA los 2 por 25€","https://es.wallapop.com/item/skinnys-de-bershka-los-2-por-25-870372928","https://es.wallapop.com/app/chat?itemId=w67ynxk8d56x"
"relojes","https://es.wallapop.com/item/relojes-870373517","https://es.wallapop.com/app/chat?itemId=wzvnd2qrl4jl"
"Iphone 11 de 128gb","https://es.wallapop.com/item/iphone-11-de-128gb-870373508","https://es.wallapop.com/app/chat?itemId=qzmy07p94lzv"
"sofá cama ","https://es.wallapop.com/item/sofa-cama-870373507","https://es.wallapop.com/app/chat?itemId=p61ym5qvog65"
"XBOX ONE FAT 1 TB Y EXTRAS","https://es.wallapop.com/item/xbox-one-fat-1-tb-y-extras-870373347","https://es.wallapop.com/app/chat?itemId=ejkknp52l9jx"
"Comencall","https://es.wallapop.com/item/comencall-870373341","https://es.wallapop.com/app/chat?itemId=wzvnd2q9o1jl"
"monedas de 2 € de monaco de 2015 y 2016","https://es.wallapop.com/item/monedas-de-2-de-monaco-de-2015-y-2016-870373630","https://es.wallapop.com/app/chat?itemId=nzx0grqlr1z2"
"LIBRO LECTURA","https://es.wallapop.com/item/libro-lectura-870373605","https://es.wallapop.com/app/chat?itemId=qjwpg2qerkzo"
"Placa gas 4 fuegos Flaminia","https://es.wallapop.com/item/placa-gas-4-fuegos-flaminia-870372734","https://es.wallapop.com/app/chat?itemId=8j3ekp531lz9"
"Nintendo switch v2","https://es.wallapop.com/item/nintendo-switch-v2-870372735","https://es.wallapop.com/app/chat?itemId=0j23on1mxd6y"
"Funda de iPhone 11 sin estrenar ","https://es.wallapop.com/item/funda-de-iphone-11-sin-estrenar-870373451","https://es.wallapop.com/app/chat?itemId=nz001ryg9dzo"
"FIFA 2023 ps5 NUEVO","https://es.wallapop.com/item/fifa-2023-ps5-nuevo-870373443","https://es.wallapop.com/app/chat?itemId=vjrrm41ky9jk"
"fregadera","https://es.wallapop.com/item/fregadera-870373426","https://es.wallapop.com/app/chat?itemId=pzprxdw8v563"
"super mario odyssey","https://es.wallapop.com/item/super-mario-odyssey-870373563","https://es.wallapop.com/app/chat?itemId=36exm8ed1nzd"
"12 Manillas de puertas rústicas","https://es.wallapop.com/item/12-manillas-de-puertas-rusticas-870372897","https://es.wallapop.com/app/chat?itemId=mzn87w04g0zn"
"Masaje Pranamat eco","https://es.wallapop.com/item/masaje-pranamat-eco-870373207","https://es.wallapop.com/app/chat?itemId=p61ym5q9l565"
"SMART de 50 Pulgadas Moderna con Android TV","https://es.wallapop.com/item/smart-de-50-pulgadas-moderna-con-android-tv-870373204","https://es.wallapop.com/app/chat?itemId=w67ynxk8ly6x"
"Pelota de Gimnasia Rítmica ","https://es.wallapop.com/item/pelota-de-gimnasia-ritmica-870373234","https://es.wallapop.com/app/chat?itemId=8j3ekprv92z9"
"wii","https://es.wallapop.com/item/wii-870372848","https://es.wallapop.com/app/chat?itemId=e65gd7p44pjo"
"Bicicleta de Niño","https://es.wallapop.com/item/bicicleta-de-nino-870372835","https://es.wallapop.com/app/chat?itemId=0j23on1m0v6y"
"Inversor CC/CA","https://es.wallapop.com/item/inversor-cc-ca-870373317","https://es.wallapop.com/app/chat?itemId=wzvnd2q9p1jl"
"Contando atardeceres ","https://es.wallapop.com/item/contando-atardeceres-870373305","https://es.wallapop.com/app/chat?itemId=qjwpg2ql0qzo"
"Set Olla rápida WMF Perfect Plus","https://es.wallapop.com/item/set-olla-rapida-wmf-perfect-plus-870373293","https://es.wallapop.com/app/chat?itemId=3zl1p0ne2qjx"
"Dos mesitas de noche","https://es.wallapop.com/item/dos-mesitas-de-noche-870373377","https://es.wallapop.com/app/chat?itemId=qjwpg2qlkqzo"
"conjunto o por separado","https://es.wallapop.com/item/conjunto-o-por-separado-870372646","https://es.wallapop.com/app/chat?itemId=8z84p5wylo63"
"FOCOS VINTAGE","https://es.wallapop.com/item/focos-vintage-870372629","https://es.wallapop.com/app/chat?itemId=qjwpg27mn4zo"
"te crew wilorun edition","https://es.wallapop.com/item/te-crew-wilorun-edition-870372630","https://es.wallapop.com/app/chat?itemId=nzx0grw3pez2"
"Pala pádel babolat vipet 2022 ","https://es.wallapop.com/item/pala-padel-babolat-vipet-2022-870373156","https://es.wallapop.com/app/chat?itemId=qzmy07pg1yzv"
"lampara de mesa","https://es.wallapop.com/item/lampara-de-mesa-870373145","https://es.wallapop.com/app/chat?itemId=3zl1p0ne52jx"
"3 BAÑADORES Y UNA GORRA ","https://es.wallapop.com/item/3-banadores-y-una-gorra-870372715","https://es.wallapop.com/app/chat?itemId=36exm8pq7yzd"
"Samsung z flip 3 5G","https://es.wallapop.com/item/samsung-z-flip-3-5g-870372688","https://es.wallapop.com/app/chat?itemId=v6g23o7855ze"
