"Название товара","Ссылка на продавца","Ссылка на чат"
"Nintendo switch + juegos","https://es.wallapop.com/item/nintendo-switch-870975796","https://es.wallapop.com/app/chat?itemId=e65gd9glogjo"
"Mesa Isla de madera y 2 taburetes ","https://es.wallapop.com/item/mesa-isla-de-madera-y-2-taburetes-870975788","https://es.wallapop.com/app/chat?itemId=v6g23e2rxlze"
"pecera con todo 100 litros ","https://es.wallapop.com/item/pecera-con-todo-100-litros-870975785","https://es.wallapop.com/app/chat?itemId=pj950v5l22ze"
"samsung galaxy z flip 4","https://es.wallapop.com/item/samsung-galaxy-z-flip-4-870975717","https://es.wallapop.com/app/chat?itemId=wzvndqn551jl"
"Cuadros modernos estilo Bansky","https://es.wallapop.com/item/cuadros-modernos-estilo-bansky-870976181","https://es.wallapop.com/app/chat?itemId=xzorw7rqd2z9"
"iPhone 6s plus en oro muy bonito buen estado ","https://es.wallapop.com/item/iphone-6s-plus-en-oro-muy-bonito-buen-estado-870976175","https://es.wallapop.com/app/chat?itemId=nz001y03y7zo"
"Habitación en alquiler","https://es.wallapop.com/item/habitacion-en-alquiler-870976468","https://es.wallapop.com/app/chat?itemId=wzy5gq58m5j5"
"Garaje en alquiler calle Xaloc ","https://es.wallapop.com/item/garaje-en-alquiler-calle-xaloc-870976460","https://es.wallapop.com/app/chat?itemId=9jd21e2q3l6k"
"Mini cuna ","https://es.wallapop.com/item/mini-cuna-870976095","https://es.wallapop.com/app/chat?itemId=ejkkn5kqmqjx"
"Jaula de hámster ","https://es.wallapop.com/item/jaula-de-hamster-870976089","https://es.wallapop.com/app/chat?itemId=wzvndqn8gqjl"
"New Nike air force one EU 39","https://es.wallapop.com/item/new-nike-air-force-one-eu-39-870976567","https://es.wallapop.com/app/chat?itemId=vjrrm1r2d4jk"
"botas ","https://es.wallapop.com/item/botas-870976565","https://es.wallapop.com/app/chat?itemId=wzvndqney4jl"
"vendo cuna de ikea en perfectas condiciones. ","https://es.wallapop.com/item/vendo-cuna-de-ikea-en-perfectas-condiciones-870976555","https://es.wallapop.com/app/chat?itemId=p61ymqy3vg65"
"Juegos para niño","https://es.wallapop.com/item/juegos-para-nino-870976433","https://es.wallapop.com/app/chat?itemId=xzorw7rqn4z9"
"Trabajos de electricidad","https://es.wallapop.com/item/trabajos-de-electricidad-870975888","https://es.wallapop.com/app/chat?itemId=v6g23e2rdmze"
"equipacion roller derbie","https://es.wallapop.com/item/equipacion-roller-derbie-870975863","https://es.wallapop.com/app/chat?itemId=36exmexrlqzd"
"Lizz te Ayuda en casa","https://es.wallapop.com/item/lizz-te-ayuda-en-casa-870976139","https://es.wallapop.com/app/chat?itemId=36exmexkpvzd"
"tacones nuevos ","https://es.wallapop.com/item/tacones-nuevos-870976142","https://es.wallapop.com/app/chat?itemId=x6qd1xd84ojy"
"Nintendo Swich en perfecto estado","https://es.wallapop.com/item/nintendo-swich-en-perfecto-estado-870975570","https://es.wallapop.com/app/chat?itemId=8z84p24lwd63"
"Mesa TV","https://es.wallapop.com/item/mesa-tv-870975557","https://es.wallapop.com/app/chat?itemId=xzorw7r132z9"
"Vendo o cambio","https://es.wallapop.com/item/vendo-o-cambio-870976329","https://es.wallapop.com/app/chat?itemId=qjwpgqp85qzo"
"Bidet ROCA","https://es.wallapop.com/item/bidet-roca-870976269","https://es.wallapop.com/app/chat?itemId=3zl1pn1rpqjx"
