"Название товара","Ссылка на продавца","Ссылка на чат"
"colchón y sommier de 1'90 por 1'50","https://es.wallapop.com/item/colchon-y-sommier-de-1-90-por-1-50-868501688","https://es.wallapop.com/app/chat?itemId=v6g230xqk7ze"
"Nerf semi-nueva","https://es.wallapop.com/item/nerf-semi-nueva-868501671","https://es.wallapop.com/app/chat?itemId=ejkknx3q5qjx"
"Lámparas de mesilla","https://es.wallapop.com/item/lamparas-de-mesilla-868502291","https://es.wallapop.com/app/chat?itemId=vjrrmk52xxjk"
"2 Bicicletas plegables Dahon","https://es.wallapop.com/item/2-bicicletas-plegables-dahon-868502285","https://es.wallapop.com/app/chat?itemId=pj950k2pemze"
"Silla para coche Concord transformer XT","https://es.wallapop.com/item/silla-para-coche-concord-transformer-xt-868501734","https://es.wallapop.com/app/chat?itemId=8j3ekmw9o8z9"
"chaleco ellesse ","https://es.wallapop.com/item/chaleco-ellesse-868501304","https://es.wallapop.com/app/chat?itemId=w67yn3ol276x"
"LLANTAS AUDI RS4 EN 20  SOLO 920 EUROS ","https://es.wallapop.com/item/llantas-audi-rs4-en-20-solo-920-euros-868501417","https://es.wallapop.com/app/chat?itemId=wzvndr75xrjl"
"bicicleta btiwin niños","https://es.wallapop.com/item/bicicleta-btiwin-ninos-868501400","https://es.wallapop.com/app/chat?itemId=e65gdv1lxpjo"
"Sillas x4","https://es.wallapop.com/item/sillas-x4-868501897","https://es.wallapop.com/app/chat?itemId=mzn87gkqngzn"
"REHABILITACION COCINA","https://es.wallapop.com/item/rehabilitacion-cocina-868501360","https://es.wallapop.com/app/chat?itemId=9jd21x0rl96k"
"Gafas Natación ","https://es.wallapop.com/item/gafas-natacion-868501354","https://es.wallapop.com/app/chat?itemId=nzx0glxpkmz2"
"Tapa Trasera iPhone 13 Pro. Azul.","https://es.wallapop.com/item/tapa-trasera-iphone-13-pro-azul-868502150","https://es.wallapop.com/app/chat?itemId=pzprxyeo2m63"
"Vendo iPad me lo regalaron y no lo uso ","https://es.wallapop.com/item/vendo-ipad-me-lo-regalaron-y-no-lo-uso-868502149","https://es.wallapop.com/app/chat?itemId=mzn87gk127zn"
"vestido p","https://es.wallapop.com/item/vestido-p-868502134","https://es.wallapop.com/app/chat?itemId=8j3ekmwde7z9"
"andador unisex","https://es.wallapop.com/item/andador-unisex-868501774","https://es.wallapop.com/app/chat?itemId=pzprxyeqxl63"
"La joven de la media noche","https://es.wallapop.com/item/la-joven-de-la-media-noche-868501748","https://es.wallapop.com/app/chat?itemId=e65gdv1520jo"
"Samsung Galaxy ZFold35G ","https://es.wallapop.com/item/samsung-galaxy-zfold35g-868501818","https://es.wallapop.com/app/chat?itemId=x6qd1kg88ejy"
"soporte tv","https://es.wallapop.com/item/soporte-tv-868501799","https://es.wallapop.com/app/chat?itemId=nz001gp3l7zo"
"Personal de limpieza ","https://es.wallapop.com/item/personal-de-limpieza-868501800","https://es.wallapop.com/app/chat?itemId=e65gdv155mjo"
"recuerdo estuche donuts","https://es.wallapop.com/item/recuerdo-estuche-donuts-868501790","https://es.wallapop.com/app/chat?itemId=x6qd1kg8oojy"
"Nike blazer bajas ","https://es.wallapop.com/item/nike-blazer-bajas-868501788","https://es.wallapop.com/app/chat?itemId=v6g230xqrnze"
"Parka mujer Geographical Norway.","https://es.wallapop.com/item/parka-mujer-geographical-norway-868501777","https://es.wallapop.com/app/chat?itemId=qjwpgew8nezo"
"bici bx","https://es.wallapop.com/item/bici-bx-868502119","https://es.wallapop.com/app/chat?itemId=vjrrmk52r4jk"
"Samsung, galaxy Tab s6 Lite ","https://es.wallapop.com/item/samsung-galaxy-tab-s6-lite-868502096","https://es.wallapop.com/app/chat?itemId=e65gdv1k3pjo"
"Mazda 323 1999","https://es.wallapop.com/item/mazda-323-1999-868502084","https://es.wallapop.com/app/chat?itemId=9jd21x097l6k"
"Estufa de Pellet WATT 6kw blanco","https://es.wallapop.com/item/estufa-de-pellet-watt-6kw-blanco-868501219","https://es.wallapop.com/app/chat?itemId=vjrrmk533wjk"
"Estufa de pellet WATT 6kW blanco","https://es.wallapop.com/item/estufa-de-pellet-watt-6kw-blanco-868501218","https://es.wallapop.com/app/chat?itemId=x6qd1kgooejy"
"Habitación Juvenil ","https://es.wallapop.com/item/habitacion-juvenil-868501860","https://es.wallapop.com/app/chat?itemId=9jd21x0q046k"
"Renault Megane 1999","https://es.wallapop.com/item/renault-megane-1999-868501850","https://es.wallapop.com/app/chat?itemId=pzprxyeqe963"
"Vaqueros azul marino ","https://es.wallapop.com/item/vaqueros-azul-marino-868501845","https://es.wallapop.com/app/chat?itemId=3zl1p42rwqjx"
"Vendo tablet","https://es.wallapop.com/item/vendo-tablet-868501642","https://es.wallapop.com/app/chat?itemId=x6qd1kg84njy"
"cuadros ","https://es.wallapop.com/item/cuadros-868501627","https://es.wallapop.com/app/chat?itemId=nz001gp3rezo"
"Xiaomi Redmi 10 5G - 128GB","https://es.wallapop.com/item/xiaomi-redmi-10-5g-128gb-868501910","https://es.wallapop.com/app/chat?itemId=8j3ekmw9qlz9"
"bicicleta","https://es.wallapop.com/item/bicicleta-868502252","https://es.wallapop.com/app/chat?itemId=w67yn3o5kw6x"
"luz de estudio","https://es.wallapop.com/item/luz-de-estudio-868502230","https://es.wallapop.com/app/chat?itemId=nzx0glxnw1z2"
"Libro de derecho Romano ","https://es.wallapop.com/item/libro-de-derecho-romano-868501974","https://es.wallapop.com/app/chat?itemId=pzprxyeqlk63"
"zapatos Jordan Max aura","https://es.wallapop.com/item/zapatos-jordan-max-aura-868501967","https://es.wallapop.com/app/chat?itemId=vjrrmk580ljk"
"Fujifilm instax mini 8 ","https://es.wallapop.com/item/fujifilm-instax-mini-8-868502064","https://es.wallapop.com/app/chat?itemId=v6g230x54mze"
"Carrito chicco liteway ","https://es.wallapop.com/item/carrito-chicco-liteway-868502052","https://es.wallapop.com/app/chat?itemId=w67yn3o5396x"
"Carcasas apple ","https://es.wallapop.com/item/carcasas-apple-868502053","https://es.wallapop.com/app/chat?itemId=qjwpgew5egzo"
"Reguladores de buceo Scubapro MK25 evo","https://es.wallapop.com/item/reguladores-de-buceo-scubapro-mk25-evo-868502045","https://es.wallapop.com/app/chat?itemId=3zl1p42w48jx"
"Cuñas talla 36 floreadas ","https://es.wallapop.com/item/cunas-talla-36-floreadas-868501441","https://es.wallapop.com/app/chat?itemId=wzvndr789rjl"
"BEHRINGER U-PHORIA UM2","https://es.wallapop.com/item/behringer-u-phoria-um2-868502027","https://es.wallapop.com/app/chat?itemId=nz001gpo9dzo"
"Cama de Ikea.","https://es.wallapop.com/item/cama-de-ikea-868501582","https://es.wallapop.com/app/chat?itemId=8j3ekmw947z9"
"Minecraft dungeons ultimate edition","https://es.wallapop.com/item/minecraft-dungeons-ultimate-edition-868501572","https://es.wallapop.com/app/chat?itemId=e65gdv1582jo"
"mesa gamer","https://es.wallapop.com/item/mesa-gamer-868501566","https://es.wallapop.com/app/chat?itemId=x6qd1kg8mqjy"
"Big bag, can fit a 15"" laptop","https://es.wallapop.com/item/big-bag-can-fit-a-15-laptop-868501563","https://es.wallapop.com/app/chat?itemId=36exmd7k1nzd"
"ordenador ","https://es.wallapop.com/item/ordenador-868501562","https://es.wallapop.com/app/chat?itemId=4z412yx4evzy"
"Remotto ","https://es.wallapop.com/item/remotto-868501518","https://es.wallapop.com/app/chat?itemId=x6qd1kg89qjy"
"cubertería ","https://es.wallapop.com/item/cuberteria-868501517","https://es.wallapop.com/app/chat?itemId=wzvndr78l4jl"
"vendo teléfono tcl 30 se nuevo a estrenar ","https://es.wallapop.com/item/vendo-telefono-tcl-30-se-nuevo-a-estrenar-868501273","https://es.wallapop.com/app/chat?itemId=mzn87gkxkgzn"
"bicicleta 20""","https://es.wallapop.com/item/bicicleta-20-868501253","https://es.wallapop.com/app/chat?itemId=qjwpgewn54zo"
"casco de moto ","https://es.wallapop.com/item/casco-de-moto-868501229","https://es.wallapop.com/app/chat?itemId=qjwpgewn84zo"
