"Название товара","Ссылка на продавца","Ссылка на чат"
"Etapa de potencia ","https://es.wallapop.com/item/etapa-de-potencia-868660025","https://es.wallapop.com/app/chat?itemId=mzn87l2lwkzn"
"Bicicleta Bh ","https://es.wallapop.com/item/bicicleta-bh-868659891","https://es.wallapop.com/app/chat?itemId=vjrrmdqdd9jk"
"Televisor TD systems","https://es.wallapop.com/item/televisor-td-systems-868661651","https://es.wallapop.com/app/chat?itemId=nz001m44vdzo"
"Esquiladora nueva caballos / ovejas inalámbrica","https://es.wallapop.com/item/esquiladora-nueva-caballos-ovejas-inalambrica-868661151","https://es.wallapop.com/app/chat?itemId=nz001m4083zo"
"Se vende ","https://es.wallapop.com/item/se-vende-868661134","https://es.wallapop.com/app/chat?itemId=8j3eky4e47z9"
"Carro bebe Jané","https://es.wallapop.com/item/carro-bebe-jane-868659666","https://es.wallapop.com/app/chat?itemId=x6qd1ymk3ejy"
"Televisión","https://es.wallapop.com/item/television-868661074","https://es.wallapop.com/app/chat?itemId=pzprx92r1563"
"""Calcetines""","https://es.wallapop.com/item/calcetines-868661981","https://es.wallapop.com/app/chat?itemId=xzorw82242z9"
"MI SMART AIR FRYER 3.5L","https://es.wallapop.com/item/mi-smart-air-fryer-3-5l-868662146","https://es.wallapop.com/app/chat?itemId=8z84p1k8v163"
"Iphone 7 rose gold 32 Gb","https://es.wallapop.com/item/iphone-7-rose-gold-32-gb-868662140","https://es.wallapop.com/app/chat?itemId=v6g234gg8lze"
"iPhone 7 , están en perfecto estado , bateria 80% ","https://es.wallapop.com/item/iphone-7-estan-en-perfecto-estado-bateria-80-868659746","https://es.wallapop.com/app/chat?itemId=8z84p1kqx163"
"Plataforma cochecito yoyo babyzen","https://es.wallapop.com/item/plataforma-cochecito-yoyo-babyzen-868661294","https://es.wallapop.com/app/chat?itemId=8z84p1k49l63"
"TRAJE COMUNIÓN NIÑA","https://es.wallapop.com/item/traje-comunion-nina-868660518","https://es.wallapop.com/app/chat?itemId=x6qd1ym9dqjy"
"Se vende sofá ","https://es.wallapop.com/item/se-vende-sofa-868660918","https://es.wallapop.com/app/chat?itemId=x6qd1ym905jy"
"Nintendo 2ds xl pokeball con juegos","https://es.wallapop.com/item/nintendo-2ds-xl-pokeball-con-juegos-868660861","https://es.wallapop.com/app/chat?itemId=pj950ymg90ze"
"PLAY 5 ","https://es.wallapop.com/item/play-5-868660856","https://es.wallapop.com/app/chat?itemId=qzmy04e3kozv"
"COMEDOR ANTIGUO","https://es.wallapop.com/item/comedor-antiguo-868660955","https://es.wallapop.com/app/chat?itemId=p61ymo47pd65"
"parque bebes","https://es.wallapop.com/item/parque-bebes-868660111","https://es.wallapop.com/app/chat?itemId=0j23oy4yen6y"
"cama articulada con contro remoto con colchon anst","https://es.wallapop.com/item/cama-articulada-con-contro-remoto-con-colchon-anst-868661427","https://es.wallapop.com/app/chat?itemId=nz001m40kvzo"
"Mesa de centro elevable color blanco","https://es.wallapop.com/item/mesa-de-centro-elevable-color-blanco-868661387","https://es.wallapop.com/app/chat?itemId=36exmw1x4vzd"
"Mesa de centro de diseño","https://es.wallapop.com/item/mesa-de-centro-de-diseno-868661360","https://es.wallapop.com/app/chat?itemId=9jd217k2qn6k"
"iPhone 11 128GB","https://es.wallapop.com/item/iphone-11-128gb-868661355","https://es.wallapop.com/app/chat?itemId=p61ymo4y2765"
"Somier tapizado ","https://es.wallapop.com/item/somier-tapizado-868659534","https://es.wallapop.com/app/chat?itemId=8j3eky4mg8z9"
"Samsung Galaxy Tab A","https://es.wallapop.com/item/samsung-galaxy-tab-a-868661762","https://es.wallapop.com/app/chat?itemId=4z412veenvzy"
"Mondraker podium","https://es.wallapop.com/item/mondraker-podium-868661699","https://es.wallapop.com/app/chat?itemId=nz001m444dzo"
"PLEYSTATION 4 SLIM ","https://es.wallapop.com/item/pleystation-4-slim-868661708","https://es.wallapop.com/app/chat?itemId=qzmy04eeelzv"
"Ordenador de sobremesa  Hewlett-Packard","https://es.wallapop.com/item/ordenador-de-sobremesa-hewlett-packard-868660256","https://es.wallapop.com/app/chat?itemId=qzmy04e4dozv"
"Se Vende Horno ","https://es.wallapop.com/item/se-vende-horno-868660249","https://es.wallapop.com/app/chat?itemId=mzn87l2lkgzn"
"Samsung Galaxy Z Flip4","https://es.wallapop.com/item/samsung-galaxy-z-flip4-868660245","https://es.wallapop.com/app/chat?itemId=3zl1pg8gwqjx"
"Mesa extensible, marrón oscuro","https://es.wallapop.com/item/mesa-extensible-marron-oscuro-868660238","https://es.wallapop.com/app/chat?itemId=4z412vev9lzy"
"Cama de 150 cm ¡¡Solo por hoyyyy!!","https://es.wallapop.com/item/cama-de-150-cm-solo-por-hoyyyy-868660211","https://es.wallapop.com/app/chat?itemId=0j23oy4yde6y"
"Sillas comedor o exterior metal negra","https://es.wallapop.com/item/sillas-comedor-o-exterior-metal-negra-868659972","https://es.wallapop.com/app/chat?itemId=e65gdy8y82jo"
"frigorífico  tamaño pequeño","https://es.wallapop.com/item/frigorifico-tamano-pequeno-868660837","https://es.wallapop.com/app/chat?itemId=pj950ymg20ze"
"Prensa de piernas ","https://es.wallapop.com/item/prensa-de-piernas-868660776","https://es.wallapop.com/app/chat?itemId=w67ynd4gp86x"
"scooter  para personas con movilidad reducida","https://es.wallapop.com/item/scooter-para-personas-con-movilidad-reducida-868660356","https://es.wallapop.com/app/chat?itemId=qzmy04e4r1zv"
