"Название товара","Ссылка на продавца","Ссылка на чат"
"Oso de peluche 100cm ","https://es.wallapop.com/item/oso-de-peluche-100cm-871563148","https://es.wallapop.com/app/chat?itemId=e65gdr4yegjo"
"TV OKI 32'","https://es.wallapop.com/item/tv-oki-32-871563089","https://es.wallapop.com/app/chat?itemId=wzvndkxy07jl"
"Sofá cama IKEA","https://es.wallapop.com/item/sofa-cama-ikea-871563353","https://es.wallapop.com/app/chat?itemId=qjwpg1my3wzo"
"cabecero y mesitas","https://es.wallapop.com/item/cabecero-y-mesitas-871563326","https://es.wallapop.com/app/chat?itemId=pzprx5v94m63"
"Dron con giroscopio de última generación","https://es.wallapop.com/item/dron-con-giroscopio-de-ultima-generacion-871563661","https://es.wallapop.com/app/chat?itemId=pj950r8gx0ze"
"cajon falmenco abueno modelo luna","https://es.wallapop.com/item/cajon-falmenco-abueno-modelo-luna-871563597","https://es.wallapop.com/app/chat?itemId=mzn87e9v2yzn"
"Reloj deportivo polar","https://es.wallapop.com/item/reloj-deportivo-polar-871563183","https://es.wallapop.com/app/chat?itemId=0j23ogmykd6y"
"caset doble con ventilador ","https://es.wallapop.com/item/caset-doble-con-ventilador-871563185","https://es.wallapop.com/app/chat?itemId=pj950r8yq2ze"
"INSTALACIONES DE AUTOCONSUMO           613705451","https://es.wallapop.com/item/instalaciones-de-autoconsumo-613705451-871563114","https://es.wallapop.com/app/chat?itemId=4z412rdvqmzy"
"Silla escritorio ","https://es.wallapop.com/item/silla-escritorio-871563098","https://es.wallapop.com/app/chat?itemId=pzprx5v9w963"
"God Of War Ragnarok PS5 nuevo","https://es.wallapop.com/item/god-of-war-ragnarok-ps5-nuevo-871563282","https://es.wallapop.com/app/chat?itemId=8j3ek23yd1z9"
"Microondas Samsung 28L con Grill NUEVO CON CAJA ","https://es.wallapop.com/item/microondas-samsung-28l-con-grill-nuevo-con-caja-871563573","https://es.wallapop.com/app/chat?itemId=mzn87e9v8yzn"
"Asiento doble vw caravelle","https://es.wallapop.com/item/asiento-doble-vw-caravelle-871563566","https://es.wallapop.com/app/chat?itemId=x6qd1nr9dojy"
"calefactor eléctrico ","https://es.wallapop.com/item/calefactor-electrico-871563705","https://es.wallapop.com/app/chat?itemId=qjwpg1md1qzo"
"HYUNDAY  ix20 AÑO 2012 67000KM GASOLINA","https://es.wallapop.com/item/hyunday-ix20-ano-2012-67000km-gasolina-871563704","https://es.wallapop.com/app/chat?itemId=w67ynrqgr76x"
"Colchón matrimonio seminuevo","https://es.wallapop.com/item/colchon-matrimonio-seminuevo-871563481","https://es.wallapop.com/app/chat?itemId=xzorwdevllz9"
" iPhone XS Space  Gray  64 GB","https://es.wallapop.com/item/iphone-xs-space-gray-64-gb-871563454","https://es.wallapop.com/app/chat?itemId=nzx0gm3531z2"
