"Название товара","Ссылка на продавца","Ссылка на чат"
"LÁMPARA DE TECHO DE BRONCE","https://es.wallapop.com/item/lampara-de-techo-de-bronce-871689986","https://es.wallapop.com/app/chat?itemId=4z412kn89vzy"
"Bajo Electrico Squier Jazz Bass Deluxe","https://es.wallapop.com/item/bajo-electrico-squier-jazz-bass-deluxe-871689972","https://es.wallapop.com/app/chat?itemId=e65gdepq52jo"
"Television","https://es.wallapop.com/item/television-871689968","https://es.wallapop.com/app/chat?itemId=wzy5g9xr8xj5"
"Caña de pescar decathlon","https://es.wallapop.com/item/cana-de-pescar-decathlon-871689728","https://es.wallapop.com/app/chat?itemId=w67yne7v476x"
"Babycook","https://es.wallapop.com/item/babycook-871691164","https://es.wallapop.com/app/chat?itemId=v6g23v77x2ze"
"Huawei P20 Lite ","https://es.wallapop.com/item/huawei-p20-lite-871690704","https://es.wallapop.com/app/chat?itemId=w67yne7xm86x"
"lenovo thinkpad i5 ","https://es.wallapop.com/item/lenovo-thinkpad-i5-871690608","https://es.wallapop.com/app/chat?itemId=qzmy0no7kgzv"
"Vela burbuja de soja (unidad)","https://es.wallapop.com/item/vela-burbuja-de-soja-unidad-871690223","https://es.wallapop.com/app/chat?itemId=ejkknrepx1jx"
"Libro","https://es.wallapop.com/item/libro-871690766","https://es.wallapop.com/app/chat?itemId=x6qd1w44lojy"
"Catalejo Vortex Diamondback 20-60x80 con trípode ","https://es.wallapop.com/item/catalejo-vortex-diamondback-20-60x80-con-tripode-871689871","https://es.wallapop.com/app/chat?itemId=ejkknremrpjx"
"Cuadro de bicicleta B'twin 520","https://es.wallapop.com/item/cuadro-de-bicicleta-b-twin-520-871689840","https://es.wallapop.com/app/chat?itemId=v6g23v7pkmze"
"sofa 2 plazas grandes","https://es.wallapop.com/item/sofa-2-plazas-grandes-871690128","https://es.wallapop.com/app/chat?itemId=w67yne7vm86x"
"Pantalla ","https://es.wallapop.com/item/pantalla-871690100","https://es.wallapop.com/app/chat?itemId=e65gdepq00jo"
"calefactor ","https://es.wallapop.com/item/calefactor-871689814","https://es.wallapop.com/app/chat?itemId=4z412kn8nwzy"
"reloj inteligente hombre","https://es.wallapop.com/item/reloj-inteligente-hombre-871689796","https://es.wallapop.com/app/chat?itemId=e65gdepqpgjo"
"vendo iPhone 14 pro 512GB","https://es.wallapop.com/item/vendo-iphone-14-pro-512gb-871689776","https://es.wallapop.com/app/chat?itemId=w67yne7vx76x"
"Sudadera Puma ","https://es.wallapop.com/item/sudadera-puma-871690648","https://es.wallapop.com/app/chat?itemId=e65gdep7nkjo"
"Pen drive","https://es.wallapop.com/item/pen-drive-871690640","https://es.wallapop.com/app/chat?itemId=v6g23v7oy7ze"
"masaje de relajacion 30 la hora ","https://es.wallapop.com/item/masaje-de-relajacion-30-la-hora-871691078","https://es.wallapop.com/app/chat?itemId=nzx0g9wwgpz2"
"Reproductor video Phillips","https://es.wallapop.com/item/reproductor-video-phillips-871690915","https://es.wallapop.com/app/chat?itemId=36exmvpp5yzd"
"Nintendo Switch","https://es.wallapop.com/item/nintendo-switch-871690902","https://es.wallapop.com/app/chat?itemId=pzprx7ggkk63"
"Colchón y sommier láminas  1,35 muy buen estado","https://es.wallapop.com/item/colchon-y-sommier-laminas-1-35-muy-buen-estado-871691242","https://es.wallapop.com/app/chat?itemId=x6qd1w440njy"
"Bombo legüero","https://es.wallapop.com/item/bombo-leguero-871690193","https://es.wallapop.com/app/chat?itemId=3zl1p5k0e2jx"
"The North Face chaqueta","https://es.wallapop.com/item/the-north-face-chaqueta-871690176","https://es.wallapop.com/app/chat?itemId=w67yne7x886x"
