"Название товара","Ссылка на продавца","Ссылка на чат"
"Mochila de hombro","https://www.vinted.es/femmes/sacs/sacs-a-dos/2649204708-mochila-de-hombro","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2649204708&receiver_id=129640211&ref_url=%2Fitems%2F2649204708%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D129640211%26ref_url%3D%252Fmujer%252Fbolsos%252Fmochilas%252F2649204708-mochila-de-hombro%26source%3Dwantit%26subject%3Dwanted%253A%2BMochila%2Bde%2Bhombro&source=wantit&subject=wanted%3A+Mochila+de+hombro"
"Conjunto de falda y top","https://www.vinted.es/kobiety/ubrania/sukienki/inne/2649217985-conjunto-de-falda-y-top","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2649217985&receiver_id=51275366&ref_url=%2Fitems%2F2649217985%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D51275366%26ref_url%3D%252Fmujer%252Fropa%252Fvestidos%252Fotros-vestidos%252F2649217985-conjunto-de-falda-y-top%26source%3Dwantit%26subject%3Dwanted%253A%2BConjunto%2Bde%2Bfalda%2By%2Btop&source=wantit&subject=wanted%3A+Conjunto+de+falda+y+top"
"Gargantilla y oso Tous 'kaos' oro blanco","https://www.vinted.es/femmes/accessoires/bijoux/colliers-and-pendentifs/2649217938-gargantilla-y-oso-tous-kaos-oro-blanco","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2649217938&receiver_id=119688455&ref_url=%2Fitems%2F2649217938%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D119688455%26ref_url%3D%252Fmujer%252Faccesorios%252Fjoyeria%252Fcollares-y-colgantes%252F2649217938-gargantilla-y-oso-tous-kaos-oro-blanco%26source%3Dwantit%26subject%3Dwanted%253A%2BGargantilla%2By%2Boso%2BTous%2B%2527kaos%2527%2Boro%2Bblanco&source=wantit&subject=wanted%3A+Gargantilla+y+oso+Tous+%27kaos%27+oro+blanco"
"Abrigo de Lana bouclette","https://www.vinted.es/kobiety/ubrania/sukienki/dlugie-sukienki/2649217614-abrigo-de-lana-bouclette","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2649217614&receiver_id=130651570&ref_url=%2Fitems%2F2649217614%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130651570%26ref_url%3D%252Fmujer%252Fropa%252Fvestidos%252Fvestidos-largos%252F2649217614-abrigo-de-lana-bouclette%26source%3Dwantit%26subject%3Dwanted%253A%2BAbrigo%2Bde%2BLana%2Bbouclette&source=wantit&subject=wanted%3A+Abrigo+de+Lana+bouclette"
"Chaqueta vaquera pull and bear","https://www.vinted.es/hommes/vetements/manteaux-and-vestes/vestes/vestes-en-jean/2649219933-chaqueta-vaquera-pull-and-bear","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2649219933&receiver_id=35447690&ref_url=%2Fitems%2F2649219933%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D35447690%26ref_url%3D%252Fhombre%252Fropa%252Fabrigos-y-cazadoras%252Fcazadoras%252Fcazadoras-vaqueras%252F2649219933-chaqueta-vaquera-pull-and-bear%26source%3Dwantit%26subject%3Dwanted%253A%2BChaqueta%2Bvaquera%2Bpull%2Band%2Bbear&source=wantit&subject=wanted%3A+Chaqueta+vaquera+pull+and+bear"
"Vestido fiesta brilli ","https://www.vinted.es/kobiety/ubrania/sukienki/krotkie-sukienki/2649221267-vestido-fiesta-brilli","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2649221267&receiver_id=130696736&ref_url=%2Fitems%2F2649221267%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130696736%26ref_url%3D%252Fmujer%252Fropa%252Fvestidos%252Fmini%252F2649221267-vestido-fiesta-brilli%26source%3Dwantit%26subject%3Dwanted%253A%2BVestido%2Bfiesta%2Bbrilli%2B&source=wantit&subject=wanted%3A+Vestido+fiesta+brilli+"
"Camiseta Manchester city ","https://www.vinted.es/mezczyzni/ubrania/sportowe-ubrania-i-akcesoria/koszulki-z-krotkim-rekawem-t-shirty/2649221259-camiseta-manchester-city","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2649221259&receiver_id=130299282&ref_url=%2Fitems%2F2649221259%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130299282%26ref_url%3D%252Fhombre%252Fropa%252Fropa-y-accesorios-deportivos%252Fcamisetas-y-tops%252F2649221259-camiseta-manchester-city%26source%3Dwantit%26subject%3Dwanted%253A%2BCamiseta%2BManchester%2Bcity%2B&source=wantit&subject=wanted%3A+Camiseta+Manchester+city+"
"Chaqueta esquí Salomon","https://www.vinted.es/femmes/vetements/manteaux-and-vestes/vestes/doudounes/2649221214-chaqueta-esqui-salomon","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2649221214&receiver_id=100821061&ref_url=%2Fitems%2F2649221214%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D100821061%26ref_url%3D%252Fmujer%252Fropa%252Fabrigos-y-cazadoras%252Fchaquetas%252Fchaquetas-de-plumas%252F2649221214-chaqueta-esqui-salomon%26source%3Dwantit%26subject%3Dwanted%253A%2BChaqueta%2Besqu%25C3%25AD%2BSalomon&source=wantit&subject=wanted%3A+Chaqueta+esqu%C3%AD+Salomon"
"Chaqueta estampada","https://www.vinted.es/femmes/vetements/sweats-and-sweats-a-capuche/boleros/2649220748-chaqueta-estampada","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2649220748&receiver_id=130694811&ref_url=%2Fitems%2F2649220748%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130694811%26ref_url%3D%252Fmujer%252Fropa%252Fjerseis-y-sudaderas%252Fboleros%252F2649220748-chaqueta-estampada%26source%3Dwantit%26subject%3Dwanted%253A%2BChaqueta%2Bestampada&source=wantit&subject=wanted%3A+Chaqueta+estampada"
"Camiseta burton ","https://www.vinted.es/hommes/vetements/hauts-and-tee-shirts/tee-shirts/t-shirts-unis/2649212986-camiseta-burton","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2649212986&receiver_id=130695150&ref_url=%2Fitems%2F2649212986%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130695150%26ref_url%3D%252Fhombre%252Fropa%252Fcamisetas-y-camisas%252Fcamisetas-lisas%252F2649212986-camiseta-burton%26source%3Dwantit%26subject%3Dwanted%253A%2BCamiseta%2Bburton%2B&source=wantit&subject=wanted%3A+Camiseta+burton+"
