"Название товара","Ссылка на продавца","Ссылка на чат"
"Jersey fino ","https://www.vinted.es/femmes/vetements/sweats-and-sweats-a-capuche/autres-sweats/2646566738-jersey-fino","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2646566738&receiver_id=130566441&ref_url=%2Fitems%2F2646566738%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130566441%26ref_url%3D%252Fmujer%252Fropa%252Fjerseis-y-sudaderas%252Fotros-jerseis%252F2646566738-jersey-fino%26source%3Dwantit%26subject%3Dwanted%253A%2BJersey%2Bfino%2B&source=wantit&subject=wanted%3A+Jersey+fino+"
"Vaqueros de pull and bear","https://www.vinted.es/femmes/vetements/jeans/jeans-courts/2646566489-vaqueros-de-pull-and-bear","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2646566489&receiver_id=29545188&ref_url=%2Fitems%2F2646566489%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D29545188%26ref_url%3D%252Fmujer%252Fropa%252Fvaqueros%252Fvaqueros-tobilleros%252F2646566489-vaqueros-de-pull-and-bear%26source%3Dwantit%26subject%3Dwanted%253A%2BVaqueros%2Bde%2Bpull%2Band%2Bbear&source=wantit&subject=wanted%3A+Vaqueros+de+pull+and+bear"
"Botín boho antelina ","https://www.vinted.es/moterims/batai/platforminiai-batai/2646565544-botin-boho-antelina","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2646565544&receiver_id=130566424&ref_url=%2Fitems%2F2646565544%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130566424%26ref_url%3D%252Fmujer%252Fzapatos%252Fbotas%252Fplataformas%252F2646565544-botin-boho-antelina%26source%3Dwantit%26subject%3Dwanted%253A%2BBot%25C3%25ADn%2Bboho%2Bantelina%2B&source=wantit&subject=wanted%3A+Bot%C3%ADn+boho+antelina+"
"Denim Levi’s jacket","https://www.vinted.es/femmes/vetements/manteaux-and-vestes/vestes/vestes-en-jean/2646565083-denim-levis-jacket","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2646565083&receiver_id=130583697&ref_url=%2Fitems%2F2646565083%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130583697%26ref_url%3D%252Fmujer%252Fropa%252Fabrigos-y-cazadoras%252Fcazadoras%252Fcazadoras-vaqueras%252F2646565083-denim-levis-jacket%26source%3Dwantit%26subject%3Dwanted%253A%2BDenim%2BLevi%25E2%2580%2599s%2Bjacket&source=wantit&subject=wanted%3A+Denim+Levi%E2%80%99s+jacket"
"Abrigo de Zara ","https://www.vinted.es/femmes/vetements/manteaux-and-vestes/manteaux/pardessus-et-manteaux-longs/2646568211-abrigo-de-zara","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2646568211&receiver_id=130452042&ref_url=%2Fitems%2F2646568211%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130452042%26ref_url%3D%252Fmujer%252Fropa%252Fabrigos-y-cazadoras%252Fabrigos%252Fsobretodos-y-abrigos-largos%252F2646568211-abrigo-de-zara%26source%3Dwantit%26subject%3Dwanted%253A%2BAbrigo%2Bde%2BZara%2B&source=wantit&subject=wanted%3A+Abrigo+de+Zara+"
"Sudadera de Nude Project","https://www.vinted.es/hommes/vetements/sweats-and-pulls-1811/2646568084-sudadera-de-nude-project","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2646568084&receiver_id=129806048&ref_url=%2Fitems%2F2646568084%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D129806048%26ref_url%3D%252Fhombre%252Fropa%252Fjerseis-y-sudaderas-1811%252F2646568084-sudadera-de-nude-project%26source%3Dwantit%26subject%3Dwanted%253A%2BSudadera%2Bde%2BNude%2BProject&source=wantit&subject=wanted%3A+Sudadera+de+Nude+Project"
"Alpargatas","https://www.vinted.es/femmes/chaussures/autres-chaussures/2646568031-alpargatas","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2646568031&receiver_id=73656550&ref_url=%2Fitems%2F2646568031%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D73656550%26ref_url%3D%252Fmujer%252Fzapatos%252Fotros-zapatos%252F2646568031-alpargatas%26source%3Dwantit%26subject%3Dwanted%253A%2BAlpargatas&source=wantit&subject=wanted%3A+Alpargatas"
"Bolso mochila","https://www.vinted.es/femmes/sacs/sacs-a-dos/2646568029-bolso-mochila","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2646568029&receiver_id=130583694&ref_url=%2Fitems%2F2646568029%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130583694%26ref_url%3D%252Fmujer%252Fbolsos%252Fmochilas%252F2646568029-bolso-mochila%26source%3Dwantit%26subject%3Dwanted%253A%2BBolso%2Bmochila&source=wantit&subject=wanted%3A+Bolso+mochila"
"Sandalias","https://www.vinted.es/femmes/chaussures/chaussons-et-pantoufles/2646567435-sandalias","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2646567435&receiver_id=72105854&ref_url=%2Fitems%2F2646567435%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D72105854%26ref_url%3D%252Fmujer%252Fzapatos%252Fpantuflas%252F2646567435-sandalias%26source%3Dwantit%26subject%3Dwanted%253A%2BSandalias&source=wantit&subject=wanted%3A+Sandalias"
"Vestido rojo","https://www.vinted.es/femmes/vetements/robes/robes-chics/2646564992-vestido-rojo","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2646564992&receiver_id=130581009&ref_url=%2Fitems%2F2646564992%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130581009%26ref_url%3D%252Fmujer%252Fropa%252Fvestidos%252Fvestidos-formales%252F2646564992-vestido-rojo%26source%3Dwantit%26subject%3Dwanted%253A%2BVestido%2Brojo&source=wantit&subject=wanted%3A+Vestido+rojo"
