"Название товара","Ссылка на продавца","Ссылка на чат"
"Mando pdp xbox one ","https://es.wallapop.com/item/mando-pdp-xbox-one-869313548","https://es.wallapop.com/app/chat?itemId=e65gdggpw0jo"
"play 4 2 años de uso","https://es.wallapop.com/item/play-4-2-anos-de-uso-869313679","https://es.wallapop.com/app/chat?itemId=p61ymyyq7565"
"Los Niños Tontos","https://es.wallapop.com/item/los-ninos-tontos-869314427","https://es.wallapop.com/app/chat?itemId=nz0010022dzo"
"Opel Astra 2005","https://es.wallapop.com/item/opel-astra-2005-869314396","https://es.wallapop.com/app/chat?itemId=e65gdggr9gjo"
"bicicleta MTB Orbea H70 29"" Talla M","https://es.wallapop.com/item/bicicleta-mtb-orbea-h70-29-talla-m-869312883","https://es.wallapop.com/app/chat?itemId=0j23o33nxr6y"
"MAKEUP LIBRE","https://es.wallapop.com/item/makeup-libre-869313834","https://es.wallapop.com/app/chat?itemId=8j3ekeerr1z9"
"Caseta para mascotas","https://es.wallapop.com/item/caseta-para-mascotas-869313552","https://es.wallapop.com/app/chat?itemId=w67ynyy7m86x"
"Amoladora angular","https://es.wallapop.com/item/amoladora-angular-869313424","https://es.wallapop.com/app/chat?itemId=e65gdggpkkjo"
"Botas Dr Martens Jardon en Piel ","https://es.wallapop.com/item/botas-dr-martens-jardon-en-piel-869313411","https://es.wallapop.com/app/chat?itemId=0j23o3312r6y"
"Redmi note 7 ","https://es.wallapop.com/item/redmi-note-7-869314183","https://es.wallapop.com/app/chat?itemId=0j23o33g9n6y"
"Nike Dunk Low Grey Fog","https://es.wallapop.com/item/nike-dunk-low-grey-fog-869314185","https://es.wallapop.com/app/chat?itemId=pj95055rdvze"
"mesa de salón ","https://es.wallapop.com/item/mesa-de-salon-869313768","https://es.wallapop.com/app/chat?itemId=wzy5g55qyej5"
"Cortinas de ikea","https://es.wallapop.com/item/cortinas-de-ikea-869313650","https://es.wallapop.com/app/chat?itemId=pzprxrrw9963"
