"Название товара","Ссылка на продавца","Ссылка на чат"
"moto colección ","https://es.wallapop.com/item/moto-coleccion-870967124","https://es.wallapop.com/app/chat?itemId=e65gd934k0jo"
"Nike Air Force One 39","https://es.wallapop.com/item/nike-air-force-one-39-870966405","https://es.wallapop.com/app/chat?itemId=qjwpgqdx1kzo"
"Guitarra Epiphon Les Paul","https://es.wallapop.com/item/guitarra-epiphon-les-paul-870966403","https://es.wallapop.com/app/chat?itemId=nz001yvn2ezo"
"Bicicleta estática Decathlon ","https://es.wallapop.com/item/bicicleta-estatica-decathlon-870966370","https://es.wallapop.com/app/chat?itemId=8z84p2go2r63"
"Mini cuna ","https://es.wallapop.com/item/mini-cuna-870968011","https://es.wallapop.com/app/chat?itemId=0j23oq3w4v6y"
"PS5 VERSION DIGITAL 825G","https://es.wallapop.com/item/ps5-version-digital-825g-870967999","https://es.wallapop.com/app/chat?itemId=nz001y0g4rzo"
"Bañador embarazada T40 Nabaiji","https://es.wallapop.com/item/banador-embarazada-t40-nabaiji-870967243","https://es.wallapop.com/app/chat?itemId=vjrrm19l0wjk"
"nintendo switch oled mas un juego","https://es.wallapop.com/item/nintendo-switch-oled-mas-un-juego-870966181","https://es.wallapop.com/app/chat?itemId=xzorw7vylwz9"
"Chaqueta Adidas","https://es.wallapop.com/item/chaqueta-adidas-870966173","https://es.wallapop.com/app/chat?itemId=mzn870vrg2zn"
"golf4 1999 2005","https://es.wallapop.com/item/golf4-1999-2005-870965509","https://es.wallapop.com/app/chat?itemId=xzorw7vn5wz9"
"vendo culot en buen estado. ","https://es.wallapop.com/item/vendo-culot-en-buen-estado-870967815","https://es.wallapop.com/app/chat?itemId=36exmex92kzd"
"Faro delantero derecho Audi A3 2009 ","https://es.wallapop.com/item/faro-delantero-derecho-audi-a3-2009-870967794","https://es.wallapop.com/app/chat?itemId=8z84p24vxd63"
"cuna + colchon ","https://es.wallapop.com/item/cuna---colchon-870967786","https://es.wallapop.com/app/chat?itemId=4z412q1oprzy"
"Manicura semipermanente y gel/acrygel","https://es.wallapop.com/item/manicura-semipermanente-y-gel-acrygel-870965751","https://es.wallapop.com/app/chat?itemId=nz001yv5r3zo"
"sofá L y sofá cama","https://es.wallapop.com/item/sofa-l-y-sofa-cama-870966226","https://es.wallapop.com/app/chat?itemId=pzprxw1l1563"
"chaqueta de caballero","https://es.wallapop.com/item/chaqueta-de-caballero-870967057","https://es.wallapop.com/app/chat?itemId=xzorw7ve1lz9"
"Head Speed Pro","https://es.wallapop.com/item/head-speed-pro-870965956","https://es.wallapop.com/app/chat?itemId=qzmy0p3rxyzv"
"Monitor Acer EK240Y 23.8 pulgadas FHD IPS LED 60Hz","https://es.wallapop.com/item/monitor-acer-ek240y-23-8-pulgadas-fhd-ips-led-60hz-870967569","https://es.wallapop.com/app/chat?itemId=3zl1pn1e5njx"
"Pokemon Mundo Misterioso Nintendo Ds","https://es.wallapop.com/item/pokemon-mundo-misterioso-nintendo-ds-870967559","https://es.wallapop.com/app/chat?itemId=0j23oq39gm6y"
"GUARDIA CIVIL","https://es.wallapop.com/item/guardia-civil-870965445","https://es.wallapop.com/app/chat?itemId=3zl1pn9l3qjx"
"yamaha tmax 530 dx","https://es.wallapop.com/item/yamaha-tmax-530-dx-870967360","https://es.wallapop.com/app/chat?itemId=9jd21e2d796k"
"cafetera Nespresso en buen estado ","https://es.wallapop.com/item/cafetera-nespresso-en-buen-estado-870967336","https://es.wallapop.com/app/chat?itemId=9jd21e2dx96k"
"Peugeot 308 2007","https://es.wallapop.com/item/peugeot-308-2007-870967327","https://es.wallapop.com/app/chat?itemId=nz001y09grzo"
"Flores eternas personalizadas ","https://es.wallapop.com/item/flores-eternas-personalizadas-870967740","https://es.wallapop.com/app/chat?itemId=v6g23e2mwnze"
"abrigo de piel de oveja","https://es.wallapop.com/item/abrigo-de-piel-de-oveja-870967731","https://es.wallapop.com/app/chat?itemId=p61ymqy9w765"
