"Название товара","Ссылка на продавца","Ссылка на чат"
"carro jane crosswalk","https://es.wallapop.com/item/carro-jane-crosswalk-871654994","https://es.wallapop.com/app/chat?itemId=8z84pek3o163"
"ORBEA de 26""","https://es.wallapop.com/item/orbea-de-26-871653050","https://es.wallapop.com/app/chat?itemId=pzprx72mx963"
"Blender Batidora Vevor","https://es.wallapop.com/item/blender-batidora-vevor-871653033","https://es.wallapop.com/app/chat?itemId=xzorw021o7z9"
"Pulidora no hago envíos ","https://es.wallapop.com/item/pulidora-no-hago-envios-871653021","https://es.wallapop.com/app/chat?itemId=3zl1p5875qjx"
"IPHONE 11 PRO MAX","https://es.wallapop.com/item/iphone-11-pro-max-871656067","https://es.wallapop.com/app/chat?itemId=vjrrmxqwgwjk"
"Audi A4 2001","https://es.wallapop.com/item/audi-a4-2001-871656070","https://es.wallapop.com/app/chat?itemId=8z84pek7do63"
"Cabecero para cama de 150","https://es.wallapop.com/item/cabecero-para-cama-de-150-871656013","https://es.wallapop.com/app/chat?itemId=pj950emwp0ze"
"Mondraker Rockrockrider xc100s 2021","https://es.wallapop.com/item/mondraker-rockrockrider-xc100s-2021-871656005","https://es.wallapop.com/app/chat?itemId=qjwpg94354zo"
"carro","https://es.wallapop.com/item/carro-871655924","https://es.wallapop.com/app/chat?itemId=e65gde8n20jo"
"Habitación en alquiler","https://es.wallapop.com/item/habitacion-en-alquiler-871655876","https://es.wallapop.com/app/chat?itemId=w67yne40rw6x"
"CONJUNTO SALÓN COMEDOR","https://es.wallapop.com/item/conjunto-salon-comedor-871655776","https://es.wallapop.com/app/chat?itemId=w67yne40v56x"
"Mesa de madera maciza","https://es.wallapop.com/item/mesa-de-madera-maciza-871652071","https://es.wallapop.com/app/chat?itemId=ejkknr8wlpjx"
"anillo air bag jeep, Fiat, alfa, dodge K05156106AG","https://es.wallapop.com/item/anillo-air-bag-jeep-fiat-alfa-dodge-k05156106ag-871656490","https://es.wallapop.com/app/chat?itemId=x6qd1wm02njy"
"Peugeot 206 2004","https://es.wallapop.com/item/peugeot-206-2004-871656480","https://es.wallapop.com/app/chat?itemId=qzmy0nel1gzv"
"visor swarovski z8i 2,3-18×56p","https://es.wallapop.com/item/visor-swarovski-z8i-2-3-1856p-871656462","https://es.wallapop.com/app/chat?itemId=4z412kepk8zy"
"PATINETE XIAOMI PRO 2 NUEVO","https://es.wallapop.com/item/patinete-xiaomi-pro-2-nuevo-871656373","https://es.wallapop.com/app/chat?itemId=mzn87p25w7zn"
"Silla gamer","https://es.wallapop.com/item/silla-gamer-871656370","https://es.wallapop.com/app/chat?itemId=8z84pekx5r63"
"Pack móviles con cargadores( no todos)","https://es.wallapop.com/item/pack-moviles-con-cargadores-no-todos-871656333","https://es.wallapop.com/app/chat?itemId=xzorw02n25z9"
"se vende..","https://es.wallapop.com/item/se-vende-871653713","https://es.wallapop.com/app/chat?itemId=pj950em7p2ze"
"Opel Zafira 2004","https://es.wallapop.com/item/opel-zafira-2004-871653450","https://es.wallapop.com/app/chat?itemId=pzprx72q2463"
"Sofa Cama color Turquesa","https://es.wallapop.com/item/sofa-cama-color-turquesa-871654333","https://es.wallapop.com/app/chat?itemId=xzorw02m9wz9"
"BICICLETA BH SB2. H9162","https://es.wallapop.com/item/bicicleta-bh-sb2-h9162-871654303","https://es.wallapop.com/app/chat?itemId=nz001d4oprzo"
"Televisor Hisense 58 pulgadas","https://es.wallapop.com/item/televisor-hisense-58-pulgadas-871654118","https://es.wallapop.com/app/chat?itemId=x6qd1wm3xojy"
"PS4 PRO 1T+MANDO","https://es.wallapop.com/item/ps4-pro-1t-mando-871654124","https://es.wallapop.com/app/chat?itemId=e65gde8k90jo"
"Deverdamper ","https://es.wallapop.com/item/deverdamper-871654088","https://es.wallapop.com/app/chat?itemId=v6g23vg577ze"
"MSI Optix G24C4 23.6"" LED FullHD 144Hz Curvo","https://es.wallapop.com/item/msi-optix-g24c4-23-6-led-fullhd-144hz-curvo-871654049","https://es.wallapop.com/app/chat?itemId=mzn87p213kzn"
"Dualtron mini 17ah","https://es.wallapop.com/item/dualtron-mini-17ah-871654841","https://es.wallapop.com/app/chat?itemId=wzvnd34787jl"
"Llantas Tecnomagnesio en 16"" 4x108","https://es.wallapop.com/item/llantas-tecnomagnesio-en-16-4x108-871651781","https://es.wallapop.com/app/chat?itemId=xzorw02o32z9"
"350z brazos delanteros caída regulable Japspeed","https://es.wallapop.com/item/350z-brazos-delanteros-caida-regulable-japspeed-871657223","https://es.wallapop.com/app/chat?itemId=ejkknr8vo1jx"
"Sofás de piel","https://es.wallapop.com/item/sofas-de-piel-871657165","https://es.wallapop.com/app/chat?itemId=wzvnd341edjl"
"Motor sh 125 i 2008","https://es.wallapop.com/item/motor-sh-125-i-2008-871657116","https://es.wallapop.com/app/chat?itemId=v6g23vg9rnze"
"pit bike ","https://es.wallapop.com/item/pit-bike-871657043","https://es.wallapop.com/app/chat?itemId=vjrrmxq0xxjk"
"porcado","https://es.wallapop.com/item/porcado-871652636","https://es.wallapop.com/app/chat?itemId=9jd21vk1yl6k"
"Grúa de bipedestación Molift Quick + arnés","https://es.wallapop.com/item/grua-de-bipedestacion-molift-quick---arnes-871649396","https://es.wallapop.com/app/chat?itemId=e65gde8pg0jo"
"Canon Powershot sx740HS 4K","https://es.wallapop.com/item/canon-powershot-sx740hs-4k-871655585","https://es.wallapop.com/app/chat?itemId=pj950em932ze"
"Cinta de correr BH Fitnes plegable.","https://es.wallapop.com/item/cinta-de-correr-bh-fitnes-plegable-871655542","https://es.wallapop.com/app/chat?itemId=x6qd1wme05jy"
"muebles cocina","https://es.wallapop.com/item/muebles-cocina-871655464","https://es.wallapop.com/app/chat?itemId=v6g23vgwx5ze"
"Sofa exterior (usado solo en interior)","https://es.wallapop.com/item/sofa-exterior-usado-solo-en-interior-871653246","https://es.wallapop.com/app/chat?itemId=8z84peklm863"
"Pit bike xl 140cc","https://es.wallapop.com/item/pit-bike-xl-140cc-871653241","https://es.wallapop.com/app/chat?itemId=wzvnd3451rjl"
"Chaqué Emidio Tucci","https://es.wallapop.com/item/chaque-emidio-tucci-871653163","https://es.wallapop.com/app/chat?itemId=36exmv1r7yzd"
"Play Station 4 PRO 1 Tb + Juegardos","https://es.wallapop.com/item/play-station-4-pro-1-tb---juegardos-871656925","https://es.wallapop.com/app/chat?itemId=mzn87p2y37zn"
"Batería Ludwig ","https://es.wallapop.com/item/bateria-ludwig-871656872","https://es.wallapop.com/app/chat?itemId=e65gde8wgpjo"
"samsumg s23+","https://es.wallapop.com/item/samsumg-s23-871656741","https://es.wallapop.com/app/chat?itemId=wzvnd34mw1jl"
"Opel Corsa 2011","https://es.wallapop.com/item/opel-corsa-2011-871656712","https://es.wallapop.com/app/chat?itemId=9jd21vkl396k"
"Patinete speedway crossover x2 pro 2400w","https://es.wallapop.com/item/patinete-speedway-crossover-x2-pro-2400w-871650346","https://es.wallapop.com/app/chat?itemId=8z84pek2xr63"
"Chaqueta de piel ","https://es.wallapop.com/item/chaqueta-de-piel-871650141","https://es.wallapop.com/app/chat?itemId=wzvnd34q31jl"
"Batería eléctrica iniciación-intermedio. ","https://es.wallapop.com/item/bateria-electrica-iniciacion-intermedio-871650087","https://es.wallapop.com/app/chat?itemId=36exmv1eekzd"
"Taquilla metálica modular Megablok","https://es.wallapop.com/item/taquilla-metalica-modular-megablok-871650030","https://es.wallapop.com/app/chat?itemId=nzx0g94qrez2"
"Lote Geyperman","https://es.wallapop.com/item/lote-geyperman-871654680","https://es.wallapop.com/app/chat?itemId=qzmy0nedpgzv"
"AirPods Max ","https://es.wallapop.com/item/airpods-max-871654469","https://es.wallapop.com/app/chat?itemId=3zl1p582e8jx"
"3 invernaderos","https://es.wallapop.com/item/3-invernaderos-871654474","https://es.wallapop.com/app/chat?itemId=pzprx72e8563"
