"Название товара","Ссылка на продавца","Ссылка на чат"
"Casa muñecas","https://es.wallapop.com/item/casa-munecas-870077804","https://es.wallapop.com/app/chat?itemId=w67ynvepow6x"
"FORNITE LEYENDAS DE ANIME ","https://es.wallapop.com/item/fornite-leyendas-de-anime-870078439","https://es.wallapop.com/app/chat?itemId=36exm5v4l8zd"
"iphone 8 plus piezas","https://es.wallapop.com/item/iphone-8-plus-piezas-870078426","https://es.wallapop.com/app/chat?itemId=pzprxk7o0463"
"boina hombre ","https://es.wallapop.com/item/boina-hombre-870078429","https://es.wallapop.com/app/chat?itemId=qjwpgr953kzo"
"Community Manager LowCost ","https://es.wallapop.com/item/community-manager-lowcost-870078415","https://es.wallapop.com/app/chat?itemId=36exm5v4y8zd"
"Mesa de comedor","https://es.wallapop.com/item/mesa-de-comedor-870077860","https://es.wallapop.com/app/chat?itemId=9jd21wvql26k"
"Codice 37.5 dell'Air Force One","https://es.wallapop.com/item/codice-37-5-dell-air-force-one-870077853","https://es.wallapop.com/app/chat?itemId=qjwpgr983kzo"
"Sudadera gris","https://es.wallapop.com/item/sudadera-gris-870077845","https://es.wallapop.com/app/chat?itemId=3zl1pm5rypjx"
"Juego Fibras Kawasaki ZX10R","https://es.wallapop.com/item/juego-fibras-kawasaki-zx10r-870077841","https://es.wallapop.com/app/chat?itemId=wzvndg38oqjl"
"TV Sony KD-65XD7505 65"" 4K HDR","https://es.wallapop.com/item/tv-sony-kd-65xd7505-65-4k-hdr-870077684","https://es.wallapop.com/app/chat?itemId=9jd21wvq4l6k"
"Fundas mobil","https://es.wallapop.com/item/fundas-mobil-870077648","https://es.wallapop.com/app/chat?itemId=e65gdqe5epjo"
"Minicroos ","https://es.wallapop.com/item/minicroos-870077731","https://es.wallapop.com/app/chat?itemId=p61ym8d2lg65"
"Vendo iPhone 8 Plus ","https://es.wallapop.com/item/vendo-iphone-8-plus-870077723","https://es.wallapop.com/app/chat?itemId=ejkknmrq0rjx"
"Butter(Bts)","https://es.wallapop.com/item/butter-bts-870077987","https://es.wallapop.com/app/chat?itemId=36exm5v4dvzd"
"Patinete electrónico Xioumi ","https://es.wallapop.com/item/patinete-electronico-xioumi-870077470","https://es.wallapop.com/app/chat?itemId=8z84p8e0go63"
"SEAT Cordoba 2002","https://es.wallapop.com/item/seat-cordoba-2002-870077462","https://es.wallapop.com/app/chat?itemId=4z4128k4glzy"
"Sujetador deportivo ","https://es.wallapop.com/item/sujetador-deportivo-870077465","https://es.wallapop.com/app/chat?itemId=wzvndg38l7jl"
"Piano Casio","https://es.wallapop.com/item/piano-casio-870077431","https://es.wallapop.com/app/chat?itemId=p61ym8d2o565"
"carrito bebe","https://es.wallapop.com/item/carrito-bebe-870078054","https://es.wallapop.com/app/chat?itemId=nzx0ge9n0ez2"
"Casco Moto Osbe Tornado AirCraft Mate Talla M","https://es.wallapop.com/item/casco-moto-osbe-tornado-aircraft-mate-talla-m-870078248","https://es.wallapop.com/app/chat?itemId=e65gdqek2pjo"
"tubos","https://es.wallapop.com/item/tubos-870078246","https://es.wallapop.com/app/chat?itemId=8z84p8en9863"
"Mesa baja de madera y cristal","https://es.wallapop.com/item/mesa-baja-de-madera-y-cristal-870078236","https://es.wallapop.com/app/chat?itemId=9jd21wv9vl6k"
"Aro pilates","https://es.wallapop.com/item/aro-pilates-870078391","https://es.wallapop.com/app/chat?itemId=vjrrmex2g4jk"
"Enciclopedia salvar de la fauna ","https://es.wallapop.com/item/enciclopedia-salvar-de-la-fauna-870078383","https://es.wallapop.com/app/chat?itemId=0j23o8e27m6y"
"Cortabordes 350W Black and Decker 25cm.

","https://es.wallapop.com/item/cortabordes-350w-black-and-decker-25cm-870078389","https://es.wallapop.com/app/chat?itemId=wzvndg3ep4jl"
"Reloj Tissot Seastar ","https://es.wallapop.com/item/reloj-tissot-seastar-870078377","https://es.wallapop.com/app/chat?itemId=qjwpgr95wwzo"
"Figura de Spiderman!!","https://es.wallapop.com/item/figura-de-spiderman-870078101","https://es.wallapop.com/app/chat?itemId=mzn873p132zn"
"Nike tiempo 1984","https://es.wallapop.com/item/nike-tiempo-1984-870078102","https://es.wallapop.com/app/chat?itemId=pzprxk7okk63"
"UÑAS DE ACRILICO promocion ","https://es.wallapop.com/item/unas-de-acrilico-promocion-870078093","https://es.wallapop.com/app/chat?itemId=3zl1pm5w8qjx"
"Imac de 21,5","https://es.wallapop.com/item/imac-de-21-5-870077528","https://es.wallapop.com/app/chat?itemId=w67ynvepv76x"
"estanteria, expositor de fruta.","https://es.wallapop.com/item/estanteria-expositor-de-fruta-870077422","https://es.wallapop.com/app/chat?itemId=8z84p8e0qo63"
"sudadera niña , talla 12-13 años","https://es.wallapop.com/item/sudadera-nina-talla-12-13-anos-870077409","https://es.wallapop.com/app/chat?itemId=xzorwg0ql7z9"
"Billete antiguo ","https://es.wallapop.com/item/billete-antiguo-870077405","https://es.wallapop.com/app/chat?itemId=qjwpgr98e4zo"
"Silla Ikea para dormitorio o salón ","https://es.wallapop.com/item/silla-ikea-para-dormitorio-o-salon-870077400","https://es.wallapop.com/app/chat?itemId=e65gdqe5vmjo"
"Sofá cama","https://es.wallapop.com/item/sofa-cama-870078307","https://es.wallapop.com/app/chat?itemId=p61ym8d3lg65"
"Spiderman Miles Morales/Spiderman ","https://es.wallapop.com/item/spiderman-miles-morales-spiderman-870078271","https://es.wallapop.com/app/chat?itemId=ejkknmr7npjx"
"Nike tech fleece 2019","https://es.wallapop.com/item/nike-tech-fleece-2019-870077941","https://es.wallapop.com/app/chat?itemId=wzvndg38xdjl"
"2 colchones latex de 90 x 190","https://es.wallapop.com/item/2-colchones-latex-de-90-x-190-870077930","https://es.wallapop.com/app/chat?itemId=nzx0ge9835z2"
"Barbacoa de gas ","https://es.wallapop.com/item/barbacoa-de-gas-870077927","https://es.wallapop.com/app/chat?itemId=nz0018d3n7zo"
"Sierra sable con 2 baterías y taladro bosch","https://es.wallapop.com/item/sierra-sable-con-2-baterias-y-taladro-bosch-870077770","https://es.wallapop.com/app/chat?itemId=8z84p8e0nr63"
"Abrigo mujer","https://es.wallapop.com/item/abrigo-mujer-870077767","https://es.wallapop.com/app/chat?itemId=vjrrmex824jk"
"Pantalones cargo.","https://es.wallapop.com/item/pantalones-cargo-870077768","https://es.wallapop.com/app/chat?itemId=wzy5gr98pxj5"
"Nike tn ","https://es.wallapop.com/item/nike-tn-870077636","https://es.wallapop.com/app/chat?itemId=9jd21wvqml6k"
"Patinete Cecotec poco usado","https://es.wallapop.com/item/patinete-cecotec-poco-usado-870077634","https://es.wallapop.com/app/chat?itemId=8j3ek8g921z9"
"Telefonos inalambricos Panasonic, modelo KX-TG211","https://es.wallapop.com/item/telefonos-inalambricos-panasonic-modelo-kx-tg211-870077615","https://es.wallapop.com/app/chat?itemId=36exm5vkeqzd"
"PUERTO DOBLE DE CARGA MANDO PS4! OFERTA !","https://es.wallapop.com/item/puerto-doble-de-carga-mando-ps4-oferta-870077609","https://es.wallapop.com/app/chat?itemId=xzorwg0q74z9"
"pantalones ballon Bershka ","https://es.wallapop.com/item/pantalones-ballon-bershka-870077604","https://es.wallapop.com/app/chat?itemId=w67ynvepk96x"
"Batería Ocasión ","https://es.wallapop.com/item/bateria-ocasion-870078448","https://es.wallapop.com/app/chat?itemId=e65gdqek0kjo"
"ALTAVOZ BLUETHOO SÓLO HOY NUEVO CON SU CAJA","https://es.wallapop.com/item/altavoz-bluethoo-solo-hoy-nuevo-con-su-caja-870077595","https://es.wallapop.com/app/chat?itemId=ejkknmrq59jx"
"Vestido Magnífica Lulú","https://es.wallapop.com/item/vestido-magnifica-lulu-870077581","https://es.wallapop.com/app/chat?itemId=xzorwg0q3wz9"
"Chimenea electrica con pantalla de llama viva","https://es.wallapop.com/item/chimenea-electrica-con-pantalla-de-llama-viva-870078145","https://es.wallapop.com/app/chat?itemId=3zl1pm5wk4jx"
