"Название товара","Ссылка на продавца","Ссылка на чат"
"Grifo de lavabo marca Martí","https://es.wallapop.com/item/grifo-de-lavabo-marca-marti-872515773","https://es.wallapop.com/app/chat?itemId=mzn87754wyzn"
"Bomba de riego ","https://es.wallapop.com/item/bomba-de-riego-872515768","https://es.wallapop.com/app/chat?itemId=wzy5gg2eypj5"
"Specialized Prevail Sworks","https://es.wallapop.com/item/specialized-prevail-sworks-872515755","https://es.wallapop.com/app/chat?itemId=p61ymmr95765"
"Ordenador portatil LENOVO","https://es.wallapop.com/item/ordenador-portatil-lenovo-872516061","https://es.wallapop.com/app/chat?itemId=pj95001dwoze"
"Diccionario Francés /Español ","https://es.wallapop.com/item/diccionario-frances-espanol-872515479","https://es.wallapop.com/app/chat?itemId=p61ymmgxg265"
"Televisor Inves Led 24'","https://es.wallapop.com/item/televisor-inves-led-24-872515468","https://es.wallapop.com/app/chat?itemId=wzy5ggkdk5j5"
"camiseta manga corta, shein","https://es.wallapop.com/item/camiseta-manga-corta-shein-872515471","https://es.wallapop.com/app/chat?itemId=ejkknny1ypjx"
"2 baúles de mimbre ","https://es.wallapop.com/item/2-baules-de-mimbre-872515626","https://es.wallapop.com/app/chat?itemId=pzprxxp8y463"
"TP-LINK REPETIDOR ","https://es.wallapop.com/item/tp-link-repetidor-872515616","https://es.wallapop.com/app/chat?itemId=v6g233lm07ze"
"Libro ""El Fantasma Del Valle"" ","https://es.wallapop.com/item/libro-el-fantasma-del-valle-872515207","https://es.wallapop.com/app/chat?itemId=p61ymmgxk565"
"Habitación de matrimonio ","https://es.wallapop.com/item/habitacion-de-matrimonio-872515208","https://es.wallapop.com/app/chat?itemId=qzmy0052oozv"
"Ipad ","https://es.wallapop.com/item/ipad-872515198","https://es.wallapop.com/app/chat?itemId=pzprxx0vdl63"
"neopreno buceo 5mm","https://es.wallapop.com/item/neopreno-buceo-5mm-872515146","https://es.wallapop.com/app/chat?itemId=8z84pp7ykd63"
"casco leatt ","https://es.wallapop.com/item/casco-leatt-872515141","https://es.wallapop.com/app/chat?itemId=wzvnddox4djl"
"Falda Rociera ","https://es.wallapop.com/item/falda-rociera-872516514","https://es.wallapop.com/app/chat?itemId=4z4122pylmzy"
"Asiento elevador","https://es.wallapop.com/item/asiento-elevador-872516497","https://es.wallapop.com/app/chat?itemId=mzn8775gxgzn"
"Muleta ortopédica ","https://es.wallapop.com/item/muleta-ortopedica-872516487","https://es.wallapop.com/app/chat?itemId=36exmmldmkzd"
"mural precioso de policarbonato ","https://es.wallapop.com/item/mural-precioso-de-policarbonato-872515684","https://es.wallapop.com/app/chat?itemId=9jd211ld226k"
" AMD RYZEN 5 1600X + CORSAIR DDR4 3000 CL15","https://es.wallapop.com/item/amd-ryzen-5-1600x---corsair-ddr4-3000-cl15-872515660","https://es.wallapop.com/app/chat?itemId=9jd211ld526k"
"PlayStation 2 + juegos","https://es.wallapop.com/item/playstation-2---juegos-872515656","https://es.wallapop.com/app/chat?itemId=qzmy00lg3gzv"
"jibioneras","https://es.wallapop.com/item/jibioneras-872515560","https://es.wallapop.com/app/chat?itemId=9jd211yggd6k"
"Chaleco equitación infantil ","https://es.wallapop.com/item/chaleco-equitacion-infantil-872515558","https://es.wallapop.com/app/chat?itemId=8j3ekkq377z9"
"cama matrimonial Opio China","https://es.wallapop.com/item/cama-matrimonial-opio-china-872515862","https://es.wallapop.com/app/chat?itemId=4z4122poklzy"
"Botines","https://es.wallapop.com/item/botines-872515444","https://es.wallapop.com/app/chat?itemId=wzy5ggkdw5j5"
"joyas bimba&lola sin estrenar","https://es.wallapop.com/item/joyas-bimba-lola-sin-estrenar-872515424","https://es.wallapop.com/app/chat?itemId=e65gddn41pjo"
"silla patchwork (2)","https://es.wallapop.com/item/silla-patchwork-2-872515524","https://es.wallapop.com/app/chat?itemId=e65gddn4w2jo"
"tutú de ballet","https://es.wallapop.com/item/tutu-de-ballet-872515526","https://es.wallapop.com/app/chat?itemId=pzprxx0vnm63"
"Telèvision SONY","https://es.wallapop.com/item/television-sony-872515517","https://es.wallapop.com/app/chat?itemId=wzvnddox14jl"
"Bolso a estrenar coach","https://es.wallapop.com/item/bolso-a-estrenar-coach-872515516","https://es.wallapop.com/app/chat?itemId=v6g233y892ze"
"zapatillas nike","https://es.wallapop.com/item/zapatillas-nike-872515515","https://es.wallapop.com/app/chat?itemId=36exmmyq2nzd"
"frontalera","https://es.wallapop.com/item/frontalera-872515520","https://es.wallapop.com/app/chat?itemId=wzy5ggkd3xj5"
"Pichi ","https://es.wallapop.com/item/pichi-872514968","https://es.wallapop.com/app/chat?itemId=wzy5ggkmmxj5"
"Mueble De TV","https://es.wallapop.com/item/mueble-de-tv-872514969","https://es.wallapop.com/app/chat?itemId=3zl1ppyvvnjx"
"zoombie ","https://es.wallapop.com/item/zoombie-872514961","https://es.wallapop.com/app/chat?itemId=pj9500w33kze"
"SOMIER de arrastre de láminas de madera. ","https://es.wallapop.com/item/somier-de-arrastre-de-laminas-de-madera-872516431","https://es.wallapop.com/app/chat?itemId=p61ymmrvd565"
"AIR FORCE NEGRAS ","https://es.wallapop.com/item/air-force-negras-872516411","https://es.wallapop.com/app/chat?itemId=0j23oo5wge6y"
"Casco Moto MT Helmets","https://es.wallapop.com/item/casco-moto-mt-helmets-872516422","https://es.wallapop.com/app/chat?itemId=8z84ppxqro63"
"reloj","https://es.wallapop.com/item/reloj-872515056","https://es.wallapop.com/app/chat?itemId=qzmy00524gzv"
"Camiseta España oficial","https://es.wallapop.com/item/camiseta-espana-oficial-872515059","https://es.wallapop.com/app/chat?itemId=0j23oovmyr6y"
"carta pokemon ","https://es.wallapop.com/item/carta-pokemon-872515341","https://es.wallapop.com/app/chat?itemId=wzvnddoxd1jl"
"Huawei Band 4","https://es.wallapop.com/item/huawei-band-4-872515328","https://es.wallapop.com/app/chat?itemId=w67ynn0qn76x"
"PELOTAS GOLF","https://es.wallapop.com/item/pelotas-golf-872516331","https://es.wallapop.com/app/chat?itemId=p61ymmrv5765"
"Ps3 ","https://es.wallapop.com/item/ps3-872515978","https://es.wallapop.com/app/chat?itemId=nzx0ggkdnmz2"
"Libro Juno","https://es.wallapop.com/item/libro-juno-872515941","https://es.wallapop.com/app/chat?itemId=wzvnddm951jl"
"Funkopop BTS Suga","https://es.wallapop.com/item/funkopop-bts-suga-872515952","https://es.wallapop.com/app/chat?itemId=w67ynnw8p76x"
"NikeCourt Air Zoom Vapor Pro + 1 overgrip gratis","https://es.wallapop.com/item/nikecourt-air-zoom-vapor-pro---1-overgrip-gratis-872516212","https://es.wallapop.com/app/chat?itemId=9jd211lx726k"
"Bango Real Oviedo 1990/91","https://es.wallapop.com/item/bango-real-oviedo-1990-91-872515027","https://es.wallapop.com/app/chat?itemId=nz0011e79ezo"
"tienda campaña","https://es.wallapop.com/item/tienda-campana-872515018","https://es.wallapop.com/app/chat?itemId=x6qd117rlnjy"
"Pijamas bebé manga corta","https://es.wallapop.com/item/pijamas-bebe-manga-corta-872515020","https://es.wallapop.com/app/chat?itemId=wzy5ggkdevj5"
