"Название товара","Ссылка на продавца","Ссылка на чат"
"Electricidad ","https://es.wallapop.com/item/electricidad-872915043","https://es.wallapop.com/app/chat?itemId=vjrrm8y0v9jk"
"gafas","https://es.wallapop.com/item/gafas-872915788","https://es.wallapop.com/app/chat?itemId=v6g23qmdy2ze"
"gasgas 250 2t","https://es.wallapop.com/item/gasgas-250-2t-872915764","https://es.wallapop.com/app/chat?itemId=v6g23qmdw2ze"
"mesitas y bancos de jardín ","https://es.wallapop.com/item/mesitas-y-bancos-de-jardin-872915728","https://es.wallapop.com/app/chat?itemId=w67ynp8m556x"
"giorgio armani de italy","https://es.wallapop.com/item/giorgio-armani-de-italy-872915979","https://es.wallapop.com/app/chat?itemId=p61ym29x7765"
"chupetero","https://es.wallapop.com/item/chupetero-872915128","https://es.wallapop.com/app/chat?itemId=w67ynp81p56x"
"Tacones de fiesta","https://es.wallapop.com/item/tacones-de-fiesta-872915217","https://es.wallapop.com/app/chat?itemId=wzvnd891oqjl"
"BARRA DE SONIDO SAMSUNG ","https://es.wallapop.com/item/barra-de-sonido-samsung-872915685","https://es.wallapop.com/app/chat?itemId=pj9507d3loze"
"Muble Televisión ","https://es.wallapop.com/item/muble-television-872915159","https://es.wallapop.com/app/chat?itemId=0j23od9p2m6y"
"CARPINTERO","https://es.wallapop.com/item/carpintero-872915551","https://es.wallapop.com/app/chat?itemId=nz00139nyrzo"
