"Название товара","Ссылка на продавца","Ссылка на чат"
"yogurtera años 80","https://es.wallapop.com/item/yogurtera-anos-80-872088609","https://es.wallapop.com/app/chat?itemId=xzorwow847z9"
"Vendo Bugaboo Cameleon 3","https://es.wallapop.com/item/vendo-bugaboo-cameleon-3-872087747","https://es.wallapop.com/app/chat?itemId=ejkknwnx8rjx"
"Guitarra gato negro ","https://es.wallapop.com/item/guitarra-gato-negro-872088645","https://es.wallapop.com/app/chat?itemId=3zl1pxpg3qjx"
"Altavoz","https://es.wallapop.com/item/altavoz-872088629","https://es.wallapop.com/app/chat?itemId=qjwpgvgy04zo"
"buen estado ","https://es.wallapop.com/item/buen-estado-872087966","https://es.wallapop.com/app/chat?itemId=x6qd121koojy"
"Zapatillas Trainning/Competition Mixed","https://es.wallapop.com/item/zapatillas-trainning-competition-mixed-872088434","https://es.wallapop.com/app/chat?itemId=8j3ekoky2yz9"
"Chaqueta esquí, impermeable ","https://es.wallapop.com/item/chaqueta-esqui-impermeable-872088488","https://es.wallapop.com/app/chat?itemId=v6g23n34n7ze"
"SEAT Ibiza 2014","https://es.wallapop.com/item/seat-ibiza-2014-872088798","https://es.wallapop.com/app/chat?itemId=pzprx3x1yk63"
"Cómoda restaurada","https://es.wallapop.com/item/comoda-restaurada-872088794","https://es.wallapop.com/app/chat?itemId=8z84p9pgq163"
"Figura Biyomon/Piyomon","https://es.wallapop.com/item/figura-biyomon-piyomon-872088702","https://es.wallapop.com/app/chat?itemId=pzprx3x9nk63"
"Silla paseo Maclaren Quest","https://es.wallapop.com/item/silla-paseo-maclaren-quest-872088226","https://es.wallapop.com/app/chat?itemId=pzprx3x9y563"
"Vendo bicicleta de aluminio ","https://es.wallapop.com/item/vendo-bicicleta-de-aluminio-872087881","https://es.wallapop.com/app/chat?itemId=xzorwowl0lz9"
"Cómoda bajo lavabo para restaurar","https://es.wallapop.com/item/comoda-bajo-lavabo-para-restaurar-872087869","https://es.wallapop.com/app/chat?itemId=3zl1pxp4dpjx"
"Batería de coche ","https://es.wallapop.com/item/bateria-de-coche-872088009","https://es.wallapop.com/app/chat?itemId=xzorwowlm7z9"
"se vende Patín Xaomi 1","https://es.wallapop.com/item/se-vende-patin-xaomi-1-872088013","https://es.wallapop.com/app/chat?itemId=pj950q0kp0ze"
"espejo joyero","https://es.wallapop.com/item/espejo-joyero-872088548","https://es.wallapop.com/app/chat?itemId=e65gd2dyl0jo"
"catalizador","https://es.wallapop.com/item/catalizador-872088428","https://es.wallapop.com/app/chat?itemId=w67yn9ndkw6x"
"Monopatín eléctrico ","https://es.wallapop.com/item/monopatin-electrico-872088407","https://es.wallapop.com/app/chat?itemId=p61ym1mokx65"
"Lavavajillas Whirlpool A++","https://es.wallapop.com/item/lavavajillas-whirlpool-a--872088370","https://es.wallapop.com/app/chat?itemId=8z84p9p15r63"
"Reloj Michael Kors ","https://es.wallapop.com/item/reloj-michael-kors-872088101","https://es.wallapop.com/app/chat?itemId=mzn87m7g52zn"
"Mercedes-Benz Clase C 2005","https://es.wallapop.com/item/mercedes-benz-clase-c-2005-872088077","https://es.wallapop.com/app/chat?itemId=qjwpgvge34zo"
"Hucha Hello Kitty - Sanrio","https://es.wallapop.com/item/hucha-hello-kitty-sanrio-872088333","https://es.wallapop.com/app/chat?itemId=xzorwow825z9"
"se vende litera","https://es.wallapop.com/item/se-vende-litera-872088304","https://es.wallapop.com/app/chat?itemId=w67yn9ndy56x"
