"Название товара","Ссылка на продавца","Ссылка на чат"
"Base cama tapizada y colchon ","https://es.wallapop.com/item/base-cama-tapizada-y-colchon-873009763","https://es.wallapop.com/app/chat?itemId=36exmk873yzd"
"Esqueje coleo","https://es.wallapop.com/item/esqueje-coleo-873009053","https://es.wallapop.com/app/chat?itemId=qjwpg825w4zo"
"Maclaren quest negro","https://es.wallapop.com/item/maclaren-quest-negro-873008597","https://es.wallapop.com/app/chat?itemId=mzn87qwqr2zn"
"Chándal entero Adidas","https://es.wallapop.com/item/chandal-entero-adidas-873008595","https://es.wallapop.com/app/chat?itemId=ejkknqpqg9jx"
"Coches de colección ","https://es.wallapop.com/item/coches-de-coleccion-873008594","https://es.wallapop.com/app/chat?itemId=8z84p050o163"
"Lote de 24 Maxi vinilos ","https://es.wallapop.com/item/lote-de-24-maxi-vinilos-873009651","https://es.wallapop.com/app/chat?itemId=nz0013rpkvzo"
"Sudadera nike","https://es.wallapop.com/item/sudadera-nike-873009652","https://es.wallapop.com/app/chat?itemId=w67ynpxo2y6x"
"canapé y colchón","https://es.wallapop.com/item/canape-y-colchon-873009648","https://es.wallapop.com/app/chat?itemId=e65gd571omjo"
"pit bike malcor xlz y pit bike malcor xzf 125 ","https://es.wallapop.com/item/pit-bike-malcor-xlz-y-pit-bike-malcor-xzf-125-873007812","https://es.wallapop.com/app/chat?itemId=9jd21q8r146k"
"Nintendo 2 DS Edición Pokemon Luna con cargafor ","https://es.wallapop.com/item/nintendo-2-ds-edicion-pokemon-luna-con-cargafor-873008162","https://es.wallapop.com/app/chat?itemId=4z4124041vzy"
"estanterías dos","https://es.wallapop.com/item/estanterias-dos-873007987","https://es.wallapop.com/app/chat?itemId=36exmk8rlyzd"
"coche rc 1/10maverick quantum flux ","https://es.wallapop.com/item/maverick-quantum-flux-873007953","https://es.wallapop.com/app/chat?itemId=qjwpg82n3qzo"
"acople arnés de pecho ","https://es.wallapop.com/item/acople-arnes-de-pecho-873007954","https://es.wallapop.com/app/chat?itemId=nzx0g8rp2mz2"
"bicicleta rockrider st 520","https://es.wallapop.com/item/bicicleta-rockrider-st-520-873009395","https://es.wallapop.com/app/chat?itemId=ejkknqp3prjx"
"Consola Playstation 4 Pro","https://es.wallapop.com/item/playstation-4-pro-873009391","https://es.wallapop.com/app/chat?itemId=vjrrm84544jk"
"reformas 641392391","https://es.wallapop.com/item/reformas-641392391-873009227","https://es.wallapop.com/app/chat?itemId=nz0013rp9dzo"
"smart tv Samsung 65 pulgadas QLED 4K HDR10+","https://es.wallapop.com/item/smart-tv-samsung-65-pulgadas-qled-4k-hdr10-873009222","https://es.wallapop.com/app/chat?itemId=8z84p053v863"
"Muñeco ","https://es.wallapop.com/item/muneco-873009219","https://es.wallapop.com/app/chat?itemId=vjrrm845y9jk"
"somier 90*190","https://es.wallapop.com/item/somier-90-190-873009124","https://es.wallapop.com/app/chat?itemId=e65gd57k0gjo"
"iPhone XR 64Gb","https://es.wallapop.com/item/iphone-xr-64gb-873008551","https://es.wallapop.com/app/chat?itemId=nz0013r3qrzo"
"Apple Watch Ultra","https://es.wallapop.com/item/apple-watch-ultra-873008535","https://es.wallapop.com/app/chat?itemId=0j23odndvd6y"
"ton ton ","https://es.wallapop.com/item/ton-ton-873007854","https://es.wallapop.com/app/chat?itemId=nzx0g8rp8ez2"
"colgante de plata de ley","https://es.wallapop.com/item/colgante-de-plata-de-ley-873007856","https://es.wallapop.com/app/chat?itemId=qzmy087w8ozv"
"AutoCAD 2023","https://es.wallapop.com/item/autocad-2023-873007852","https://es.wallapop.com/app/chat?itemId=w67ynpxlpy6x"
"traje caballero","https://es.wallapop.com/item/traje-caballero-873008446","https://es.wallapop.com/app/chat?itemId=8z84p0500o63"
"*NUEVA SILLA VINTAGE California ","https://es.wallapop.com/item/nueva-silla-vintage-california-873009581","https://es.wallapop.com/app/chat?itemId=xzorwqx4q2z9"
"Bicicleta estática plegable","https://es.wallapop.com/item/bicicleta-estatica-plegable-873009545","https://es.wallapop.com/app/chat?itemId=3zl1pr02p2jx"
"AirPods 3rd","https://es.wallapop.com/item/airpods-3rd-873008882","https://es.wallapop.com/app/chat?itemId=8j3ek9pd2yz9"
"Cama articulada ","https://es.wallapop.com/item/cama-articulada-873008854","https://es.wallapop.com/app/chat?itemId=nzx0g8rnw1z2"
"iPhone SE 2020","https://es.wallapop.com/item/iphone-se-2020-873008856","https://es.wallapop.com/app/chat?itemId=qzmy087xpgzv"
"Bañera ROCA","https://es.wallapop.com/item/banera-roca-873008853","https://es.wallapop.com/app/chat?itemId=qjwpg8257kzo"
"Playstation 4 Slim en perfecto estado ","https://es.wallapop.com/item/playstation-4-slim-en-perfecto-estado-873009845","https://es.wallapop.com/app/chat?itemId=3zl1pr03g8jx"
"cintas de caset sntiguas","https://es.wallapop.com/item/cintas-de-caset-sntiguas-873009192","https://es.wallapop.com/app/chat?itemId=wzy5g8ypdej5"
"Inserto Senda de Luz y Sombra","https://es.wallapop.com/item/inserto-senda-de-luz-y-sombra-873009173","https://es.wallapop.com/app/chat?itemId=mzn87qw1r2zn"
"manitas","https://es.wallapop.com/item/manitas-873008507","https://es.wallapop.com/app/chat?itemId=p61ym252wd65"
"Colonia ACQUA DI PARMA Sandalo","https://es.wallapop.com/item/colonia-acqua-di-parma-sandalo-873008501","https://es.wallapop.com/app/chat?itemId=mzn87qwqd2zn"
"vendo una buena bici BH ","https://es.wallapop.com/item/vendo-una-buena-bici-bh-873008500","https://es.wallapop.com/app/chat?itemId=e65gd575ogjo"
"se vende por poco uso","https://es.wallapop.com/item/se-vende-por-poco-uso-873007672","https://es.wallapop.com/app/chat?itemId=e65gd57l7kjo"
"Botas tipo calcetín Nuevas ","https://es.wallapop.com/item/botas-tipo-calcetin-nuevas-873009153","https://es.wallapop.com/app/chat?itemId=qjwpg825kqzo"
"Esquinero grande y bebedero de 320 ml.","https://es.wallapop.com/item/esquinero-grande-y-bebedero-de-320-ml-873009148","https://es.wallapop.com/app/chat?itemId=e65gd57kwgjo"
"HORQUILLA FOX36 KASHIMA FIT4 160 EBIKE 29¨ 2022","https://es.wallapop.com/item/horquilla-fox36-kashima-fit4-160-ebike-29-2022-873008694","https://es.wallapop.com/app/chat?itemId=8z84p05n1863"
"Niño fumeta","https://es.wallapop.com/item/nino-fumeta-873008682","https://es.wallapop.com/app/chat?itemId=8j3ek9pdm1z9"
"10","https://es.wallapop.com/item/10-873007738","https://es.wallapop.com/app/chat?itemId=4z41240lrrzy"
"Maneras de Amar","https://es.wallapop.com/item/maneras-de-amar-873008794","https://es.wallapop.com/app/chat?itemId=8z84p05n8r63"
"Mueble salón ","https://es.wallapop.com/item/mueble-salon-873008789","https://es.wallapop.com/app/chat?itemId=wzvnd82eg4jl"
"Vendo Abrigo","https://es.wallapop.com/item/vendo-abrigo-873008762","https://es.wallapop.com/app/chat?itemId=4z412409evzy"
"Nintendo switch","https://es.wallapop.com/item/nintendo-switch-873008757","https://es.wallapop.com/app/chat?itemId=xzorwqxmr5z9"
"Bolso negro","https://es.wallapop.com/item/bolso-negro-873009706","https://es.wallapop.com/app/chat?itemId=nzx0g8rxkmz2"
"Transportin Perro ","https://es.wallapop.com/item/transportin-perro-873009697","https://es.wallapop.com/app/chat?itemId=mzn87qwk5gzn"
"SECADORA BALAY 8 KILOS SILENCIOSA COMO NUEVA","https://es.wallapop.com/item/secadora-balay-8-kilos-silenciosa-como-nueva-873009689","https://es.wallapop.com/app/chat?itemId=wzvnd827o7jl"
"Mesa despacho mas silla","https://es.wallapop.com/item/mesa-despacho-mas-silla-873009681","https://es.wallapop.com/app/chat?itemId=xzorwqx4p7z9"
