"Название товара","Ссылка на продавца","Ссылка на чат"
"nuevo sin estrenar","https://es.wallapop.com/item/nuevo-sin-estrenar-871254334","https://es.wallapop.com/app/chat?itemId=8j3ek2v1p7z9"
"Ropa niña","https://es.wallapop.com/item/ropa-nina-871254308","https://es.wallapop.com/app/chat?itemId=qzmy0vgkmlzv"
"REPARACION DE ELECTRODOMESTICOS EN CAMPO REAL","https://es.wallapop.com/item/reparacion-de-electrodomesticos-en-campo-real-871254303","https://es.wallapop.com/app/chat?itemId=nz00129k83zo"
"Juegos Pc físicos ","https://es.wallapop.com/item/juegos-pc-fisicos-871254299","https://es.wallapop.com/app/chat?itemId=nz00129k8dzo"
"Bicicleta 26 pulgadas ","https://es.wallapop.com/item/bicicleta-26-pulgadas-871254880","https://es.wallapop.com/app/chat?itemId=qzmy0vg5mxzv"
"Protector maletero Qashqai j10","https://es.wallapop.com/item/protector-maletero-qashqai-j10-871254847","https://es.wallapop.com/app/chat?itemId=ejkknd2y8pjx"
"Cazadora de aviador de cuero marrón SkyRaider","https://es.wallapop.com/item/cazadora-de-aviador-de-cuero-marron-skyraider-871254980","https://es.wallapop.com/app/chat?itemId=qzmy0vg5vlzv"
"  Nike Dunk Low White Black Panda","https://es.wallapop.com/item/nike-dunk-low-white-black-panda-871254988","https://es.wallapop.com/app/chat?itemId=v6g23kmyv2ze"
"Jarrón con temática japonesa","https://es.wallapop.com/item/jarron-con-tematica-japonesa-871255026","https://es.wallapop.com/app/chat?itemId=pzprx5803463"
"zapatilla frozen 34 nueva ","https://es.wallapop.com/item/zapatilla-frozen-34-nueva-871254676","https://es.wallapop.com/app/chat?itemId=w67ynr82my6x"
"Psp ","https://es.wallapop.com/item/psp-871254667","https://es.wallapop.com/app/chat?itemId=vjrrmpyg0wjk"
"Vestido de flamenca de tull","https://es.wallapop.com/item/vestido-de-flamenca-de-tull-871254545","https://es.wallapop.com/app/chat?itemId=3zl1pde3w2jx"
"Limpieza y Desinfección ","https://es.wallapop.com/item/limpieza-y-desinfeccion-871254513","https://es.wallapop.com/app/chat?itemId=pj950rd97vze"
"Mesa alta + 4 sillas","https://es.wallapop.com/item/mesa-alta---4-sillas-871254258","https://es.wallapop.com/app/chat?itemId=8j3ek2v1e1z9"
"Casa en venta","https://es.wallapop.com/item/casa-en-venta-871254250","https://es.wallapop.com/app/chat?itemId=pzprx584r563"
"Cama 90cm","https://es.wallapop.com/item/cama-90cm-871254831","https://es.wallapop.com/app/chat?itemId=p61yme9gy265"
"iPhone Xr 256GB","https://es.wallapop.com/item/iphone-xr-256gb-871254927","https://es.wallapop.com/app/chat?itemId=nz00129ew3zo"
"Chaqueta abrigo","https://es.wallapop.com/item/chaqueta-abrigo-871254725","https://es.wallapop.com/app/chat?itemId=mzn87e4n42zn"
"silla de coche","https://es.wallapop.com/item/silla-de-coche-871254196","https://es.wallapop.com/app/chat?itemId=e65gdrmoygjo"
"fifa 22 legacy edition nintendo switch ","https://es.wallapop.com/item/fifa-22-legacy-limited-871254182","https://es.wallapop.com/app/chat?itemId=8j3ek2v1mlz9"
"Productos nuevos Snep","https://es.wallapop.com/item/productos-nuevos-snep-871254362","https://es.wallapop.com/app/chat?itemId=4z412romqvzy"
"MONEDA 2€ CONMEMORATIVA","https://es.wallapop.com/item/moneda-2-conmemorativa-871254117","https://es.wallapop.com/app/chat?itemId=wzvndk97w1jl"
"VHS REPRODUCTOR GRABADOR ROADSTAR VCR 765","https://es.wallapop.com/item/vhs-reproductor-grabador-roadstar-vcr-765-871254112","https://es.wallapop.com/app/chat?itemId=9jd21md0o96k"
"Louis Vuitton","https://es.wallapop.com/item/louis-vuitton-871254483","https://es.wallapop.com/app/chat?itemId=0j23og9xlr6y"
"Ciudad de Medialuna","https://es.wallapop.com/item/ciudad-de-medialuna-871254465","https://es.wallapop.com/app/chat?itemId=wzvndk9pdqjl"
"sensor medidor glucosa","https://es.wallapop.com/item/sensor-medidor-glucosa-871254454","https://es.wallapop.com/app/chat?itemId=nzx0gmd7v1z2"
"PS4 PERFECTA CON MANDOS Y JUEGOS PRECIO NEGOCIABLE","https://es.wallapop.com/item/ps4-perfecta-con-mandos-y-juegos-precio-negociable-871254280","https://es.wallapop.com/app/chat?itemId=qzmy0vgkexzv"
"Tabla hinchable wing foil 155l ","https://es.wallapop.com/item/tabla-hinchable-wing-foil-155l-871254255","https://es.wallapop.com/app/chat?itemId=p61yme9wy265"
"masaje relajante!!😉","https://es.wallapop.com/item/masaje-relajante-871255078","https://es.wallapop.com/app/chat?itemId=nzx0gmd2p1z2"
"Televisor","https://es.wallapop.com/item/televisor-871255072","https://es.wallapop.com/app/chat?itemId=e65gdrmnlkjo"
"Cafetera Nespresso para piezas ","https://es.wallapop.com/item/cafetera-nespresso-para-piezas-871255055","https://es.wallapop.com/app/chat?itemId=p61yme9gmx65"
