"Название товара","Ссылка на продавца","Ссылка на чат"
"Abrigo niña talla 9/10","https://es.wallapop.com/item/abrigo-nina-talla-9-10-872386580","https://es.wallapop.com/app/chat?itemId=qzmy00vxglzv"
"Botas de futbol 40€","https://es.wallapop.com/item/botas-de-futbol-40-872385644","https://es.wallapop.com/app/chat?itemId=wzy5ggo0q2j5"
"TV Samsung 3D 55","https://es.wallapop.com/item/tv-samsung-3d-55-872386686","https://es.wallapop.com/app/chat?itemId=4z4122r9e8zy"
"Cargador patinete Xiaomi ","https://es.wallapop.com/item/cargador-patinete-xiaomi-872385664","https://es.wallapop.com/app/chat?itemId=v6g233krk5ze"
"Botellero nevera bar","https://es.wallapop.com/item/botellero-de-bar-872385897","https://es.wallapop.com/app/chat?itemId=mzn877ex50zn"
"Bateria 95 ah tudor","https://es.wallapop.com/item/bateria-95-ah-tudor-872386890","https://es.wallapop.com/app/chat?itemId=x6qd11n31ejy"
"vendo secadora 6kg 50€","https://es.wallapop.com/item/vendo-secadora-6kg-50-872385840","https://es.wallapop.com/app/chat?itemId=v6g233krwmze"
"Libro ""Cuentos"" de Emilia Pardo Bazán","https://es.wallapop.com/item/libro-cuentos-de-emilia-pardo-bazan-872385510","https://es.wallapop.com/app/chat?itemId=8j3ekk2le8z9"
"PLEX FULL HD","https://es.wallapop.com/item/plex-full-hd-872385980","https://es.wallapop.com/app/chat?itemId=qzmy00vw2lzv"
"móvil Honor como nuevo ","https://es.wallapop.com/item/movil-honor-como-nuevo-872385971","https://es.wallapop.com/app/chat?itemId=ejkknnd01rjx"
"cama más colchón ","https://es.wallapop.com/item/cama-mas-colchon-872385787","https://es.wallapop.com/app/chat?itemId=36exmmorkyzd"
"elden ring ps5","https://es.wallapop.com/item/elden-ring-ps5-872385788","https://es.wallapop.com/app/chat?itemId=v6g233krqlze"
"chenlo","https://es.wallapop.com/item/chenlo-872385776","https://es.wallapop.com/app/chat?itemId=w67ynnrlp76x"
"Los Tesoros de harry potter. ","https://es.wallapop.com/item/los-tesoros-de-harry-potter-872385770","https://es.wallapop.com/app/chat?itemId=8z84pprl0163"
"NEW BALANCE 501","https://es.wallapop.com/item/new-balance-501-872385751","https://es.wallapop.com/app/chat?itemId=nz00112llrzo"
"Monster high ","https://es.wallapop.com/item/monster-high-872385926","https://es.wallapop.com/app/chat?itemId=pzprxx5mnm63"
"reformas","https://es.wallapop.com/item/reformas-872385912","https://es.wallapop.com/app/chat?itemId=9jd211mr3d6k"
