"Название товара","Ссылка на продавца","Ссылка на чат"
"canapé y colchón ","https://es.wallapop.com/item/canape-y-colchon-872525339","https://es.wallapop.com/app/chat?itemId=36exmml43vzd"
"Mueble salón ","https://es.wallapop.com/item/mueble-salon-872525308","https://es.wallapop.com/app/chat?itemId=qzmy00lxryzv"
"pala bullpadel ","https://es.wallapop.com/item/pala-bullpadel-872525297","https://es.wallapop.com/app/chat?itemId=mzn877515kzn"
"Bicicleta niños 20"" Rockrider ST-120, blanco","https://es.wallapop.com/item/bicicleta-ninos-20-rockrider-st-120-blanco-872525277","https://es.wallapop.com/app/chat?itemId=qjwpggo53kzo"
"Hello Neighbor 2 PS4","https://es.wallapop.com/item/hello-neighbor-2-ps4-872526186","https://es.wallapop.com/app/chat?itemId=4z4122pmqmzy"
"Clases particulares / Clase Partikularrak","https://es.wallapop.com/item/clases-particulares-clase-partikularrak-872525899","https://es.wallapop.com/app/chat?itemId=nz0011qp5ezo"
"Alfombra bebé ","https://es.wallapop.com/item/alfombra-bebe-872525890","https://es.wallapop.com/app/chat?itemId=x6qd110gpnjy"
"cama Nido juvenil con estanterias","https://es.wallapop.com/item/cama-nido-juvenil-con-estanterias-872526108","https://es.wallapop.com/app/chat?itemId=qzmy00lkm1zv"
"Mario odissey","https://es.wallapop.com/item/mario-odissey-872526198","https://es.wallapop.com/app/chat?itemId=pzprxxp45k63"
"Teclado mecanico gaming","https://es.wallapop.com/item/teclado-mecanico-gaming-872526322","https://es.wallapop.com/app/chat?itemId=8z84ppxd0r63"
"Karaoke con micrófono (negociable) ","https://es.wallapop.com/item/karaoke-con-microfono-negociable-872525433","https://es.wallapop.com/app/chat?itemId=xzorwwn487z9"
"gta 5 nintendo switch","https://es.wallapop.com/item/gta-5-nintendo-switch-872526001","https://es.wallapop.com/app/chat?itemId=mzn8775dlgzn"
"Renault Supercinco GTD 1986","https://es.wallapop.com/item/renault-supercinco-gtd-1986-872526007","https://es.wallapop.com/app/chat?itemId=p61ymmrwo565"
"Mesa centro","https://es.wallapop.com/item/mesa-centro-872525994","https://es.wallapop.com/app/chat?itemId=8z84ppxdqd63"
"patinete eléctrico xiaomi ","https://es.wallapop.com/item/patinete-electrico-xiaomi-872525670","https://es.wallapop.com/app/chat?itemId=8z84ppx39863"
"Mazas gimnasia ritmica ","https://es.wallapop.com/item/mazas-gimnasia-ritmica-872525663","https://es.wallapop.com/app/chat?itemId=36exmml7vqzd"
"mesa de comedor con 6 sillas ","https://es.wallapop.com/item/mesa-de-comedor-con-6-sillas-872525646","https://es.wallapop.com/app/chat?itemId=8z84ppx3e863"
"Lavoisier, el quimico","https://es.wallapop.com/item/lavoisier-el-quimico-872526282","https://es.wallapop.com/app/chat?itemId=8j3ekkn1k1z9"
"Xiaomi redmi 7 ","https://es.wallapop.com/item/xiaomi-redmi-7-872525938","https://es.wallapop.com/app/chat?itemId=4z4122pxdrzy"
"Organització de l'atenció a les persones","https://es.wallapop.com/item/organitzacio-de-l-atencio-a-les-persones-872526408","https://es.wallapop.com/app/chat?itemId=qzmy00lk5gzv"
"serrecoje chatarra adomecilio","https://es.wallapop.com/item/serrecoje-chatarra-adomecilio-872526391","https://es.wallapop.com/app/chat?itemId=vjrrmm7gg4jk"
"Electrodomésticos ","https://es.wallapop.com/item/electrodomesticos-872525567","https://es.wallapop.com/app/chat?itemId=vjrrmm754ljk"
"Casco equitación infantil ","https://es.wallapop.com/item/casco-equitacion-infantil-872525559","https://es.wallapop.com/app/chat?itemId=0j23oo57nd6y"
"Frigorífico Balay","https://es.wallapop.com/item/frigorifico-balay-872525554","https://es.wallapop.com/app/chat?itemId=nzx0ggkxrmz2"
"Eliptica Domyos EL120","https://es.wallapop.com/item/eliptica-domyos-el120-872525826","https://es.wallapop.com/app/chat?itemId=pzprxxpe4463"
"limpia biberones y chupetes","https://es.wallapop.com/item/limpia-biberones-y-chupetes-872525822","https://es.wallapop.com/app/chat?itemId=8z84ppx3dl63"
"Las Cartas de la Medicina","https://es.wallapop.com/item/las-cartas-de-la-medicina-872526361","https://es.wallapop.com/app/chat?itemId=pj9500192kze"
"Silla de ruedas","https://es.wallapop.com/item/silla-de-ruedas-872526345","https://es.wallapop.com/app/chat?itemId=3zl1ppl3wnjx"
"Logitech G29 PS4","https://es.wallapop.com/item/logitech-g29-ps4-872525788","https://es.wallapop.com/app/chat?itemId=v6g233lxx2ze"
"VENTA 4 SILLAS ","https://es.wallapop.com/item/venta-4-sillas-872525774","https://es.wallapop.com/app/chat?itemId=pzprxxpeom63"
"TV philips de tubo","https://es.wallapop.com/item/tv-philips-de-tubo-872525513","https://es.wallapop.com/app/chat?itemId=pj950012m2ze"
"zapatos casi nuevos","https://es.wallapop.com/item/zapatos-casi-nuevos-872525716","https://es.wallapop.com/app/chat?itemId=v6g233lxr2ze"
"Libro El Escarabajo de Horus","https://es.wallapop.com/item/libro-el-escarabajo-de-horus-872525708","https://es.wallapop.com/app/chat?itemId=qzmy00ld0lzv"
"armarios blanco electrificados para exposición ","https://es.wallapop.com/item/armarios-blanco-electrificados-para-exposicion-872525687","https://es.wallapop.com/app/chat?itemId=36exmml7gqzd"
"remolque moto","https://es.wallapop.com/item/remolque-moto-872525491","https://es.wallapop.com/app/chat?itemId=vjrrmm75rwjk"
"pes 2016","https://es.wallapop.com/item/pes-2016-872525460","https://es.wallapop.com/app/chat?itemId=9jd211l0546k"
"Muebles salita","https://es.wallapop.com/item/muebles-salita-872525455","https://es.wallapop.com/app/chat?itemId=p61ymmr07565"
