"Название товара","Ссылка на продавца","Ссылка на чат"
"CAFETERA Y MOLINILLO DE CAFE","https://es.wallapop.com/item/cafetera-y-molinillo-de-cafe-872468896","https://es.wallapop.com/app/chat?itemId=e65gddklxkjo"
"Manillar de carbono + potencia","https://es.wallapop.com/item/manillar-de-carbono---potencia-872468864","https://es.wallapop.com/app/chat?itemId=v6g2335r97ze"
"Un espejo","https://es.wallapop.com/item/un-espejo-872467988","https://es.wallapop.com/app/chat?itemId=v6g233537lze"
"Sillón-cama plegable IKEA","https://es.wallapop.com/item/sillon-cama-plegable-ikea-872463526","https://es.wallapop.com/app/chat?itemId=pzprxxo2ml63"
"Horno Bosch","https://es.wallapop.com/item/horno-bosch-872463482","https://es.wallapop.com/app/chat?itemId=8j3ekkd4kyz9"
"Sillas de comedor ","https://es.wallapop.com/item/sillas-de-comedor-872463424","https://es.wallapop.com/app/chat?itemId=e65gddk8rkjo"
"yuli","https://es.wallapop.com/item/yuli-872469907","https://es.wallapop.com/app/chat?itemId=p61ymm333g65"
"Samsung Smart tv 44""","https://es.wallapop.com/item/samsung-smart-tv-44-872469886","https://es.wallapop.com/app/chat?itemId=4z4122994wzy"
"Habitación en alquiler","https://es.wallapop.com/item/habitacion-en-alquiler-872469794","https://es.wallapop.com/app/chat?itemId=8z84ppnn9163"
"ruedas","https://es.wallapop.com/item/ruedas-872469743","https://es.wallapop.com/app/chat?itemId=vjrrmm221ljk"
"PACK ROPA INTERIOR IGNÍFUGA GT2i, FIA","https://es.wallapop.com/item/pack-ropa-interior-ignifuga-gt2i-fia-872470820","https://es.wallapop.com/app/chat?itemId=wzy5ggpwr2j5"
"Botas snowboard","https://es.wallapop.com/item/botas-snowboard-872470699","https://es.wallapop.com/app/chat?itemId=nz0011okgezo"
"Tabla kitesurf f-one","https://es.wallapop.com/item/tavla-kitesurf-f-one-872470599","https://es.wallapop.com/app/chat?itemId=nz0011op53zo"
"Remolque ","https://es.wallapop.com/item/remolque-872470565","https://es.wallapop.com/app/chat?itemId=wzvndde7m4jl"
"Cama 140x200 con Somier y Colchon","https://es.wallapop.com/item/cama-140x200-con-somier-y-colchon-872466046","https://es.wallapop.com/app/chat?itemId=8z84ppn2yo63"
"CAMA NIDO CORA + COLCHÓN 90cm","https://es.wallapop.com/item/cama-nido-cora---colchon-90cm-872466015","https://es.wallapop.com/app/chat?itemId=36exmm4e3kzd"
"Máquina coser Refrey","https://es.wallapop.com/item/maquina-coser-refrey-872465968","https://es.wallapop.com/app/chat?itemId=wzy5ggpq2pj5"
"Patinete Xiaomi Mi Electric Scooter Pro 2","https://es.wallapop.com/item/patinete-xiaomi-mi-electric-scooter-pro-2-872465901","https://es.wallapop.com/app/chat?itemId=mzn87710kyzn"
"mesa y cuatro sillas","https://es.wallapop.com/item/mesa-y-cuatro-sillas-872469970","https://es.wallapop.com/app/chat?itemId=8z84ppnn7r63"
"vendo","https://es.wallapop.com/item/vendo-872467662","https://es.wallapop.com/app/chat?itemId=4z41229358zy"
"255/40 R19 Michelin","https://es.wallapop.com/item/255-40-r19-michelin-872467648","https://es.wallapop.com/app/chat?itemId=e65gddk2okjo"
"iPhone 11 ","https://es.wallapop.com/item/iphone-11-872467655","https://es.wallapop.com/app/chat?itemId=p61ymm31wx65"
"ORDENADOR ASUS I3 2020","https://es.wallapop.com/item/ordenador-asus-i3-2020-872467616","https://es.wallapop.com/app/chat?itemId=v6g2335nx7ze"
"Samsung s22 ultra 256GB ","https://es.wallapop.com/item/samsung-s22-ultra-256gb-872467540","https://es.wallapop.com/app/chat?itemId=v6g2335nr2ze"
"Silla Bugaboo bee 5 ","https://es.wallapop.com/item/silla-bugaboo-bee-5-872465716","https://es.wallapop.com/app/chat?itemId=v6g2335ek2ze"
"Juego palos golf hombre zurdo","https://es.wallapop.com/item/juego-palos-golf-hombre-zurdo-872465648","https://es.wallapop.com/app/chat?itemId=e65gddk97pjo"
"SEAT Leon 2019","https://es.wallapop.com/item/seat-leon-2019-872470075","https://es.wallapop.com/app/chat?itemId=nz0011oo7ezo"
"Chaqueta belstaff cuero Cougar","https://es.wallapop.com/item/chaqueta-belstaff-cuero-cougar-872470070","https://es.wallapop.com/app/chat?itemId=8z84ppnnyl63"
"Colección Warhammer ","https://es.wallapop.com/item/coleccion-warhammer-872463603","https://es.wallapop.com/app/chat?itemId=nz0011o4kvzo"
"ruedas 4","https://es.wallapop.com/item/ruedas-4-872463593","https://es.wallapop.com/app/chat?itemId=3zl1ppw822jx"
"Armario 250x245","https://es.wallapop.com/item/armario-250x245-872465098","https://es.wallapop.com/app/chat?itemId=pzprxxogg563"
"Jog rr","https://es.wallapop.com/item/jog-rr-872465077","https://es.wallapop.com/app/chat?itemId=qjwpgg572gzo"
"bicicleta megamo dx3 29"" del 2021","https://es.wallapop.com/item/bicicleta-megamo-dx3-29-del-2021-872465013","https://es.wallapop.com/app/chat?itemId=pj9500px5oze"
